n,beta,gamma_over_eta,best_delta,NE_best,NE_base01,impr_vs01_pct
50,0.8,0.5,0.01,0.1912479797140686,0.192883894207246,0.8481343141173204
50,1.2,0.0,1.0,0.1658756251936652,0.1917022200623763,13.472246101431491
50,1.2,0.05,1.0,0.1688951816028126,0.1957316808119824,13.710861265708239
50,1.2,0.1,1.0,0.1723925405999772,0.1985060316282573,13.155011368713929
50,1.2,0.2,1.0,0.1712828154941523,0.1908221942632217,10.239573464979975
50,1.2,0.5,1.0,0.1789487135079438,0.2019869228919181,11.405792540491294
50,2.0,0.0,0.3,0.1918536185997269,0.2148817395482747,10.716648607256063
50,2.0,0.05,0.3,0.1929586626018878,0.222144230450412,13.138116524272796
50,2.0,0.1,0.3,0.1926643902781444,0.2215236746430533,13.027629851035387
50,2.0,0.2,0.3,0.1903038552303416,0.2162818010769628,12.011156610156519
50,2.0,0.5,0.3,0.1933133116598396,0.2200325076367587,12.143294763075902
50,3.0,0.0,0.15,0.2623840073353258,0.266042901703288,1.3753023833888536
50,3.0,0.05,0.15,0.2876987879736836,0.291562704041431,1.325243597410979
50,3.0,0.1,0.15,0.2604915802742304,0.2743362371993008,5.046601596059819
50,3.0,0.2,0.15,0.2731639656388249,0.276760508058132,1.2995143145754346
50,3.0,0.5,0.1,0.2569014798534149,0.2569014798534149,0.0
50,5.0,0.0,0.05,0.3413288459161558,0.4238118606182223,19.462177056995756
50,5.0,0.05,0.05,0.3429003317332934,0.4336455079619797,20.92611927543419
50,5.0,0.1,0.05,0.3818333453635448,0.4520874991714915,15.53994612474277
50,5.0,0.2,0.05,0.3614645534747459,0.4463526532224444,19.018168512015915
50,5.0,0.5,0.05,0.3700790251512459,0.4421300502096708,16.29634199807414
100,0.8,0.0,0.15,0.1788076668696749,0.1788159563135346,0.0046357405852455146
100,0.8,0.05,0.5,0.1817382579411511,0.1818501910716441,0.06155238541867417
100,0.8,0.1,0.01,0.1753374120127596,0.1754174436867495,0.04562355505123873
100,0.8,0.2,0.01,0.1881462605397781,0.1881833376572692,0.01970265696882459
100,0.8,0.5,0.2,0.1797018340214856,0.1797122675063799,0.005805660926249859
100,1.2,0.0,1.0,0.1182671542364224,0.1275130404827942,7.250933874186283
100,1.2,0.05,1.0,0.1190366057427938,0.1288320531301529,7.603268867774089
100,1.2,0.1,1.0,0.1225094848891503,0.1335146321751202,8.242652589219842
100,1.2,0.2,1.0,0.1244442901071042,0.1373851537928422,9.419404738048351
100,1.2,0.5,1.0,0.1199068335630528,0.1286463698037384,6.793457331146255
100,2.0,0.0,0.3,0.1361847775958103,0.1507562787457615,9.665601506737165
100,2.0,0.05,0.5,0.1453297938187309,0.1612294463093694,9.861506601052271
100,2.0,0.1,0.3,0.1317853188933853,0.144993890887061,9.109743805664305
100,2.0,0.2,0.3,0.1350232742907334,0.1494772500134351,9.669682658332658
100,2.0,0.5,0.3,0.1309331989558192,0.1432067902715088,8.570537257639687
100,3.0,0.0,0.15,0.2065297637757568,0.2141847122768483,3.5739938764616195
100,3.0,0.05,0.15,0.2040839292757892,0.2161088118077279,5.564272197580376
100,3.0,0.1,0.15,0.2001914413981213,0.2061012465521953,2.867428146572287
100,3.0,0.2,0.15,0.2006293965579875,0.2089460090040661,3.980268628110887
100,3.0,0.5,0.15,0.1933839444844512,0.199405207183066,3.0196115656533093
100,5.0,0.0,0.05,0.301050328640515,0.373426532974892,19.381644833267195
100,5.0,0.05,0.05,0.291117654519338,0.366366000572141,20.539118241127802
100,5.0,0.1,0.05,0.2993865660697259,0.3606859315659161,16.99521942263157
100,5.0,0.2,0.05,0.2938048887729488,0.3680564115625828,20.17395172506282
100,5.0,0.5,0.05,0.2965869156447892,0.3716864404300963,20.205075196826076
