sample_size,mc_runs,beta_mean,beta_median,beta_std,eta_mean,eta_median,eta_std,gamma_mean,gamma_median,gamma_std
8,2000,2.4681196595000001,1.4347945000000000,3.0811744723459373,806.8173535674999357,620.4174265000000332,875.3125419465734467,281.4488128775000177,0.0000000000000000,491.1567665749580556
8,3000,2.3938828130000003,1.3795225000000000,3.1197202836799085,784.7588649613333018,554.4982294999999795,871.2931199565724683,278.6382133526666394,0.0000000000000000,489.4787580185477509
8,4000,2.3978679655000001,1.3735640000000000,3.1277767765746338,784.6912501622498439,533.3344844999999168,873.6604516049291078,274.6487447009999983,0.0000000000000000,485.2955460415637390
8,5000,2.3896216018000001,1.3816459999999999,3.0960408834606978,785.5334501290000162,556.0233630000000176,871.9826473719537034,280.2021626918000266,0.0000000000000000,489.2774303487321390
9,1000,2.3309796270000001,1.4904960000000000,2.7600778634085152,816.3998207689999163,688.6479830000000675,838.9950777187256108,363.3337872049999646,0.0000275000000000,528.0666760149529182
9,2000,2.2004656255000001,1.4244474999999999,2.7554066725629842,776.4848478999999770,653.3087545000000773,828.9080778975671819,358.6326316744999758,0.0000000000000000,523.9579796337419566
9,3000,2.1880558983333334,1.4126210000000001,2.7585654966229374,768.3236132633331863,631.1359274999999798,827.9973838145336913,355.0253379243333143,0.0000000000000000,524.0832112783573393
9,4000,2.1942483245000002,1.4292560000000001,2.7348277778072005,772.4941292137500568,642.2387679999999364,829.1094909003204521,358.2664973077499440,0.0000170000000000,526.0803775037434207
9,5000,2.1942885421999998,1.4316665000000000,2.7272613175819549,771.8960229683999614,644.1537005000000136,825.5887537327454311,362.2414518619999626,0.0000190000000000,527.7160065444055590
10,1000,1.9861746200000003,1.4380014999999999,2.4718859801761983,740.8206984490000195,655.4981740000000627,784.2094164260872731,411.4331323200000270,0.0000340000000000,541.5356621517187250
10,2000,1.9915579145000002,1.4257620000000000,2.4670687779937719,737.0655612510000765,652.3113275000000613,780.4601125643948762,421.7044141630000809,0.0000470000000000,546.0635800591621773
10,3000,2.0047461280000003,1.4410339999999999,2.4441880774733633,741.0440001863332782,656.0744030000000748,775.9167367862946776,433.2899988223333025,0.0000510000000000,550.0820453598911399
10,4000,2.0454997332499998,1.4707884999999998,2.4593440842677401,755.3118389692499477,676.4204640000000381,778.8297932904837353,435.8528467312500538,0.0000555000000000,550.6323164086417137
10,5000,2.0493652380000000,1.4790670000000001,2.4514147389067693,755.3914075279999452,681.8853905000000850,775.5170697456863991,440.6236250555999732,0.0000600000000000,552.3938230021452682
15,1000,1.9507654839999999,1.6062440000000000,1.7379040609997778,827.9106688169999870,809.1841974999999820,581.3082306139345974,760.3712431300000389,1018.1402004999999917,523.7757388537438601
15,2000,1.9514085319999999,1.6200250000000000,1.7575580620416495,824.2049569085000940,809.1841974999999820,597.4977258402436746,735.6821251970000048,985.6016354999999294,531.2428400625335598
15,3000,1.9815813556666666,1.6454290000000000,1.7898806203155206,833.4858744296667510,815.0131920000000036,604.8536821296619337,730.2587733836666075,988.6979575000000295,534.0330925191923370
15,4000,1.9995548939999999,1.6519440000000001,1.7989222912882816,839.4433904537499984,817.6018109999999979,608.3895041940635338,728.1459025135001184,986.0018919999999980,533.7484024876520152
15,5000,1.9885878704000000,1.6487134999999999,1.7762541186979073,837.9306564173999732,813.8031705000000784,606.4438594200306625,731.6150825474001067,990.4456500000000005,533.6563468785147961
20,1000,1.9297553180000000,1.7185485000000000,1.3407380788619501,867.3116764320000129,856.6362644999999247,465.7575729005567382,886.8335046160000275,1056.6766484999998283,441.3447188453570220
20,2000,1.9415483475000002,1.7159900000000001,1.3259923939464613,872.0839389835000475,855.0739069999999629,456.7988190487929501,897.2745907060000263,1058.2993719999999485,433.5503269858855333
20,3000,1.9531795520000002,1.7185485000000000,1.3492095074196049,877.6518963576667147,858.1743169999999736,467.0885927563750215,889.3555369996665831,1054.7754135000000133,438.6068834169440152
20,4000,1.9661310465000001,1.7189010000000000,1.3544147901909378,883.0143642607499714,859.0807039999999688,469.9226668418162376,885.3832859670000062,1050.2869905000000017,437.7471449322865737
20,5000,1.9706468066000000,1.7238305000000000,1.3519908377811669,884.6189771477999102,860.5265964999999824,467.4780141340829687,888.1179168140001821,1050.9318455000000085,435.2534540647092172
30,1000,1.9580857570000001,1.8474690000000000,0.8278790797651684,928.6867867010000737,900.6374949999999444,311.0429359657593977,1001.3299351689998957,1061.2955434999998943,281.6715245698300691
30,2000,1.9498938724999999,1.8239205000000001,0.8156635671423447,924.6719299095000224,900.6782875000000104,302.0020479843988142,1004.7603636774999813,1061.2955434999998943,277.0625866902145731
30,3000,1.9314770763333333,1.8159140000000000,0.8075185999534857,916.7722652506666918,898.0499320000000125,301.2490882726678478,1004.4463520099998277,1063.0287564999998722,277.8116532854022012
30,4000,1.9350135234999999,1.8131900000000001,0.8068912147976117,918.4395701892500483,899.2507419999999456,297.0093101980945676,1007.1808627824999576,1063.2401245000000927,272.7573458728809328
30,5000,1.9467592363999999,1.8225255000000000,0.8099599437846495,921.3034249403999638,901.6983115000000453,293.3830257558402650,1007.6579093965999618,1060.4375115000000278,269.1840303205513010
