stratifier,tertile,delta,R_mean_loss,mean_excess_over_l6,n_samples,J1
default_gamma_hat,high,0.2,0.7690389729127323,0.22613977292214768,680,0.8769486717663311
default_gamma_hat,high,0.22,0.7776385001157409,0.23473930012515634,680,0.8818381371406778
default_gamma_hat,high,0.24,0.7855825067855389,0.24268330679495428,680,0.8863309239700141
default_gamma_hat,high,0.26,0.792966376150522,0.2500671761599375,680,0.8904865951548748
default_gamma_hat,high,0.28,0.799866384293357,0.25696718430277243,680,0.8943524944301083
default_gamma_hat,high,0.3,0.8063445890018411,0.2634453890112566,680,0.8979669197703449
default_gamma_hat,high,0.32,0.8124523592332087,0.26955315924262424,680,0.9013613921359227
default_gamma_hat,high,0.34,0.8182329266977494,0.2753337267071649,680,0.9045622845872745
default_gamma_hat,high,0.36,0.8237233714082188,0.28082417141763427,680,0.9075920732400756
default_gamma_hat,high,0.38,0.8289564488576927,0.2860572488671082,680,0.9104704546868573
default_gamma_hat,high,0.4,0.8339628550051421,0.2910636550145576,680,0.9132156673016194
default_gamma_hat,high,0.42,0.8389965665466418,0.2960973665560572,680,0.9159675575841328
default_gamma_hat,high,0.44,0.8436772038768939,0.30077800388630943,680,0.9185190274985565
default_gamma_hat,high,0.46,0.8481564481737017,0.30525724818311717,680,0.9209540966702422
default_gamma_hat,high,0.48,0.8522833342930931,0.3093841343025086,680,0.9231919271165087
default_gamma_hat,high,0.5,0.8562599002391219,0.3133607002485374,680,0.925343125677779
gradient_at_zero,low,0.0,0.5787176175293484,0.1762881886160877,660,0.7607349193571624
gradient_at_zero,low,0.02,0.45246140696893583,0.05003197805567511,660,0.6726525157679378
gradient_at_zero,low,0.04,0.4770208321022662,0.07459140318900552,660,0.6906669473069247
gradient_at_zero,low,0.06,0.49707930013968943,0.09464987122642872,660,0.7050385096855982
gradient_at_zero,low,0.08,0.5136745381440889,0.11124510923082823,660,0.71671091671893
gradient_at_zero,low,0.1,0.52786108966169,0.12543166074842924,660,0.7265404941651153
gradient_at_zero,low,0.12,0.5402901065097578,0.1378606775964971,660,0.7350442888083396
gradient_at_zero,low,0.14,0.5513776470090199,0.14894821809575923,660,0.7425480772374405
gradient_at_zero,low,0.16,0.561404407150407,0.15897497823714626,660,0.7492692487686966
gradient_at_zero,low,0.18,0.5705691105727203,0.1681396816594596,660,0.7553602521795281
gradient_at_zero,low,0.2,0.5790178609314528,0.17658843201819208,660,0.7609322314972949
gradient_at_zero,low,0.22,0.5868617272623506,0.18443229834908995,660,0.766069009464781
gradient_at_zero,low,0.24,0.5941873027501885,0.19175787383692774,660,0.7708354576368348
gradient_at_zero,low,0.26,0.6010637293172004,0.19863430040393976,660,0.7752829995022466
gradient_at_zero,low,0.28,0.607547352495329,0.20511792358206832,660,0.7794532394539964
gradient_at_zero,low,0.3,0.6136849147991006,0.2112554858858399,660,0.7833804406539013
gradient_at_zero,low,0.32,0.6195162053786789,0.21708677646541824,660,0.787093517556001
gradient_at_zero,low,0.34,0.6250767713065702,0.2226473423933095,660,0.7906179679886932
gradient_at_zero,low,0.36,0.6304108192422312,0.22798139032897044,660,0.7939841429413003
gradient_at_zero,low,0.38,0.6354777296684787,0.23304830075521796,660,0.7971685704218893
gradient_at_zero,low,0.4,0.6403220356837487,0.23789260677048804,660,0.8002012469896237
gradient_at_zero,low,0.42,0.6449868727025608,0.24255744378930016,660,0.80311074747046
gradient_at_zero,low,0.44,0.6496314307648872,0.24720200185162644,660,0.8059971654819186
gradient_at_zero,low,0.46,0.6540103520799972,0.2515809231667366,660,0.8087090651649684
gradient_at_zero,low,0.48,0.6581988635271357,0.255769434613875,660,0.811294560272122
gradient_at_zero,low,0.5,0.662235331259941,0.2598059023466803,660,0.8137784288489964
gradient_at_zero,middle,0.0,0.6550952345696552,0.3906693174066938,660,0.809379536787072
gradient_at_zero,middle,0.02,0.3645006335143314,0.10007471635136989,660,0.6037388785843855
gradient_at_zero,middle,0.04,0.39802167481971873,0.1335957576567573,660,0.6308895900391119
gradient_at_zero,middle,0.06,0.42957840775497047,0.16515249059200904,660,0.6554223125245054
gradient_at_zero,middle,0.08,0.4556413240719904,0.1912154069090289,660,0.6750120917968732
gradient_at_zero,middle,0.1,0.4779058148349774,0.213479897672016,660,0.6913073230011219
gradient_at_zero,middle,0.12,0.4971973062595203,0.23277138909655884,660,0.7051221924315816
gradient_at_zero,middle,0.14,0.5141658503655362,0.24973993320257476,660,0.717053589605084
gradient_at_zero,middle,0.16,0.5292882876588693,0.26486237049590783,660,0.727522018676321
gradient_at_zero,middle,0.18,0.5429157277835726,0.2784898106206111,660,0.7368281534954895
gradient_at_zero,middle,0.2,0.5553117215755086,0.2908858044125471,660,0.7451924057419725
gradient_at_zero,middle,0.22,0.5666783491768829,0.30225243201392143,660,0.7527804123227987
gradient_at_zero,middle,0.24,0.5774040529507135,0.312978135787752,660,0.7598710765325349
gradient_at_zero,middle,0.26,0.5871010851798099,0.3226751680168485,660,0.7662252183136561
gradient_at_zero,middle,0.28,0.5961583870609489,0.33173246989798744,660,0.7721129367268424
gradient_at_zero,middle,0.3,0.6046597783237897,0.3402338611608282,660,0.7775987257729977
gradient_at_zero,middle,0.32,0.6126758836709654,0.348249966508004,660,0.7827361520148187
gradient_at_zero,middle,0.34,0.6202677328427675,0.35584181567980605,660,0.78757077957652
gradient_at_zero,middle,0.36,0.6274905686299619,0.3630646514670004,660,0.7921430228373926
gradient_at_zero,middle,0.38,0.634401276238011,0.3699753590750495,660,0.7964931112307319
gradient_at_zero,middle,0.4,0.6410886261127732,0.3766627089498117,660,0.8006801022335781
gradient_at_zero,middle,0.42,0.6473832050309366,0.38295728786797517,660,0.8046012708360188
gradient_at_zero,middle,0.44,0.6532212262246081,0.38879530906164667,660,0.8082210256016655
gradient_at_zero,middle,0.46,0.6589530520535483,0.3945271348905868,660,0.8117592328107813
gradient_at_zero,middle,0.48,0.6643776434798163,0.3999517263168549,660,0.8150936409271123
gradient_at_zero,middle,0.5,0.66979693803261,0.4053710208696485,660,0.8184112279487679
gradient_at_zero,high,0.0,1.566894585059885,1.4774694304514466,680,1.2517565997668576
gradient_at_zero,high,0.02,0.6154460253585947,0.5260208707501565,680,0.7845036809082508
gradient_at_zero,high,0.04,0.3767208932023061,0.2872957385938678,680,0.6137759307779234
gradient_at_zero,high,0.06,0.2929775633444122,0.2035524087359739,680,0.541274018722876
gradient_at_zero,high,0.08,0.26019133182652204,0.17076617721808376,680,0.5100895331473898
gradient_at_zero,high,0.1,0.2515165125316365,0.1620913579231982,680,0.5015142196704262
gradient_at_zero,high,0.12,0.256367771781836,0.16694261717339767,680,0.5063277315947015
gradient_at_zero,high,0.14,0.2607646079409919,0.17133945333255357,680,0.5106511607163856
gradient_at_zero,high,0.16,0.26766736698485033,0.17824221237641202,680,0.5173657961103056
gradient_at_zero,high,0.18,0.2752178649169881,0.18579271030854982,680,0.5246121090072056
gradient_at_zero,high,0.2,0.2846472275485157,0.1952220729400774,680,0.5335234086228229
gradient_at_zero,high,0.22,0.2937101313479994,0.2042849767395611,680,0.5419503033932165
gradient_at_zero,high,0.24,0.3026315050069397,0.2132063503985014,680,0.5501195370162195
gradient_at_zero,high,0.26,0.31161705839166143,0.22219190378322318,680,0.5582267087766953
gradient_at_zero,high,0.28,0.3207085854949342,0.2312834308864959,680,0.5663113856306742
gradient_at_zero,high,0.3,0.331069573223324,0.2416444186148857,680,0.5753864555438579
gradient_at_zero,high,0.32,0.3393957472845107,0.24997059267607238,680,0.5825768166383818
gradient_at_zero,high,0.34,0.34698336343736164,0.25755820882892333,680,0.5890529377206786
gradient_at_zero,high,0.36,0.35471451143167215,0.2652893568232339,680,0.5955791395202422
gradient_at_zero,high,0.38,0.3612212774818948,0.2717961228734565,680,0.6010168695485134
gradient_at_zero,high,0.4,0.3680373313863856,0.27861217677794736,680,0.6066608042278532
gradient_at_zero,high,0.42,0.3741351614758055,0.2847100068673672,680,0.6116658903975319
gradient_at_zero,high,0.44,0.380011197378258,0.2905860427698197,680,0.616450482503062
gradient_at_zero,high,0.46,0.3851575884275446,0.29573243381910636,680,0.6206106576812427
gradient_at_zero,high,0.48,0.39373549722831297,0.30431034261987466,680,0.6274834637090551
gradient_at_zero,high,0.5,0.39879497371266676,0.30936981910422845,680,0.6315021565384134
