n,fold,seed,route,n_rows,target_mse,static_local_mse,cross_term,nonlinear_remainder_mse,u_parallel_energy,u_perp_energy,sensitivity_angle_deg,sensitivity_norm_ratio,mean_exact_compensation,square_identity_max_abs_error,stored_relative_error_max_abs_difference
20,1,2026,P,2400,0.014462104825646988,0.014334750781688398,2.8270078175593507e-05,9.908396578299382e-05,0.00480008850773893,0.025746959629656663,3.2445839013363846,1.0016317636214314,0.3476473100613196,9.613469256289646e-17,9.003729450896003e-08
20,1,2026,M95,2400,0.022570278216717927,0.009786397929199954,0.0024858233914531783,0.010298056896064797,0.003978403897390817,0.8488073591930623,21.26680905297099,0.9173086040285633,0.8611292760766217,6.938893903907228e-17,3.5782386664795496e-08
20,1,2026,Q,2400,0.014006070733404818,59.653337484536216,-119.32560584498363,59.68627443118081,11.611177282653419,123.87490256295345,28.0531388529545,1.1980329039848283,0.9394402417208534,4.547473508864641e-13,8.067095302877192e-08
20,1,3407,P,2400,0.014342621364446029,0.014213291755893698,3.282718292422798e-05,9.650242562810378e-05,0.004722959092534387,0.025469839983528607,3.1824276975097776,1.0017531364181111,0.3328348197223084,9.627715291671279e-17,1.3437532631055404e-07
20,1,3407,M95,2400,0.022336190862472266,0.009644523048639947,0.002125048311392702,0.010566619502439617,0.0038135871327303205,0.825032348292913,21.008479767691536,0.9211340195647335,0.8623509007947822,6.938893903907228e-17,3.795124431382746e-08
20,1,3407,Q,2400,0.01391964862655693,57.660172001999975,-115.19041361709841,57.54416126372499,11.0263433124655,117.92927037436357,27.986475996280472,1.1963284469342492,0.9404593240462399,4.547473508864641e-13,7.81718010323118e-08
20,3,42,P,2400,0.014831002747121102,0.014838974981952054,-0.00012629695548152403,0.00011832472065057185,0.005093173508575766,0.02825354328187179,3.336841793376148,1.0018012698243641,0.3527379290704765,9.139824314052802e-17,1.0210773893071234e-07
20,3,42,M95,2400,0.022183337883124005,0.009430130353219183,0.002691251929112548,0.010061955600792276,0.003774865041633852,0.7892329015545559,20.096053158038092,0.9244829746291081,0.8620753964744494,6.144715812561596e-17,4.1689644070252996e-08
20,3,42,Q,2400,0.014398836783074256,74.04533784715053,-148.16976112577674,74.13882211540927,13.971782411660202,149.54527160334837,28.166950509274763,1.200579183882479,0.9382200884598585,4.547473508864641e-13,7.820264946722943e-08
20,3,2026,P,2400,0.015122637300242256,0.014976949228491096,2.727886283674185e-05,0.00011840920891441953,0.005226693834010627,0.028025393248270896,3.374935348249242,1.0017196797277235,0.3394656718705162,8.792879618857441e-17,8.684521185520211e-08
