comparison,test_n,representation,train_n,n_seeds,mean_effect_J1,ci_low_J1,ci_high_J1,mean_effect_regret,ci_low_regret,ci_high_regret,per_seed_J1_effects,per_seed_regret_effects
L_minus_S,20,RAW,"7,10",3,0.11325475750618204,0.0745730986938859,0.15583394780624243,0.10102742846354164,0.06611870561104924,0.13828312782922966,"[0.14450562225770364, 0.09804748445636718, 0.09721116580447531]","[0.1326919538262401, 0.0856023650553857, 0.0847879665089991]"
RAW_minus_F13,7,,,3,0.0034665663441090975,0.0010058323416124774,0.005788892743709033,0.004425010893458601,0.0012379745465232797,0.007480051607607802,"[0.005665486409294651, 0.0060732449354352624, -0.0013390323124026215]","[0.0072382095460084075, 0.0077722419286435016, -0.0017354187942761057]"
RAW_minus_F13,10,,,3,0.004288383845891104,0.000841354993621149,0.007845742671663686,0.004597694923854631,0.0008464570808381839,0.008750598776015715,"[0.006887770183234054, 0.006390595410046274, -0.0004132140556070141]","[0.007377715853455397, 0.006860782943368296, -0.00044541402525979934]"
RAW_minus_F13,20,,,3,0.0016874811181936678,-0.0008006668628258078,0.004400028107475643,0.0013429897794791656,-0.0006522336967612091,0.0034488449707511006,"[0.0017868258918223856, 0.005781756458302478, -0.0025061389955438607]","[0.0014331176336662005, 0.0045895815337822984, -0.001993729829011002]"
T_minus_S,7,F12,10,3,-0.0028226382142171325,-0.012189396839647976,0.007512421606126847,-0.0036574809999604615,-0.016623205506146908,0.00938896303297447,"[-0.0036133331652558054, 0.0016406227808666296, -0.006495204258262222]","[-0.004661361799546598, 0.0021214862756734065, -0.008432567476008193]"
T_minus_S,7,F12,20,3,0.0450236268923098,0.017077589477171,0.07457346401724321,0.06042941170438584,0.023251387640339866,0.09863376899159697,"[0.05273690941879383, 0.04017530991675344, 0.04215866134138213]","[0.07100471543198052, 0.053498761753078494, 0.056784757928098506]"
T_minus_S,7,F13,10,3,0.03328842619245409,0.018686721058119582,0.04953090668825299,0.0441745444617912,0.025279457570793175,0.06391882220273774,"[0.03133955770085395, 0.027154736533097634, 0.04137098434341069]","[0.04152201557845629, 0.03630787857942851, 0.0546937392274888]"
T_minus_S,7,F13,20,3,0.14575318553461333,0.10684246366569336,0.18627550503672533,0.21028546481384683,0.15117203986670058,0.2711350877765058,"[0.11953014283334429, 0.15529146362496626, 0.16243795014552942]","[0.16890781798977111, 0.22753464046343147, 0.2344139359883379]"
T_minus_S,7,RAW,10,3,0.10619190184177012,0.08205547479276255,0.1337434852538567,0.14857249817580007,0.11066893094020959,0.19025465941854025,"[0.10116895664385195, 0.09651019703731634, 0.12089655184414205]","[0.1407979828100403, 0.13521076524386638, 0.16970874647349352]"
T_minus_S,7,RAW,20,3,0.10773152108389845,0.08312675516043766,0.13237596221690093,0.15125427294300928,0.1096939478042872,0.19664526998284934,"[0.12411667138823168, 0.11511816623254412, 0.08395972563091958]","[0.1755827712977338, 0.16342264136599, 0.114757406165304]"
T_minus_S,10,F12,20,3,0.025287898772603363,0.01362554600987066,0.03753421472547272,0.02745878067915437,0.015270268960389395,0.039627395446041554,"[0.02821863495068966, 0.023693970390350594, 0.02395109097676984]","[0.030683336428527004, 0.025744525246935504, 0.0259484803620006]"
T_minus_S,10,F12,7,3,0.02698597048495514,0.017404694373006693,0.03559189722780978,0.02939136703057337,0.017505434431743502,0.041789260620255966,"[0.0304196238641139, 0.01646620761138362, 0.0340720799793679]","[0.033143519668625505, 0.017772234039938398, 0.037258347383156205]"
T_minus_S,10,F13,20,3,0.12039413248968504,0.09047369312998543,0.15205150802152145,0.14243358362021216,0.10591144573873544,0.17879070615794743,"[0.09736477481092831, 0.13917541215959628, 0.12464221049853053]","[0.11322954517101108, 0.1660404610580993, 0.1480307446315261]"
T_minus_S,10,F13,7,3,0.04315059284472048,0.027640880336943452,0.057951132318316584,0.0476563801986808,0.028269079315622805,0.0690412090834865,"[0.04441977513881268, 0.050199842700632935, 0.03483216069471584]","[0.0493057985559582, 0.0554233656315205, 0.0382399764085637]"
T_minus_S,10,RAW,20,3,0.11530480992204033,0.08591213420891805,0.14263618812891582,0.13619733956103594,0.09290861973934433,0.1832469815247111,"[0.12067370341454553, 0.12734248110522695, 0.09789824524634849]","[0.14235947673950428, 0.1528969514546202, 0.1133355904889834]"
T_minus_S,10,RAW,7,3,0.05270691360605747,0.031182953224353074,0.07874002250039461,0.05887297864638771,0.035217141051911004,0.0860533368967904,"[0.04951300274884185, 0.047766789166479584, 0.060840948902850966]","[0.05488740020796409, 0.053551321017331996, 0.06818021471386701]"
T_minus_S,20,F12,10,3,0.02600764396941944,0.01361719340698047,0.03744533858794468,0.020803086274198735,0.009846565770456544,0.032931611737223615,"[0.028235061580150433, 0.02556332486700469, 0.024224545461103197]","[0.022633444508015202, 0.020462129553554698, 0.019313684761026302]"
T_minus_S,20,F12,7,3,0.06735458805666254,0.04638315703791615,0.08755580923194352,0.05668419994755153,0.03496560854117639,0.08093345758954604,"[0.07473968204955561, 0.0604884655441682, 0.0668356165762638]","[0.06338764976786859, 0.0505304803492993, 0.056134469725486705]"
T_minus_S,20,F13,10,3,0.06823705786909155,0.04308336473646972,0.09370088415643256,0.057395840831941304,0.03273988486006014,0.08643041631913581,"[0.08259558692872143, 0.06905830208826019, 0.05305728459029302]","[0.0701215058268077, 0.05824342012508969, 0.043822596543926506]"
T_minus_S,20,F13,7,3,0.09855426714694897,0.06975949390043168,0.12508493795979275,0.08631848113350098,0.05596945203579795,0.11885596326952386,"[0.0977773946889669, 0.0686267924352908, 0.1292586143165892]","[0.0844949034994813, 0.0578498739589544, 0.11661066594206719]"
T_minus_S,20,RAW,10,3,0.09701992827798202,0.06010452516275869,0.13797975224921202,0.08479659379919484,0.05233224837348037,0.12003732472343193,"[0.1042001103719365, 0.0756442942943934, 0.11121538016761617]","[0.0914816718568628, 0.064348127388704, 0.0985599821520177]"
T_minus_S,20,RAW,7,3,0.12590197091546737,0.0906886382921024,0.16282240817526963,0.11346792806800776,0.08047845242153465,0.14644544147356392,"[0.1140451797733118, 0.12642454869057473, 0.13723618428251555]","[0.1012478562402863, 0.1139650998999813, 0.1251908280637557]"
