seed,family,representation,test_n,train_n,model_J1,specialist_J1,transfer_cost_J1,rel_transfer_cost,model_mean_regret,specialist_mean_regret,delta_mean_regret
2026,L,F13,20,"7,10",0.4521668229484958,0.3871683014261864,0.0649985215223094,0.16788182628298498,0.0748681305519585,0.0203125884058605,0.05455554214609799
2026,L,F12,20,"7,10",0.4094022186344522,0.3874426757543218,0.02195954288013041,0.05667817268032447,0.0380234713994339,0.0205251217722906,0.0174983496271433
2026,L,RAW,20,"7,10",0.4855589859930571,0.3875115015366899,0.09804748445636718,0.2530182564067301,0.1061808236552279,0.0205784585998422,0.0856023650553857
2026,T,F13,20,7,0.4557950938614772,0.3871683014261864,0.0686267924352908,0.17725312785807823,0.0781624623648149,0.0203125884058605,0.0578498739589544
2026,T,F13,20,10,0.4562266035144466,0.3871683014261864,0.06905830208826019,0.17836765518735564,0.0785560085309502,0.0203125884058605,0.05824342012508969
2026,T,F12,20,7,0.44793114129849,0.3874426757543218,0.0604884655441682,0.15612236165363483,0.0710556021215899,0.0205251217722906,0.0505304803492993
2026,T,F12,20,10,0.4130060006213265,0.3874426757543218,0.02556332486700469,0.06597963122476071,0.0409872513258453,0.0205251217722906,0.020462129553554698
2026,T,RAW,20,7,0.5139360502272646,0.3875115015366899,0.12642454869057473,0.326247216377408,0.1345435584998235,0.0205784585998422,0.1139650998999813
2026,T,RAW,20,10,0.4631557958310833,0.3875115015366899,0.0756442942943934,0.19520528808673654,0.0849265859885462,0.0205784585998422,0.064348127388704
3407,J,F13,7,"7,10,20",0.6486818076453545,0.6403301942510442,0.008351613394310342,0.013042666844843578,0.0768526555701272,0.0660873256696626,0.010765329900464596
3407,J,F12,7,"7,10,20",0.6395147379247859,0.6523855769111793,-0.012870838986393407,-0.019728883411758415,0.0650436680230901,0.0816715089618148,-0.0166278409387247
3407,J,RAW,7,"7,10,20",0.6473427753329519,0.6414276001255738,0.005915175207378165,0.009221890679821288,0.0751172367758511,0.0674939342029354,0.0076233025729156995
3407,L,F13,7,"10,20",0.6494847715281892,0.6403301942510442,0.00915457727714497,0.01429665094561491,0.0778950364471065,0.0660873256696626,0.0118077107774439
3407,L,F12,7,"10,20",0.6384374804006477,0.6523855769111793,-0.013948096510531527,-0.02138014236392373,0.06366698438041,0.0816715089618148,-0.018004524581404793
3407,L,RAW,7,"10,20",0.7560587757317655,0.6414276001255738,0.11463117560619174,0.17871257112065356,0.2276894403610986,0.0674939342029354,0.1601955061581632
3407,T,F13,7,10,0.6817011785944549,0.6403301942510442,0.04137098434341069,0.06460882949897412,0.1207810648971514,0.0660873256696626,0.0546937392274888
3407,T,F13,7,20,0.8027681443965736,0.6403301942510442,0.16243795014552942,0.2536784171727578,0.3005012616580005,0.0660873256696626,0.2344139359883379
3407,T,F12,7,10,0.645890372652917,0.6523855769111793,-0.006495204258262222,-0.009956081937026833,0.0732389414858066,0.0816715089618148,-0.008432567476008193
3407,T,F12,7,20,0.6945442382525614,0.6523855769111793,0.04215866134138213,0.06462230747189239,0.1384562668899133,0.0816715089618148,0.056784757928098506
3407,T,RAW,7,10,0.7623241519697158,0.6414276001255738,0.12089655184414205,0.18848043305351042,0.2372026806764289,0.0674939342029354,0.16970874647349352
3407,T,RAW,7,20,0.7253873257564933,0.6414276001255738,0.08395972563091958,0.13089509340490274,0.1822513403682394,0.0674939342029354,0.114757406165304
3407,J,F13,10,"7,10,20",0.5391694269220254,0.5315015814611542,0.007667845460871181,0.014426759445929513,0.0477091753799447,0.0394994355482273,0.008209739831717397
3407,J,F12,10,"7,10,20",0.5354896054688578,0.5297217071997694,0.005767898269088412,0.010888544287865502,0.0437546220177123,0.0376105915311575,0.006144030486554798
3407,J,RAW,10,"7,10,20",0.5387562128664184,0.5298947075383821,0.008861505328036312,0.01672314367735866,0.0472637613546849,0.0377939055297069,0.009469855824978002
3407,L,F13,10,"7,20",0.5408550408095997,0.5315015814611542,0.009353459348445448,0.01759817783181716,0.0495296796216731,0.0394994355482273,0.010030244073445799
3407,L,F12,10,"7,20",0.5419419887973536,0.5297217071997694,0.012220281597584148,0.02306924830810382,0.0507066236741502,0.0376105915311575,0.013096032142992702
3407,L,RAW,10,"7,20",0.5976451827289772,0.5298947075383821,0.06775047519059507,0.12785648587684315,0.1141852688916719,0.0377939055297069,0.076391363361965
3407,T,F13,10,7,0.5663337421558701,0.5315015814611542,0.03483216069471584,0.0655353848599256,0.077739411956791,0.0394994355482273,0.0382399764085637
3407,T,F13,10,20,0.6561437919596848,0.5315015814611542,0.12464221049853053,0.2345095759750627,0.1875301801797534,0.0394994355482273,0.1480307446315261
3407,T,F12,10,7,0.5637937871791373,0.5297217071997694,0.0340720799793679,0.06432071692791436,0.0748689389143137,0.0376105915311575,0.037258347383156205
3407,T,F12,10,20,0.5536727981765392,0.5297217071997694,0.02395109097676984,0.04521447894476669,0.0635590718931581,0.0376105915311575,0.0259484803620006
3407,T,RAW,10,7,0.590735656441233,0.5298947075383821,0.060840948902850966,0.11481705334534606,0.1059741202435739,0.0377939055297069,0.06818021471386701
3407,T,RAW,10,20,0.6277929527847306,0.5298947075383821,0.09789824524634849,0.1847503737131728,0.1511294960186903,0.0377939055297069,0.1133355904889834
3407,J,F13,20,"7,10,20",0.3990222739505089,0.3864457200598382,0.012576553890670694,0.03254416658754381,0.0296320698852571,0.0197535893291889,0.0098784805560682
3407,J,F12,20,"7,10,20",0.3955276034529685,0.3865264714316008,0.009001132021367708,0.023287233052964488,0.0268553798698708,0.0198160078939862,0.007039371975884598
3407,J,RAW,20,"7,10,20",0.396516134954965,0.3874964111811197,0.0090197237738453,0.02327692209162007,0.0276383400562461,0.0205667634548695,0.007071576601376597
3407,L,F13,20,"7,10",0.4484375313461802,0.3864457200598382,0.06199181128634201,0.16041531337633408,0.0715095142964785,0.0197535893291889,0.051755924967289604
3407,L,F12,20,"7,10",0.4175063558416952,0.3865264714316008,0.030979884410094416,0.08014945081342656,0.0447248519448344,0.0198160078939862,0.0249088440508482
3407,L,RAW,20,"7,10",0.484707576985595,0.3874964111811197,0.09721116580447531,0.25086984807980023,0.1053547299638686,0.0205667634548695,0.0847879665089991
3407,T,F13,20,7,0.5157043343764274,0.3864457200598382,0.1292586143165892,0.3344806465875065,0.1363642552712561,0.0197535893291889,0.11661066594206719
3407,T,F13,20,10,0.4395030046501312,0.3864457200598382,0.05305728459029302,0.1372955678796947,0.0635761858731154,0.0197535893291889,0.043822596543926506
3407,T,F12,20,7,0.4533620880078646,0.3865264714316008,0.0668356165762638,0.17291342641739596,0.0759504776194729,0.0198160078939862,0.056134469725486705
3407,T,F12,20,10,0.410751016892704,0.3865264714316008,0.024224545461103197,0.0626724099164058,0.0391296926550125,0.0198160078939862,0.019313684761026302
3407,T,RAW,20,7,0.5247325954636353,0.3874964111811197,0.13723618428251555,0.35416117497503735,0.1457575915186252,0.0205667634548695,0.1251908280637557
3407,T,RAW,20,10,0.4987117913487359,0.3874964111811197,0.11121538016761617,0.2870100908254167,0.1191267456068872,0.0205667634548695,0.0985599821520177
