run_id,phase,seed,representation,family,train_n,test_n,status,n_iter,param_count,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,elapsed_s,time_iso
F12_S_20to20_seed42,explore,42,F12,S,20,20,completed,106,46452,0.3866863499410857,0.3599815345588963,0.0267048153821894,0.0870138101701529,0.0199396280073819,0.0037887155193984,0.0940155981769259,0.46,14.6,2026-07-19T17:19:08+00:00
F12_T_7to10-20_seed42,explore,42,F12,T,7,"10,20",completed,46,46452,0.5130758380581094,0.4316139483212159,0.0814618897368935,0.5159718030313243,0.076956215213602,0.0278902493769738,0.2788191437901094,0.254,6.9,2026-07-19T17:19:15+00:00
F12_T_10to7-20_seed42,explore,42,F12,T,10,"7,20",completed,55,46452,0.5412422203622501,0.4865809990244663,0.0546612213377838,0.2131345995547727,0.0561820724910109,0.0079085115771841,0.213968068270715,0.4463333333333333,8.3,2026-07-19T17:19:24+00:00
F12_T_20to7-10_seed42,explore,42,F12,T,20,"7,10",completed,106,46452,0.6326579038696208,0.541724066083185,0.0909338377864358,0.275893347724656,0.1067910595550034,0.015845491559436,0.4604151041422261,0.4395,15.1,2026-07-19T17:19:39+00:00
F12_L_hold7_seed42,explore,42,F12,L,"10,20",7,completed,86,46452,0.6388366745334513,0.5864600855982591,0.0523765889351921,0.237023692580887,0.0641768647290413,0.0047528840623498,0.2799313640202753,0.555,22.4,2026-07-19T17:20:01+00:00
F12_L_hold10_seed42,explore,42,F12,L,"7,20",10,completed,47,46452,0.5431456761573509,0.4929447185511582,0.0502009576061927,0.1889184722468846,0.0520127299809452,0.0130905458431616,0.2224087744624909,0.4136666666666667,13.0,2026-07-19T17:20:15+00:00
F12_L_hold20_seed42,explore,42,F12,L,"7,10",20,completed,62,46452,0.4213786399220383,0.3599815345588963,0.0613971053631419,0.1595623204294814,0.0479732529591689,0.0222963769127664,0.1788723250553101,0.2686666666666666,16.5,2026-07-19T17:20:31+00:00
RAW_J_seed42,explore,42,RAW,J,"7,10,20","7,10,20",completed,53,46409,0.5365817285237099,0.4887114461420549,0.0478702823816549,0.1774760559766564,0.0490810737952336,0.0134642284913269,0.1969085644948946,0.3877777777777778,22.5,2026-07-19T17:20:54+00:00
RAW_S_7to7_seed42,explore,42,RAW,S,7,7,completed,72,46409,0.6452711847234859,0.5864600855982591,0.0588110991252267,0.2567340581279648,0.0724394698345336,0.0185491651488423,0.280267218938737,0.4166666666666667,10.3,2026-07-19T17:21:04+00:00
RAW_S_10to10_seed42,explore,42,RAW,S,10,10,completed,181,46409,0.5295160852265619,0.4929447185511582,0.0365713666754037,0.1494423973679833,0.0373927889661831,0.0047637959124955,0.1692015889876867,0.51,23.1,2026-07-19T17:21:27+00:00
RAW_S_20to20_seed42,explore,42,RAW,S,20,20,completed,144,46409,0.3868710338576235,0.3599815345588963,0.0268894992987271,0.0891036785943201,0.0200824916146886,0.0019004274424457,0.0988458106362325,0.5146666666666667,18.2,2026-07-19T17:21:45+00:00
RAW_T_7to10-20_seed42,explore,42,RAW,T,7,"10,20",completed,72,46409,0.5413832920399283,0.4316139483212159,0.1097693437187123,0.8031948864468159,0.1068052685145611,0.0227070135311858,0.4848034987224539,0.322,10.8,2026-07-19T17:21:56+00:00
RAW_T_10to7-20_seed42,explore,42,RAW,T,10,"7,20",completed,181,46409,0.631792589913581,0.4865809990244663,0.1452115908891147,1.809302741747408,0.1624008080580627,0.0391173642149631,0.7050969712241316,0.2906666666666667,23.5,2026-07-19T17:22:20+00:00
