beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,status,loss
1.5,1000.0,100.0,0.1,7,33,0.74,1.3768892816265024,1048.2477945160088,282.33741759410384,0.7415676746070801,True,success,0.0423108941876294
1.5,1000.0,100.0,0.1,7,33,0.76,1.3707935891890477,1042.0227133280866,286.28918587890894,0.735026823102337,True,success,0.0438892565862806
1.5,1000.0,100.0,0.1,7,33,0.78,1.3651729188942436,1035.859314723708,290.13429606924115,0.7280809798533423,True,success,0.0455162040161989
1.5,1000.0,100.0,0.1,7,33,0.8,1.9300065616159368,765.0959309970267,426.4782310700678,-692.4383119435298,True,success,0.2439482427891322
1.5,1000.0,100.0,0.1,7,33,0.82,1.9300065616159368,765.0959309970267,426.4782310700678,-692.4383119435298,True,success,0.2439482427891322
1.5,1000.0,100.0,0.1,7,33,0.84,1.9300065616159368,765.0959309970267,426.4782310700678,-692.4383119435298,True,success,0.2439482427891322
1.5,1000.0,100.0,0.1,7,33,0.86,1.9300065616159368,765.0959309970267,426.4782310700678,-692.4383119435298,True,success,0.2439482427891322
1.5,1000.0,100.0,0.1,7,33,0.88,1.9300065616159368,765.0959309970267,426.4782310700678,-692.4383119435298,True,success,0.2439482427891322
1.5,1000.0,100.0,0.1,7,33,0.9,1.9300065616159368,765.0959309970267,426.4782310700678,-692.4383119435298,True,success,0.2439482427891322
1.5,1000.0,100.0,0.1,7,33,0.92,1.9300065616159368,765.0959309970267,426.4782310700678,-692.4383119435298,True,success,0.2439482427891322
1.5,1000.0,100.0,0.1,7,33,0.94,1.9300065616159368,765.0959309970267,426.4782310700678,-692.4383119435298,True,success,0.2439482427891322
1.5,1000.0,100.0,0.1,7,33,0.96,1.9300065616159368,765.0959309970267,426.4782310700678,-692.4383119435298,True,success,0.2439482427891322
1.5,1000.0,100.0,0.1,7,33,0.98,1.9300065616159368,765.0959309970267,426.4782310700678,-692.4383119435298,True,success,0.2439482427891322
1.5,1000.0,100.0,0.1,7,33,1.0,1.9300065616159368,765.0959309970267,426.4782310700678,-692.4383119435298,True,success,0.2439482427891322
1.5,1000.0,100.0,0.1,7,38,0.48,1.5491827301357644,1070.2862616318905,56.55672148154368,0.9492814694425544,True,success,0.0079025618864442
1.5,1000.0,100.0,0.1,7,38,0.5,1.5362910084319812,1063.6767610896277,61.97814220085568,0.9476305682799409,True,success,0.0060857414813683
1.5,1000.0,100.0,0.1,7,38,0.52,1.524092487963194,1057.3169455630932,67.1469990113309,0.9459257464105436,True,success,0.0046225288009803
1.5,1000.0,100.0,0.1,7,38,0.54,1.5125333595129165,1051.1834998401066,72.08522640936344,0.9441638612189062,True,success,0.0034688008408009
1.5,1000.0,100.0,0.1,7,38,0.56,1.5015726969805847,1045.254053642824,76.81236027772434,0.9423403975984824,True,success,0.0025866952851277
1.5,1000.0,100.0,0.1,7,38,0.58,1.4911627076191294,1039.5109933352694,81.34588253897998,0.9404523294605645,True,success,0.0019438047977558
1.5,1000.0,100.0,0.1,7,38,0.6,1.481267952759755,1033.9367769235828,85.70150820920077,0.93849507943723,True,success,0.0015121026260351
1.5,1000.0,100.0,0.1,7,38,0.62,1.4718589458875808,1028.5149433857998,89.89342814741987,0.9364632345508984,True,success,0.0012672087582658
