beta,eta,gamma,gamma_over_eta,n,repeat_id,default_loss,base_l6_delta,base_l6_loss,loss_048,loss_050,new_grid_best_delta,new_grid_best_loss,extended_l6_loss,extended_l6_delta,loss_reduction,at_new_upper_boundary
1.5,1000.0,100.0,0.1,7,54,0.1977744106136677,0.5,0.14259248179848585,0.1556341300344496,0.14259248179848585,0.76,0.0462779327393805,0.0462779327393805,0.76,0.09631454905910536,False
1.5,1000.0,100.0,0.1,7,63,0.15365784539141958,0.5,0.1441962774057484,0.14570904672453108,0.1441962774057484,0.82,0.1361241169539304,0.1361241169539304,0.82,0.008072160451817995,False
1.5,1000.0,100.0,0.1,7,64,0.28462652088052914,0.5,0.21942782827001486,0.22122537821606192,0.21942782827001486,0.74,0.211970695266404,0.211970695266404,0.74,0.007457133003610866,False
1.5,1000.0,100.0,0.1,7,71,0.07650377643864997,0.5,0.054409372880914644,0.05624505119317474,0.054409372880914644,1.0,0.0356297333188235,0.0356297333188235,1.0,0.018779639562091145,True
1.5,1000.0,100.0,0.1,7,100,0.02980621971170593,0.5,0.017645141648156504,0.020170855692267443,0.017645141648156504,0.62,0.0109913864800461,0.0109913864800461,0.62,0.006653755168110403,False
1.5,1000.0,100.0,0.1,7,107,0.03666771475175025,0.5,0.022657061421781133,0.023363181098753964,0.022657061421781133,0.7,0.0197530281651951,0.0197530281651951,0.7,0.002904033256586034,False
1.5,1000.0,100.0,0.1,7,113,0.5935357710296452,0.5,0.43080720441712816,0.4338063199894168,0.43080720441712816,1.0,0.3958031550370013,0.3958031550370013,1.0,0.035004049380126856,True
1.5,1000.0,100.0,0.1,7,115,0.15571707155058076,0.5,0.019436083917499004,0.020967322123632233,0.019436083917499004,0.6,0.0166989084569638,0.0166989084569638,0.6,0.002737175460535205,False
1.5,1000.0,100.0,0.1,7,121,0.05272505452856358,0.5,0.03971187838102647,0.04501767445173007,0.03971187838102647,0.96,0.0022892361475476,0.0022892361475476,0.96,0.037422642233478874,False
1.5,1000.0,100.0,0.1,7,138,0.10517380871354551,0.5,0.06551943552918965,0.07342074520116541,0.06551943552918965,0.82,0.0097704558040674,0.0097704558040674,0.82,0.05574897972512225,False
1.5,1000.0,100.0,0.1,7,139,0.468477198386204,0.5,0.430357245213496,0.43180968437827294,0.430357245213496,1.0,0.4007651087870101,0.4007651087870101,1.0,0.029592136426485893,True
1.5,1000.0,100.0,0.1,7,148,0.24552199837283278,0.5,0.20205480624443928,0.20454345730533344,0.20205480624443928,1.0,0.1707658570460495,0.1707658570460495,1.0,0.03128894919838979,True
1.5,1000.0,100.0,0.1,7,152,0.3879138702968147,0.5,0.32012760409649893,0.32806251813498855,0.32012760409649893,1.0,0.2365771359547311,0.2365771359547311,1.0,0.08355046814176784,True
1.5,1000.0,100.0,0.1,7,156,0.22438863494547487,0.5,0.07293337628989432,0.07325178670752913,0.07293337628989432,0.52,0.0728336839550012,0.0728336839550012,0.52,9.969233489312557e-05,False
1.5,1000.0,100.0,0.1,7,168,0.21051082508649743,0.5,0.18719949395432625,0.18917639975165046,0.18719949395432625,1.0,0.1632291657230433,0.1632291657230433,1.0,0.02397032823128295,True
1.5,1000.0,100.0,0.1,7,192,0.1674352212852031,0.5,0.1450509628087918,0.14885688664352917,0.1450509628087918,0.96,0.0357475548101764,0.0357475548101764,0.96,0.10930340799861539,False
1.5,1000.0,100.0,0.1,7,202,0.09382371374061216,0.5,0.07622335937500531,0.07851840616596863,0.07622335937500531,0.56,0.0736043129099788,0.0736043129099788,0.56,0.0026190464650265033,False
1.5,1000.0,100.0,0.1,7,209,0.8665000999452666,0.5,0.7829739325301888,0.7955774582950452,0.7829739325301888,1.0,0.6305703448414565,0.6305703448414565,1.0,0.1524035876887323,True
1.5,1000.0,100.0,0.1,7,211,0.17303906161739155,0.5,0.062073640602578514,0.0677096368873988,0.062073640602578514,0.62,0.0478134315085599,0.0478134315085599,0.62,0.014260209094018615,False
1.5,1000.0,100.0,0.1,7,223,1.2898169886696325,0.5,1.232645914709058,1.2727706948449478,1.232645914709058,0.98,0.3589106759026626,0.3589106759026626,0.98,0.8737352388063955,False
1.5,1000.0,100.0,0.1,7,235,0.10782835301442609,0.5,0.07427452825130788,0.08237237974005959,0.07427452825130788,0.6,0.045004449258344,0.045004449258344,0.6,0.029270078992963883,False
1.5,1000.0,100.0,0.1,7,242,0.23094977383198767,0.5,0.08159205522613006,0.08600050512051738,0.08159205522613006,0.56,0.0752562229494418,0.0752562229494418,0.56,0.006335832276688255,False
1.5,1000.0,100.0,0.1,7,245,0.21904407460059291,0.5,0.07419460601131714,0.07958620806705567,0.07419460601131714,0.84,0.024869773169602,0.024869773169602,0.84,0.04932483284171514,False
1.5,1000.0,100.0,0.1,7,258,0.55300594531723,0.5,0.16560766545252956,0.17028075278058438,0.16560766545252956,1.0,0.1220711830039572,0.1220711830039572,1.0,0.04353648244857236,True
1.5,1000.0,100.0,0.1,7,267,0.11171023645362455,0.5,0.06945416247795194,0.07130079928271303,0.06945416247795194,1.0,0.041140174522255,0.041140174522255,1.0,0.028313987955696944,True
