R,target,beta,gamma_over_eta,s_beta,s_eta,s_gamma,s_norm,W_bb,W_be,W_bg,W_ee,W_eg,W_gg,rank
0.9,B10,2.5,0.1,0.7224313751424398,0.8025705030178569,1.9742949698214307,2.2503037865956537,0.5219070917901967,0.57980211214395,1.426292629984898,0.6441194123143359,1.5845109070352104,3.897840627862204,1
0.9,B10,2.5,0.25,0.5573695810983479,0.6191984463309816,1.5232062146760736,1.7361522796979136,0.3106608499337478,0.3451223786482471,0.8489888098004034,0.38340671593870157,0.9431669215691205,2.320157172427813,1
0.9,B10,2.5,0.5,0.4036565425475693,0.44843405968487565,1.1031318806302488,1.2573510473570004,0.1629386043414576,0.18101334209296724,0.4452864009092041,0.20109310588545862,0.4946819075988341,1.2168999460628296,1
0.9,B10,2.5,0.75,0.316399067858475,0.35149713562134555,0.864670485838206,0.9855524621101617,0.10010837014171187,0.1112133660655177,0.2735809357239431,0.12355023635001058,0.3039291990284467,0.7476550490796793,1
0.9,B10,2.5,1.0,0.26016073958518726,0.2890203039606543,0.7109796960393457,0.8103755146246838,0.06768361042151162,0.07519173603353946,0.18496900355164783,0.083532736101509,0.20548756785914532,0.5054921281802005,1
0.9,B10,3.0,0.1,0.6190528958626511,0.8252691305316404,1.7473086946835974,2.0291336329087053,0.3832264878759344,0.5108852451216642,1.0816765074098698,0.6810691378084498,1.441999927231908,3.053087674516897,1
0.9,B10,3.0,0.25,0.4904957678754967,0.6538876057109523,1.384449577156191,1.607748652897626,0.24058609830377314,0.32072910326746357,0.6790666584321327,0.4275690009024018,0.905274419234202,1.9167006316879562,1
0.9,B10,3.0,0.5,0.36437950497777943,0.4857600364465142,1.0284799271069718,1.1943643485630056,0.13277242364785158,0.17700100161836896,0.37475700671882106,0.23596281300851882,0.4995944468759909,1.057770960461962,1
0.9,B10,3.0,0.75,0.28985260775410304,0.38640706017572657,0.818123919765698,0.9500798379443128,0.08401453422185391,0.11200109404653097,0.23713535161009613,0.14931041615364757,0.31612885869610535,0.6693267480927902,1
0.9,B10,3.0,1.0,0.24063524523727764,0.32079462181580193,0.6792053781841981,0.7887550040352757,0.05790532125040475,0.07719449249144524,0.16344075274583242,0.10290918938594339,0.21788543242985856,0.4613199457543396,1
0.9,B10,3.5,0.1,0.54020864240522,0.8401873887301411,1.598126112698589,1.884607995737991,0.2918253773292909,0.4538764886318964,0.8633215377332365,0.7059148481811732,1.3427254054896787,2.5540070720891035,1
0.9,B10,3.5,0.25,0.4357509069507154,0.6777241012243651,1.2891035951025394,1.5201897543382656,0.18987885290837103,0.29531889177087556,0.5617280607193593,0.4593099573803735,0.8736565753759663,1.6617880789062918,1
0.9,B10,3.5,0.5,0.32954613129846816,0.5125436392298353,0.9749127215403295,1.1496766716733549,0.10860065265378721,0.16890677342983,0.32127871573727634,0.2627009821149635,0.4996853142297435,0.950454814621172,1
0.9,B10,3.5,0.75,0.2649663620200632,0.41210261801026477,0.7838631759863137,0.9243793698695423,0.07020717300214718,0.10919333147312363,0.2076973740625861,0.1698285677709142,0.3230320669858008,0.6144414786673507,1
