beta,gamma_over_eta,n,repeat_id,max_feature_rel_diff,max_curve_rel_diff,delta_consistent,selected_delta_0.001,selected_delta_1,selected_delta_1000
2.5,0.5,10,456,7.097605988387187e-15,0.0,True,0.22,0.22,0.22
1.5,0.5,7,682,7.27381277358168e-15,0.0,True,0.0,0.0,0.0
1.5,0.5,10,293,4.1935830605919e-14,0.0,True,0.44,0.44,0.44
1.5,0.5,20,321,2.2060577330878574e-15,0.0,True,0.06,0.06,0.06
2.0,0.1,10,9,5.678613886358115e-16,0.0,True,0.0,0.0,0.0
1.5,1.0,20,556,5.388548530320842e-15,0.0,True,0.32,0.32,0.32
1.5,1.0,7,125,3.6003277793206475e-15,0.0,True,0.08,0.08,0.08
2.0,0.1,7,907,1.0369142254726406e-14,0.0,True,0.2,0.2,0.2
2.5,0.5,10,685,2.4941157938635137e-14,0.0,True,0.1,0.1,0.1
2.0,0.1,20,340,5.7711101922016406e-15,0.0,True,0.06,0.06,0.06
4.0,1.0,20,832,4.09530115651417e-14,0.0,True,0.02,0.02,0.02
1.5,0.5,10,861,3.0079276505758598e-15,0.0,True,0.04,0.04,0.04
5.0,0.5,20,200,1.723706612565352e-14,0.0,True,0.04,0.04,0.04
5.0,0.5,7,456,1.0588377798425087e-14,0.0,True,0.12,0.12,0.12
4.0,1.0,7,29,3.5159907449274946e-15,0.0,True,0.0,0.0,0.0
2.5,0.1,7,612,3.057984246168372e-14,0.0,True,0.06,0.06,0.06
2.0,0.1,10,626,4.27942395648177e-14,0.0,True,0.46,0.46,0.46
2.5,0.1,7,714,2.9360014649435583e-15,0.0,True,0.28,0.28,0.28
2.0,0.1,10,629,1.4681765637684107e-14,0.0,True,0.2,0.2,0.2
2.5,0.5,20,606,2.562952642665502e-15,0.0,True,0.0,0.0,0.0
1.5,1.0,7,836,6.4167183392434266e-15,0.0,True,0.02,0.02,0.02
5.0,0.5,20,662,5.180734229778638e-14,0.0,True,0.02,0.02,0.02
4.0,0.1,7,364,3.003154707016334e-14,0.0,True,0.04,0.04,0.04
2.0,0.1,10,53,4.182094154063264e-15,0.0,True,0.32,0.32,0.32
1.5,0.5,20,976,2.1838017101537157e-15,0.0,True,0.32,0.32,0.32
2.0,0.5,20,456,5.912803405266718e-15,0.0,True,0.02,0.02,0.02
2.0,0.1,10,444,5.1579450514446286e-15,0.0,True,0.0,0.0,0.0
5.0,0.5,20,14,2.7720052247655956e-14,0.0,True,0.02,0.02,0.02
5.0,0.5,20,450,1.903890479558007e-14,0.0,True,0.0,0.0,0.0
1.5,0.5,10,866,3.9491749050307294e-16,0.0,True,0.0,0.0,0.0
2.0,1.0,10,956,1.4564877876388768e-12,0.0,True,0.04,0.04,0.04
2.0,0.1,10,146,3.032086323102188e-15,0.0,True,0.26,0.26,0.26
1.5,1.0,10,817,3.2603087060595437e-15,0.0,True,0.0,0.0,0.0
2.5,1.0,10,973,9.617695952196055e-15,0.0,True,0.04,0.04,0.04
2.0,0.5,20,646,2.489917920839054e-15,0.0,True,0.32,0.32,0.32
4.0,1.0,7,182,5.4455404401051035e-15,0.0,True,0.04,0.04,0.04
2.0,1.0,20,72,7.520793170476688e-15,0.0,True,0.06,0.06,0.06
1.5,0.5,20,47,2.5986984878858406e-15,0.0,True,0.02,0.02,0.02
5.0,0.5,7,429,1.5504481712802494e-15,0.0,True,0.12,0.12,0.12
4.0,0.5,10,906,9.075399861207391e-14,0.0,True,0.18,0.18,0.18
2.5,1.0,20,777,1.3750838232869935e-14,0.0,True,0.02,0.02,0.02
2.5,1.0,10,244,2.8690827914219896e-15,0.0,True,0.04,0.04,0.04
2.5,1.0,7,131,2.5615216148696124e-14,0.0,True,0.02,0.02,0.02
5.0,1.0,7,410,2.1409992118924665e-14,0.0,True,0.04,0.04,0.04
5.0,1.0,7,424,2.211192010569849e-14,0.0,True,0.0,0.0,0.0
2.0,0.1,20,811,2.244817646581801e-15,0.0,True,0.08,0.08,0.08
1.5,1.0,10,221,2.5604904161095718e-15,0.0,True,0.0,0.0,0.0
1.5,1.0,10,25,1.301600157018358e-15,0.0,True,0.06,0.06,0.06
5.0,1.0,7,700,8.17976309894183e-15,0.0,True,0.02,0.02,0.02
5.0,0.5,10,321,1.864262654690524e-14,0.0,True,0.16,0.16,0.16
2.0,0.5,10,464,3.4783550699951786e-15,0.0,True,0.06,0.06,0.06
2.5,0.1,10,640,1.0216675989688846e-15,0.0,True,0.44,0.44,0.44
4.0,0.1,20,195,3.110284514975208e-14,0.0,True,0.2,0.2,0.2
2.5,0.1,20,694,1.0863655920534569e-14,0.0,True,0.32,0.32,0.32
2.5,1.0,7,717,1.413601403708443e-15,0.0,True,0.0,0.0,0.0
2.0,1.0,7,842,8.563313869026074e-15,0.0,True,0.1,0.1,0.1
5.0,0.1,20,711,5.1500606716924346e-15,0.0,True,0.06,0.06,0.06
2.0,0.1,10,330,2.9155374850023426e-15,0.0,True,0.22,0.22,0.22
1.5,0.1,7,194,1.8102291422501744e-14,0.0,True,0.0,0.0,0.0
1.5,0.1,10,765,1.5788395485902769e-15,0.0,True,0.0,0.0,0.0
4.0,0.1,7,569,1.9120701130830194e-14,0.0,True,0.1,0.1,0.1
4.0,1.0,20,867,1.1831255345473423e-14,0.0,True,0.0,0.0,0.0
2.0,0.5,20,288,1.1353517599170569e-14,0.0,True,0.32,0.32,0.32
1.5,0.1,20,793,2.884453781862939e-15,0.0,True,0.04,0.04,0.04
1.5,0.1,20,503,1.7090682874768662e-15,0.0,True,0.0,0.0,0.0
5.0,0.1,10,105,6.426425781428793e-15,0.0,True,0.0,0.0,0.0
5.0,0.5,20,702,2.6857347350369264e-14,0.0,True,0.0,0.0,0.0
2.5,0.5,7,388,2.386546584909694e-15,0.0,True,0.0,0.0,0.0
2.0,0.1,20,900,3.176431112835978e-14,0.0,True,0.32,0.32,0.32
5.0,0.5,20,436,6.258020761794441e-15,0.0,True,0.04,0.04,0.04
1.5,1.0,7,227,3.877860917046275e-15,0.0,True,0.14,0.14,0.14
2.5,0.5,10,312,1.2759782665068436e-15,0.0,True,0.04,0.04,0.04
2.5,1.0,20,82,3.341959271381009e-14,0.0,True,0.04,0.04,0.04
4.0,0.1,20,174,5.194821636587496e-14,0.0,True,0.16,0.16,0.16
4.0,0.1,7,689,7.43961150255786e-15,0.0,True,0.2,0.2,0.2
2.5,0.5,10,598,2.9820018961020367e-15,0.0,True,0.32,0.32,0.32
5.0,0.5,20,650,1.2647187480973948e-14,0.0,True,0.02,0.02,0.02
2.0,0.1,10,592,1.2529622273617208e-14,0.0,True,0.32,0.32,0.32
4.0,0.5,20,954,3.562754723648717e-14,0.0,True,0.12,0.12,0.12
2.5,1.0,7,681,2.3318654693885955e-15,0.0,True,0.08,0.08,0.08
2.5,1.0,7,823,5.491070719978608e-14,0.0,True,0.02,0.02,0.02
2.0,0.1,7,665,2.5681128251378216e-15,0.0,True,0.02,0.02,0.02
2.5,0.1,20,63,1.953328573514211e-15,0.0,True,0.08,0.08,0.08
2.0,0.5,7,199,2.8542457158420835e-15,0.0,True,0.04,0.04,0.04
1.5,0.1,7,156,2.1311148604286153e-15,0.0,True,0.0,0.0,0.0
1.5,0.5,7,810,1.16087108198562e-14,0.0,True,0.06,0.06,0.06
2.5,0.1,7,143,2.4254818459005417e-15,0.0,True,0.0,0.0,0.0
4.0,0.5,20,184,1.3714251327364145e-14,0.0,True,0.06,0.06,0.06
