method,beta_group,beta,gamma_over_eta,n,n_total,n_valid,failure_rate,J1_primary,J1_valid,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,beta_mae,eta_bias,eta_sd,eta_rmse,eta_mae,gamma_bias,gamma_sd,gamma_rmse,gamma_mae,x0.90_bias,x0.90_sd,x0.90_rmse,x0.90_mae,x0.95_bias,x0.95_sd,x0.95_rmse,x0.95_mae,x0.99_bias,x0.99_sd,x0.99_rmse,x0.99_mae
Adaptive-MDM,far_ood,1.0,0.75,7,300,300,0.0,0.7391812826510347,0.7391812826510347,1.323731396415775,1.645408427067555,0.12231549268770375,0.4970031962323277,0.5110282603663273,0.3919844823440775,0.05490831181911897,0.492744312339536,0.49497732964111046,0.3889108345318025,-0.009680479732132385,0.2006914898438838,0.20059045059511038,0.13831243309451424,0.053589512061632406,0.17960393395536972,0.187141346718484,0.12049913246120196,0.04454879962839479,0.19300308806799668,0.19776405195442998,0.12354742581042588,0.018185850585084824,0.2311008198889493,0.23143095907491823,0.15588114015084412
Adaptive-MDM,far_ood,1.0,0.75,10,300,300,0.0,0.6232962240517005,0.6232962240517005,1.1558236488748963,1.4800224399669426,0.0898440603637094,0.42297624414197876,0.43172270646878325,0.33024372841397354,0.020767806062645975,0.42496553620568256,0.42476466783545413,0.32869956282227786,-0.0069104023910541495,0.14735429604306638,0.14727071872919198,0.1112052926957142,0.04518954325125029,0.10876167623814254,0.11760853156408363,0.0873919164218339,0.03826901963650914,0.11241346586094678,0.11857142381895198,0.08608439584731083,0.01632512035292318,0.15405089727740312,0.15465795456427017,0.11706268065940383
Adaptive-MDM,far_ood,1.0,0.75,15,300,300,0.0,0.4843187465925808,0.4843187465925808,0.9183969966021479,1.1547774613314645,0.08603135007557486,0.3436009843908019,0.35365165188629677,0.2568483486725835,0.004692146499994057,0.31298031763766576,0.312493477057132,0.24461289276300913,-0.009951095152943151,0.1085506212742834,0.10882547595046725,0.07411309200651287,0.027194663403541965,0.0878062379447568,0.09178118192147645,0.06629486491118212,0.021725746046870116,0.08231160008396228,0.0849977855671191,0.05687190646094282,0.0052537481491860705,0.10825427808654653,0.10820132761619713,0.07711400798458046
Adaptive-MDM,far_ood,1.0,0.75,20,300,300,0.0,0.3895080561821452,0.3895080561821452,0.710746084630323,0.9747123865122178,0.05502946171181602,0.2800692757456901,0.284965924645302,0.2141264623081215,0.0012459221376666181,0.2567161062438113,0.25629091737634213,0.19566570116999227,-0.0004273312546018713,0.06958354868591773,0.06946879365754256,0.04888040688116201,0.02330242718662542,0.07409983763593153,0.07755956698349441,0.05894784283538371,0.020725487065061565,0.06267642781257764,0.06591499047069242,0.0480802598736889,0.010745270021162726,0.0729904358339305,0.07365667567829408,0.053313746905165785
Adaptive-MDM,far_ood,1.0,1.0,7,300,300,0.0,0.8408190629656067,0.8408190629656067,1.5591175647912776,2.11597327789444,0.2013427819063843,0.6047231514867518,0.6364039902478539,0.4550812701973958,0.0796707517376002,0.5023133332061428,0.5077647596246818,0.3837907941836856,-0.03423296467959741,0.2076377187869499,0.2100990402792444,0.15446615926893073,0.04389758715996007,0.12144592129074162,0.12894551659762912,0.09032191002989061,0.0309584917716514,0.12738134888549163,0.13088296131728958,0.09445679692917497,0.0011382833603404841,0.16113111854467946,0.16086636978536908,0.12127255853940139
Adaptive-MDM,far_ood,1.0,1.0,10,300,300,0.0,0.6989898135281442,0.6989898135281442,1.4327496437718847,1.6842731683740964,0.17249566000349698,0.4921157407778002,0.5206970283830328,0.3763445696688571,0.06048555110689733,0.431310839093522,0.43481886460057284,0.34344616500035374,-0.035780356378585974,0.16493746195229053,0.16850495255824882,0.12262309985468561,0.03222194514428044,0.09479370652858474,0.09997073433585639,0.06946587699148454,0.02032091604943572,0.09364974725763235,0.09567643670187854,0.06756646013583169,-0.006228993173940214,0.12324670774081273,0.12319869650966471,0.09295535979995405
Adaptive-MDM,far_ood,1.0,1.0,15,300,300,0.0,0.5214924348157123,0.5214924348157123,0.922394632820016,1.2707354885722328,0.1358981973034714,0.37845496603884576,0.40152092616126367,0.28798695999784835,0.032233225071688625,0.3144608772503673,0.3155867635191984,0.25423214381754006,-0.016842795228560248,0.10436920107049937,0.10554762013469825,0.07538037004857856,0.02860912094693654,0.0682320513607428,0.07388217596151661,0.05322707214291745,0.020078951756335693,0.06057477930511174,0.0637199904153846,0.044565591627249275,0.0015323084593450165,0.07722443366989959,0.07711084498520628,0.05800314036424829
Adaptive-MDM,far_ood,1.0,1.0,20,300,300,0.0,0.4380485036533363,0.4380485036533363,0.7801882897789048,1.2270588180637438,0.11395008622987096,0.33976999643295575,0.357831609083927,0.23064089457163386,0.023091161531240363,0.2391110749248557,0.2398264529586816,0.18486409237379334,-0.007446539878065572,0.07932102715926993,0.079538063558223,0.05392301744416869,0.02593784221089608,0.057454663009464675,0.06295082603972237,0.04644146582502952,0.019760242599552988,0.047400000437958535,0.05128097141214529,0.03687116304479437,0.006206455769344821,0.055821201652334305,0.05607263110122771,0.04115792903701605
Adaptive-MDM,far_ood,5.5,0.1,7,300,300,0.0,0.8703702577840347,0.8703702577840347,1.3853514079956633,1.4534829614016067,-0.5035569514778907,0.19717677606703388,0.5406650430705645,0.508566433906104,-0.44135013864410977,0.21930591508811306,0.49267099805634407,0.4506583850238071,0.4221776221660868,0.21074887936455988,0.47170010018094927,0.43047676933712115,0.00981326586447475,0.1468591197030461,0.14694219687827584,0.1183424841786661,0.052183419336530416,0.18507383982765263,0.1919928671111906,0.15541262128868905,0.19739729544664825,0.284912647415215,0.3462229409661846,0.2823677929388326
Adaptive-MDM,far_ood,5.5,0.1,10,300,299,0.0033333333333332993,0.7931404503349332,0.7888247443151795,1.2512057284759428,1.3472620676762328,-0.47169263103408376,0.1471602651229806,0.49404215733974083,0.47169263103408376,-0.4079452197841883,0.17117098909324074,0.4422904228988284,0.4096808929872455,0.39461730974371323,0.16405241651511973,0.4272540296205273,0.39528620606478343,0.006728035765841622,0.12012015429392527,0.12010770543367791,0.09471642842163747,0.04211469262767043,0.15008669416249645,0.1556416565524258,0.12261420716055861,0.1684227184043552,0.2294223794403298,0.2842970360679054,0.22364836613201666
