beta,eta,gamma,gamma_over_eta,n,repeat_id,gradient_at_zero,gradient_at_true_gamma,local_gradient_slope,gamma_hat_d01,gamma_error_d01,solution_strategy
2.0,1.0,0.5,0.5,20,6,-0.02502917358648826,-0.0629860112518274,0.0646981909809799,0.8063915952990167,0.3063915952990167,brent_root
2.0,1.0,0.5,0.5,20,7,-0.027168940855415432,-0.08060932659649958,0.23594058203661866,0.753084403164946,0.25308440316494596,brent_root
2.0,1.0,0.5,0.5,20,8,0.04246629098647591,0.338530727789593,1.9881776153935355,0.2446852546904733,-0.2553147453095267,brent_root
2.0,1.0,0.5,0.5,20,9,-0.022912830320576113,0.007554625638771736,2.2472064037446007,0.5598794055869526,0.059879405586952594,brent_root
2.0,1.0,0.5,0.5,20,10,-0.027963969546906938,0.06650446098240585,2.2841110129671276,0.5299175981278927,0.02991759812789274,brent_root
2.0,1.0,0.5,0.5,20,11,-0.05668043905615593,-0.18875753252826677,0.3369119688289091,0.7174313291608531,0.21743132916085306,brent_root
2.0,1.0,0.5,0.5,20,12,0.08436151073820675,0.5552558884715235,0.724671384058961,0.06241244902491137,-0.4375875509750886,brent_root
2.0,1.0,0.5,0.5,20,13,-0.048525936519050454,-0.06863244229594812,6.002596598029831,0.5504589006109275,0.050458900610927504,brent_root
2.0,1.0,0.5,0.5,20,14,-0.07159106354126532,0.5484393870445704,13.293454974317697,0.443515641306095,-0.056484358693905,brent_root
2.0,1.0,0.5,0.5,20,15,-0.051774131992754484,-0.13616522982717966,2.148229704523059,0.6156837023386575,0.11568370233865755,brent_root
2.0,1.0,0.5,0.5,20,16,0.005023336278886514,0.1235684852231918,2.717100743002967,0.48274547205387897,-0.017254527946121034,brent_root
2.0,1.0,0.5,0.5,20,17,-0.017405319535646058,0.191136667911756,5.144689436775306,0.4549479922469847,-0.04505200775301532,brent_root
2.0,1.0,0.5,0.5,20,18,-0.0316949333001304,-0.09821442408118489,-0.12157192470599455,0.7979077470331496,0.2979077470331496,brent_root
2.0,1.0,0.5,0.5,20,19,0.10879788067547079,0.7297795986175156,0.3476439098197109,0.0,-0.5,truncated_at_zero
2.5,1.0,0.5,0.5,7,0,-0.002816836951623853,0.0035597990829939296,0.256132348445797,0.8362287114812185,0.33622871148121847,brent_root
2.5,1.0,0.5,0.5,7,1,-0.01800357889020221,-0.07859354782742556,0.41085047529271795,0.7060956240457626,0.20609562404576265,brent_root
2.5,1.0,0.5,0.5,7,2,-0.027957557283131425,0.10698910521934425,5.614398819180945,0.4982894740829688,-0.0017105259170311915,brent_root
2.5,1.0,0.5,0.5,7,3,0.022375760200254998,0.1968759798244214,2.107998084257751,0.37613397987654623,-0.12386602012345377,brent_root
2.5,1.0,0.5,0.5,7,4,0.06067175091772902,0.25094028303601473,1.2037028787409956,0.22261543312305013,-0.2773845668769499,brent_root
2.5,1.0,0.5,0.5,7,5,0.06215484863875131,0.37224444691677805,1.1098872256214969,0.17354373462538,-0.32645626537462,brent_root
2.5,1.0,0.5,0.5,7,6,-0.026467067171243027,0.04055415434676187,1.304764588598856,0.5801062537011676,0.08010625370116764,brent_root
2.5,1.0,0.5,0.5,7,7,-0.01843256884909316,-0.04561309785925583,-0.1766521467126633,1.072370344550356,0.5723703445503561,brent_root
2.5,1.0,0.5,0.5,7,8,-0.0068432475238206295,-0.017506466897688956,-0.026931605493580524,1.009294000428304,0.509294000428304,brent_root
2.5,1.0,0.5,0.5,7,9,0.0004980609993876506,0.01859218632856153,0.5169227978591747,0.6989550897614675,0.19895508976146747,brent_root
2.5,1.0,0.5,0.5,7,10,0.05532187375423269,0.2618412410967564,1.1240026445107334,0.22443638160907278,-0.27556361839092725,brent_root
2.5,1.0,0.5,0.5,7,11,-0.011723332626889514,-0.01022636985921397,0.44487377120825405,0.753585942801351,0.25358594280135105,brent_root
2.5,1.0,0.5,0.5,7,12,-0.008023016576097497,-0.024241567711741463,0.15019166617284896,0.7551236928154882,0.2551236928154882,brent_root
2.5,1.0,0.5,0.5,7,13,-0.04088329114970701,-0.09673392649846817,2.688050576847268,0.6250256958891499,0.1250256958891499,brent_root
2.5,1.0,0.5,0.5,7,14,-0.011060290928954773,-0.032790667479754586,-0.15599710380895987,0.9097993214655906,0.4097993214655906,brent_root
2.5,1.0,0.5,0.5,7,15,-0.023075429339547423,-0.048248060290532316,0.49682698190836816,0.695514252001079,0.19551425200107897,brent_root
2.5,1.0,0.5,0.5,7,16,0.016181464930487,0.09638192593476896,0.9719216898522242,0.5091354703122878,0.009135470312287786,brent_root
2.5,1.0,0.5,0.5,7,17,-0.0027605502730954075,0.01689110061148796,0.5558733106546238,0.7236039000986236,0.22360390009862363,brent_root
2.5,1.0,0.5,0.5,7,18,0.057887524439192976,0.5173330957800198,2.3775201397382992,0.1652479652487016,-0.3347520347512984,brent_root
2.5,1.0,0.5,0.5,7,19,0.05159677190225142,0.49642353953660423,3.730885016213433,0.21162330409247332,-0.2883766959075267,brent_root
2.5,1.0,0.5,0.5,10,0,-0.02265950781038528,-0.04773029084376416,1.6112236925214587,0.6355608015694872,0.13556080156948724,brent_root
