method,beta,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
WMLE,3.25,6000,5610,0.06499999999999995,0.7688910125844429,1.634146104643533,1.6341461046435328,-0.25381938527530906,0.33515559574101556,0.4203968727936398,-0.2613595536620633,0.2854588327580046,0.3870155503638987,0.22908086997544924,0.26012830645524393,0.34660167195390246,0.078830752854865,0.16998380531898247,0.18735963047755003,-0.8249130021447545,1.0892556861583007,1.3662898365793292,-261.35955366206326,285.45883275800463,387.0155503638987,229.08086997544925,260.12830645524394,346.60167195390244
WMLE,3.5,6000,5658,0.05700000000000005,0.7834005942060244,1.634146104643533,1.6341461046435328,-0.28431492066350605,0.32879155516450564,0.43464900147289626,-0.285887591337742,0.2859621420312458,0.4043409559821293,0.25776782250123875,0.2656205793719349,0.3701162961475282,0.07999754283010854,0.15823318285611923,0.1772933214279597,-0.9951022223222714,1.1507704430757697,1.5212715051551369,-285.887591337742,285.96214203124583,404.34095598212934,257.76782250123875,265.6205793719349,370.1162961475282
WMLE,3.75,6000,5639,0.0601666666666667,0.7988573831746509,1.634146104643533,1.6341461046435328,-0.30336474694110466,0.3190214855933586,0.4402122551630396,-0.3014864726839934,0.28120547914284344,0.4122579187416278,0.2738180959385541,0.26336951931031316,0.37990466263343736,0.07357204479799788,0.14719355616086452,0.1645446644244508,-1.1376178010291425,1.1963305709750947,1.6507959568613986,-301.48647268399344,281.2054791428434,412.2579187416278,273.8180959385541,263.36951931031314,379.90466263343734
WMLE,4.0,6000,5694,0.051000000000000045,0.8000952774547442,1.634146104643533,1.6341461046435326,-0.3189824171349905,0.3115643885103927,0.44587565805238194,-0.3164462877142418,0.27932457194561355,0.4220743618947384,0.2901221725821416,0.264448679927555,0.3925451533839509,0.06890945106450702,0.14104406008073897,0.15696638359070586,-1.275929668539962,1.2462575540415708,1.7835026322095278,-316.44628771424186,279.32457194561357,422.0743618947384,290.1221725821416,264.44867992755496,392.54515338395095
WMLE,4.25,6000,5718,0.04700000000000004,0.8133999611807472,1.4188207190859394,1.623723178247685,-0.3412093918905299,0.3023835783945203,0.4558987680626754,-0.3334666149351765,0.28002006392740586,0.43542795779024424,0.30840226998640896,0.2645902724211301,0.40633450376352587,0.06705036485472224,0.1336957416768985,0.14955660050667063,-1.4501399155347519,1.2851302081767113,1.9375697642663705,-333.46661493517644,280.0200639274059,435.42795779024425,308.402269986409,264.59027242113007,406.3345037635258
WMLE,4.5,6000,5751,0.04149999999999998,0.8154527876923343,1.3734704966451157,1.5989951435269734,-0.35717535493592795,0.2905770655859151,0.4604286952593839,-0.3458394505651889,0.27321636230287066,0.44072568150295244,0.322889734887685,0.26010198389895933,0.4146071142942862,0.061072063731264,0.12511224999474221,0.13921260814512762,-1.6072890972116751,1.307596795136618,2.0719291286672274,-345.8394505651889,273.21636230287066,440.72568150295245,322.88973488768505,260.10198389895936,414.60711429428625
WMLE,4.75,6000,5803,0.03283333333333338,0.8295818854471317,1.3444802345577156,1.5540077832921546,-0.3837028341336804,0.2799371952052621,0.4749517806981957,-0.37031334222375606,0.2695924604161579,0.45803879919672846,0.3459484186515684,0.2566434083892563,0.4307375037408219,0.05846769245832242,0.12036000815744594,0.13380024752757402,-1.822588462134982,1.329701677224995,2.2560209583164297,-370.3133422237561,269.5924604161579,458.0387991967284,345.9484186515683,256.64340838925636,430.7375037408219
WMLE,5.0,6000,5819,0.030166666666666675,0.8404484124129129,1.347662730930146,1.5420116405742095,-0.3983779230248639,0.26998224280819255,0.4812305629398337,-0.38414598426650987,0.26589603059754197,0.467179501200073,0.3608255653977551,0.2554161439183895,0.44206479628676104,0.05676907287213061,0.11539757790291433,0.12859642355696352,-1.9918896151243195,1.3499112140409626,2.406152814699168,-384.14598426650986,265.896030597542,467.17950120007305,360.8255653977551,255.41614391838954,442.064796286761
WMLE,5.25,6000,5838,0.027000000000000024,0.8551925301913126,1.3515276359025188,1.52951033475442,-0.41731338951057523,0.2624448627417969,0.492966502862697,-0.39998167104372717,0.2610912295045098,0.4776424296328773,0.37855411884095563,0.25118844145399954,0.4542995116258557,0.054745428919566394,0.1097310457617418,0.12262096838167078,-2.19089529493052,1.3778355293944338,2.5880741400291596,-399.9816710437272,261.09122950450984,477.64242963287734,378.5541188409556,251.18844145399953,454.2995116258557
WMLE,5.5,6000,5848,0.02533333333333332,0.8705192198751777,1.3630401424556335,1.5270511233318527,-0.43637529875128284,0.2533052833941924,0.5045552458091885,-0.4158430746308697,0.25440720317655063,0.4874806869998342,0.3941069950912067,0.2461049649815248,0.46462632338518656,0.0511689063789453,0.1037637455143506,0.11568634636580145,-2.4000641431320555,1.3931790586680581,2.7750538519505374,-415.84307463086964,254.4072031765506,487.48068699983423,394.1069950912068,246.10496498152477,464.6263233851866
WMLE,5.75,6000,5866,0.022333333333333316,0.8806919861773224,1.3700289105677512,1.5178739649109885,-0.4493566971457737,0.2451925757089142,0.5118892376901808,-0.43003188889560917,0.24846977255926128,0.49664285835566546,0.40825306087734575,0.238722828741451,0.472915886400562,0.048402633142911766,0.10019494531954563,0.11126603511621162,-2.583801008588199,1.4098573103262566,2.9433631167185395,-430.0318888956092,248.4697725592613,496.64285835566545,408.2530608773458,238.72282874145102,472.91588640056193
