method,beta_group,beta,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
Direct-P,in_domain_unseen,1.75,6000,6000,0.0,0.3908307681901788,0.769322150965679,0.929396885616638,0.1525928119809239,0.2429163312165955,0.2868502667176398,0.0436821982907299,0.2100760598695572,0.2145523946561151,-0.0554264216711106,0.1461655099613361,0.1563102165422044,0.0426256464269319,0.2498318675278333,0.2534215955782378,0.267037420966617,0.4251035796290423,0.5019879667558697,43.68219829072994,210.0760598695572,214.55239465611515,-55.42642167111063,146.16550996133614,156.31021654220444
Direct-P,in_domain_unseen,2.25,6000,6000,0.0,0.3500468470292719,0.6094225884989493,0.6946037122569483,0.0402968655676456,0.2351212370531011,0.2385301235105088,0.0062963792267197,0.1988395122877364,0.1989226143828727,-0.0238434688988933,0.1596925422673906,0.1614495858783133,0.0185397608331499,0.2017632043147307,0.2025964674305279,0.0906679475272027,0.5290227833694776,0.5366927778986449,6.296379226719754,198.83951228773648,198.9226143828728,-23.8434688988934,159.69254226739068,161.44958587831337
Direct-P,in_domain_unseen,2.75,6000,6000,0.0,0.3367301297097068,0.5226365063552005,0.5692835426511853,-0.0284343187480563,0.2204813042168926,0.2222890325475591,-0.0222588059403954,0.1890270969942478,0.1903174785266239,0.0076184722597755,0.1664349701163415,0.1665953889837716,0.0078330461852086,0.1698064334001851,0.1699728676362605,-0.078194376557155,0.6063235865964548,0.6112948395057878,-22.258805940395497,189.02709699424787,190.31747852662397,7.618472259775556,166.43497011634153,166.59538898377167
Direct-P,in_domain_unseen,3.25,6000,6000,0.0,0.3274150651077497,0.5471856452291136,0.5988607156951862,-0.0869312726555807,0.1958484146643846,0.2142597837326234,-0.0485496220665758,0.178066180720455,0.1845517432186911,0.0320553215734202,0.161897649281685,0.1650273432171279,-0.008489835196661,0.1432200029644263,0.1434594991252068,-0.2825266361306373,0.6365073476592501,0.6963442971310263,-48.54962206657583,178.0661807204551,184.55174321869117,32.055321573420215,161.8976492816851,165.02734321712794
Direct-P,in_domain_unseen,3.75,6000,6000,0.0,0.3326245030465473,0.5774806437810016,0.6269949054031997,-0.14245678826621,0.1688309821733581,0.2208915716243023,-0.0702014688027048,0.1672599003103617,0.181382076921014,0.058165857072237,0.1598984368493456,0.1701367561232069,-0.0162311152415439,0.1240630477620185,0.1251100461541032,-0.5342129559982878,0.6331161831500929,0.828343393591134,-70.20146880270487,167.2599003103618,181.3820769210141,58.16585707223707,159.8984368493456,170.13675612320696
Direct-P,in_domain_unseen,4.25,6000,6000,0.0,0.3512063249689799,0.5948036328847597,0.6435161816928183,-0.19254105029478,0.1434894337028928,0.2401204741306535,-0.0923900340696367,0.1609307659474561,0.1855540712889878,0.0811820057051405,0.1570710701119178,0.1767985498514286,-0.0240351336475917,0.1120413212193804,0.1145812074488303,-0.8182994637528153,0.6098300932372945,1.020512015055277,-92.39003406963676,160.93076594745608,185.55407128898787,81.18200570514053,157.0710701119178,176.79854985142867
Direct-P,in_domain_unseen,4.75,6000,6000,0.0,0.3787999217456695,0.6153492055409767,0.6667313872816305,-0.2397406757947269,0.1227808695767656,0.2693477696972511,-0.1119735202513086,0.1572373067856815,0.1930220694313923,0.1002258482871627,0.153760723575742,0.1835310338500405,-0.0342219151219699,0.10015547655169,0.1058328262150465,-1.138768210024953,0.5832091304896369,1.279401906061943,-111.97352025130868,157.23730678568157,193.02206943139237,100.22584828716278,153.7607235757421,183.53103385004053
Direct-P,near_ood,1.25,6000,6000,0.0,0.5520784345749052,0.97261106576766,1.210811883253943,0.3563015026298577,0.2600060613677522,0.4410698873560453,0.1314170019805458,0.2581568662023532,0.289662369807298,-0.1003468174942514,0.127580927031784,0.1623073131686419,0.0569308342651023,0.3524938230683997,0.3570326407238978,0.4453768782873221,0.3250075767096902,0.5513373591950567,131.41700198054582,258.1568662023531,289.66236980729803,-100.34681749425144,127.58092703178404,162.307313168642
Direct-P,near_ood,5.25,6000,6000,0.0,0.4123645176030837,0.6317325296966213,0.6744831168311477,-0.2830672823576754,0.1045449610541257,0.301753067283535,-0.1288620855949294,0.1564459026720978,0.2026738225491523,0.1182517527487242,0.1547042833625495,0.194712360717847,-0.041059569814187,0.0912782379150852,0.1000810490090716,-1.4861032323777963,0.5488610455341598,1.5842036032385594,-128.86208559492948,156.44590267209787,202.6738225491524,118.25175274872424,154.70428336254955,194.71236071784705
Direct-P,seen_grid,1.5,6000,5999,0.0001666666666666,0.4450998961604461,0.85162162585063,1.0516705185608897,0.2377351737776859,0.2436067420843103,0.3403709230881031,0.0752229936932766,0.227883658077642,0.2399600045757405,-0.071449026536709,0.1384444225988701,0.1557839097369118,0.063454147985355,0.2989072186428255,0.305543877127673,0.3566027606665288,0.3654101131264655,0.5105563846321546,75.22299369327668,227.883658077642,239.96000457574053,-71.44902653670904,138.44442259887015,155.78390973691188
