fold,layer,delta_star,mean_train_loss,group_id,n_train_repeats,n,beta,gamma_over_eta
2,L5,0.12,0.4229095142130397,beta=2.5|gamma_over_eta=0.5|n=7,800,7.0,2.5,0.5
2,L5,0.16,0.30342017052024106,beta=2.5|gamma_over_eta=0.5|n=10,800,10.0,2.5,0.5
2,L5,0.16,0.15510847468057892,beta=2.5|gamma_over_eta=0.5|n=20,800,20.0,2.5,0.5
2,L5,0.12,0.4382941089312667,beta=2.5|gamma_over_eta=1.0|n=7,800,7.0,2.5,1.0
2,L5,0.14,0.29622868870474156,beta=2.5|gamma_over_eta=1.0|n=10,800,10.0,2.5,1.0
2,L5,0.18,0.1645960100362581,beta=2.5|gamma_over_eta=1.0|n=20,800,20.0,2.5,1.0
2,L5,0.02,0.49405179039132624,beta=4.0|gamma_over_eta=0.1|n=7,800,7.0,4.0,0.1
2,L5,0.0,0.33266992278098123,beta=4.0|gamma_over_eta=0.1|n=10,800,10.0,4.0,0.1
2,L5,0.0,0.2127603789207204,beta=4.0|gamma_over_eta=0.1|n=20,800,20.0,4.0,0.1
2,L5,0.04,0.5845536056751159,beta=4.0|gamma_over_eta=0.5|n=7,800,7.0,4.0,0.5
2,L5,0.06,0.4700883951163259,beta=4.0|gamma_over_eta=0.5|n=10,800,10.0,4.0,0.5
2,L5,0.06,0.2812314179541506,beta=4.0|gamma_over_eta=0.5|n=20,800,20.0,4.0,0.5
2,L5,0.06,0.593670453784076,beta=4.0|gamma_over_eta=1.0|n=7,800,7.0,4.0,1.0
2,L5,0.06,0.47188469852146964,beta=4.0|gamma_over_eta=1.0|n=10,800,10.0,4.0,1.0
2,L5,0.06,0.27467551316393674,beta=4.0|gamma_over_eta=1.0|n=20,800,20.0,4.0,1.0
2,L5,0.0,0.5361907468854127,beta=5.0|gamma_over_eta=0.1|n=7,800,7.0,5.0,0.1
2,L5,0.0,0.4225753948667573,beta=5.0|gamma_over_eta=0.1|n=10,800,10.0,5.0,0.1
2,L5,0.0,0.23632504727134684,beta=5.0|gamma_over_eta=0.1|n=20,800,20.0,5.0,0.1
2,L5,0.02,0.6449635182119053,beta=5.0|gamma_over_eta=0.5|n=7,800,7.0,5.0,0.5
2,L5,0.04,0.5459084103777864,beta=5.0|gamma_over_eta=0.5|n=10,800,10.0,5.0,0.5
2,L5,0.04,0.336397082629342,beta=5.0|gamma_over_eta=0.5|n=20,800,20.0,5.0,0.5
2,L5,0.04,0.6856120257750052,beta=5.0|gamma_over_eta=1.0|n=7,800,7.0,5.0,1.0
2,L5,0.04,0.574884902957837,beta=5.0|gamma_over_eta=1.0|n=10,800,10.0,5.0,1.0
2,L5,0.04,0.3433120368387623,beta=5.0|gamma_over_eta=1.0|n=20,800,20.0,5.0,1.0
3,L1,0.08,0.400905157450631,all,800,,,
3,L2,0.08,0.549202514469899,n=7,800,7.0,,
3,L2,0.1,0.41450825202857067,n=10,800,10.0,,
3,L2,0.08,0.2385924931815388,n=20,800,20.0,,
3,L3,0.36,0.21953541092008041,beta=1.5,800,,1.5,
3,L3,0.2,0.2542037263011807,beta=2.0,800,,2.0,
3,L3,0.12,0.2909405640061191,beta=2.5,800,,2.5,
3,L3,0.04,0.43742247021320374,beta=4.0,800,,4.0,
3,L3,0.04,0.5087817947366707,beta=5.0,800,,5.0,
3,L4,0.3,0.3392866897502622,beta=1.5|n=7,800,7.0,1.5,
3,L4,0.42,0.211373588407144,beta=1.5|n=10,800,10.0,1.5,
3,L4,0.5,0.0947158359170649,beta=1.5|n=20,800,20.0,1.5,
3,L4,0.16,0.3749169708338799,beta=2.0|n=7,800,7.0,2.0,
3,L4,0.2,0.25317574080444205,beta=2.0|n=10,800,10.0,2.0,
3,L4,0.3,0.12101789431300324,beta=2.0|n=20,800,20.0,2.0,
3,L4,0.12,0.4177209892926263,beta=2.5|n=7,800,7.0,2.5,
3,L4,0.14,0.2966796650116453,beta=2.5|n=10,800,10.0,2.5,
3,L4,0.16,0.15364741698339235,beta=2.5|n=20,800,20.0,2.5,
3,L4,0.04,0.5717936401765392,beta=4.0|n=7,800,7.0,4.0,
3,L4,0.04,0.45187761687092015,beta=4.0|n=10,800,10.0,4.0,
