sample_size,group_id,gamma,gradient,sigma_min,best_beta,best_eta,source,virtual
7,1,1014.241877364138,2.3761953634452477,245.35162341356224,1.1082762185601278,478.1701594830135,trace_grid,False
7,1,1014.2410510501036,2.3762455152527497,245.34966000491133,1.108265869271579,478.17278749949554,trace_grid,False
7,1,1014.2401498898413,2.376168503949469,245.3475187159946,1.1082545832139592,478.1756536053464,trace_grid,False
7,1,1014.2391671038972,2.376216222680989,245.3451834275399,1.1082422756615111,478.1787793752671,trace_grid,False
7,1,1014.2380952987453,2.376268264089292,245.34263655886167,1.1082288542358893,478.1821883399719,trace_grid,False
7,1,1014.2369264111653,2.3763250195918544,245.3398589352313,1.1082142182207444,478.1859061634852,trace_grid,False
7,1,1014.2356516475835,2.3763869164127422,245.33682964318663,1.1081982578074117,478.1899608370181,trace_grid,False
7,1,1014.2342614179177,2.3764544202637707,245.33352587267606,1.1081808532832382,478.1943828898802,trace_grid,False
7,1,1014.2327452634314,2.3765280390768804,245.32992274483806,1.1081618741367854,478.1992056202299,trace_grid,False
7,1,1014.2310917780519,2.3766083268729314,245.32599312409582,1.108141178094896,478.20446534613757,trace_grid,False
7,1,1014.2292885225628,2.376695887927161,245.3217074131398,1.1081186100593032,478.2102016804061,trace_grid,False
7,1,1014.2273219310223,2.3767913810383012,245.31703332921717,1.108094000966734,478.2164578293611,trace_grid,False
7,1,1014.2251772087077,2.376895525017049,245.31193566002898,1.1080671665299742,478.22328091996434,trace_grid,False
7,1,1014.2228382208128,2.377009103557719,245.30637599734416,1.1080379058878413,478.2307223555551,trace_grid,False
7,1,1014.2202873710665,2.3771329715437246,245.30031244629743,1.108006000112343,478.23883820549145,trace_grid,False
7,1,1014.2175054693549,2.377268061214554,245.2936993081202,1.1079712106083268,478.24768962894547,trace_grid,False
7,1,1014.2144715873537,2.37741538944367,245.2864867338596,1.10793327735518,478.25734333849596,trace_grid,False
7,1,1014.2111629010839,2.3775760650870574,245.2786203464036,1.1078919170082546,478.26787210531364,trace_grid,False
7,1,1014.2075545192063,2.3777512970886554,245.27004082788199,1.1078468208224472,478.2793553113473,trace_grid,False
7,1,1014.203619295763,2.3779424048331292,245.26068346922762,1.1077976524064264,478.29187955145113,trace_grid,False
7,1,1014.1993276259584,2.378150827159792,245.25047767839138,1.1077440452789458,478.3055392909681,trace_grid,False
7,1,1014.1946472234406,2.378378133290132,245.2393464433519,1.107685600212858,478.3204375838208,trace_grid,False
7,1,1014.1895428774108,2.378626034129507,245.22720574570772,1.1076218823592179,478.33668685616175,trace_grid,False
7,1,1014.183976187731,2.378896396569755,245.21396392022524,1.107552418115436,478.3544097628302,trace_grid,False
7,1,1014.1779052760395,2.3791912584083046,245.19952095527327,1.1074766917484453,478.37374012153293,trace_grid,False
7,1,1014.171284470698,2.3795128590354597,245.1837677285773,1.107394141704091,478.3948239350831,trace_grid,False
7,1,1014.1640639632029,2.3798636029913207,245.16658517187815,1.1073036144395765,478.4178534191034,trace_grid,False
7,1,1014.1561894334749,2.380246126516091,245.14784335906737,1.107204558651747,478.4429955397548,trace_grid,False
7,1,1014.1476016412065,2.380663297603321,245.12740050854913,1.1070965476925514,478.4704219521924,trace_grid,False
7,1,1014.138235980197,2.38111827967232,245.10510189259213,1.1069787736632244,478.50034088347377,trace_grid,False
7,1,1014.1280219923167,2.381614503823215,245.0807786452093,1.106850819346561,478.5329514493566,trace_grid,False
7,1,1014.1168828374497,2.382155708317659,245.05424645821492,1.1067113506709818,478.5685246301113,trace_grid,False
7,1,1014.1047347154228,2.3827459698265647,245.02530415478816,1.1065592702361535,478.6073346324548,trace_grid,False
7,1,1014.0914862355744,2.3833897380461315,244.9937321284519,1.1063934397327269,478.64967742418486,trace_grid,False
7,1,1014.0770377292209,2.3840918667270077,244.95929063444484,1.1062126185313057,478.69587630947257,trace_grid,False
7,1,1014.0612804998452,2.3848576504017984,244.92171791887606,1.1060154545663274,478.7462845055306,trace_grid,False
7,1,1014.0440960053708,2.385692864493476,244.88072816956262,1.105800474413465,478.8012879725214,trace_grid,False
7,1,1014.0253549663655,2.3866038090022412,244.83600927071106,1.105566072535644,478.8613085207523,trace_grid,False
7,1,1014.0049163934697,2.3875973562079924,244.78722034168194,1.105310499562448,478.9268072287711,trace_grid,False
7,1,1013.9826265267283,2.3886810026630174,244.73398903789743,1.1050318495919076,478.9982882016093,trace_grid,False
7,1,1013.9583176788515,2.389862925899448,244.67590858952354,1.1047280463871512,479.07630270926836,trace_grid,False
7,1,1013.9318069736975,2.391152046218569,244.61253455080364,1.1043968283996635,479.16145374619606,trace_grid,False
7,1,1013.902894970491,2.392558094048171,244.5433812298418,1.10403573254969,479.25440105745804,trace_grid,False
7,1,1013.8713641634246,2.394091683321913,244.46791776512467,1.103642076618988,479.35586668768985,trace_grid,False
7,1,1013.8369773453556,2.3957643913234357,244.3855638111315,1.1032129402115158,479.46664110926383,trace_grid,False
7,1,1013.7994758232915,2.397588845627146,244.2956847908966,1.102745144142809,479.5875899996386,trace_grid,False
7,1,1013.7585774722342,2.3995788185770137,244.19758666830404,1.1022352281629317,479.7196617440189,trace_grid,False
7,1,1013.7139746127464,2.4017493299184753,244.0905101871139,1.101679426905934,479.8638957505696,trace_grid,False
7,1,1013.6653316962702,2.4041167581424876,243.9736245171359,1.1010736439548117,480.02143167778866,trace_grid,False
7,1,1013.6122827807865,2.406698961057352,243.84602024045725,1.100413423909547,480.19351968793995,trace_grid,False
7,1,1013.5544287778222,2.409515406154347,243.70670160205069,1.0996939223586493,480.3815318563043,trace_grid,False
7,1,1013.4913344500972,2.4125873255784014,243.55457793929344,1.0989098736404264,480.586974886508,trace_grid,False
7,1,1013.4225251372214,2.4159378019255624,243.3884541934626,1.098058487288355,480.8113127607985,trace_grid,False
7,1,1013.3474831848125,2.4195920437112295,243.20702039458843,1.0971266784294105,481.056813776023,trace_grid,False
7,1,1013.2656440501661,2.4235774677573008,243.00883999449567,1.0961131051004493,481.3251278201124,trace_grid,False
7,1,1013.1763920551866,2.427923906117707,242.79233690571232,1.095008983014171,481.6185555995608,trace_grid,False
7,1,1013.0790557546228,2.4326638022195364,242.55578108945824,1.0938064711954818,481.93952039266463,trace_grid,False
7,1,1012.9729028847667,2.437832406648281,242.2972725068187,1.0924969926458947,482.2907001661883,trace_grid,False
7,1,1012.8571348546134,2.4434679784857076,242.0147232270864,1.0910712653573618,482.6750507888984,trace_grid,False
7,1,1012.7308807380384,2.4496119861097045,241.70583745694913,1.0895192545076189,483.0958380242123,trace_grid,False
7,1,1012.5931907217964,2.4563093000679994,241.3680892222956,1.0878301240603032,483.55667373605627,trace_grid,False
