scale_factor,eta,n,n_samples,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
10.0,10000.0,10,31500,31500,0.0,0.4791412158993841,-0.034539696706312774,0.3494056710312619,0.3511031727349932,-0.013072764066024421,0.2708064710464922,0.27111752763220764,0.012607418098474195,0.18066610718842363,0.18110260373490186,-0.02346896081242203,0.2210778801638681,0.2223165977124535
1000.0,1000000.0,10,31500,31500,0.0,0.4791412158993841,-0.034539696706312774,0.3494056710312619,0.3511031727349932,-0.013072764066024414,0.2708064710464922,0.27111752763220764,0.012607418098474198,0.18066610718842363,0.18110260373490183,-0.023468960812422026,0.2210778801638681,0.2223165977124535
0.001,1.0,15,31500,31463,0.0011746031746031615,0.43766532396008806,-0.018596939527462455,0.31081086477958647,0.31136180409681014,-0.0013030572123991064,0.25575026092352465,0.2557495209572918,0.017468526968308078,0.16997856650568655,0.17087113646483484,-0.0203731229070406,0.17202842715829364,0.17322789729853064
0.01,10.0,15,31500,31463,0.0011746031746031615,0.43766532396008806,-0.018596939527462455,0.31081086477958647,0.31136180409681014,-0.0013030572123991064,0.25575026092352465,0.2557495209572918,0.017468526968308085,0.16997856650568655,0.17087113646483484,-0.020373122907040606,0.17202842715829364,0.17322789729853064
0.1,100.0,15,31500,31463,0.0011746031746031615,0.43766532396008806,-0.018596939527462455,0.31081086477958647,0.31136180409681014,-0.0013030572123990775,0.25575026092352465,0.2557495209572918,0.017468526968308102,0.16997856650568655,0.17087113646483484,-0.020373122907040565,0.17202842715829364,0.17322789729853064
1.0,1000.0,15,31500,31463,0.0011746031746031615,0.43766532396008806,-0.018596939527462455,0.31081086477958647,0.31136180409681014,-0.001303057212399128,0.25575026092352465,0.2557495209572918,0.017468526968308074,0.16997856650568655,0.17087113646483484,-0.020373122907040613,0.17202842715829364,0.17322789729853064
10.0,10000.0,15,31500,31463,0.0011746031746031615,0.43766532396008806,-0.018596939527462455,0.31081086477958647,0.31136180409681014,-0.001303057212399128,0.25575026092352465,0.2557495209572918,0.017468526968308074,0.16997856650568655,0.17087113646483484,-0.020373122907040613,0.17202842715829364,0.17322789729853064
1000.0,1000000.0,15,31500,31463,0.0011746031746031615,0.43766532396008806,-0.018596939527462455,0.31081086477958647,0.31136180409681014,-0.001303057212399128,0.25575026092352465,0.2557495209572918,0.017468526968308074,0.16997856650568655,0.17087113646483484,-0.02037312290704061,0.1720284271582936,0.17322789729853064
0.001,1.0,20,31500,31468,0.0010158730158730256,0.4190284090774633,0.0017648818186316352,0.2974689853456984,0.29746949913228526,0.0011062126088768381,0.24774104978616124,0.24773958711287605,0.017836079940237462,0.15938783649008434,0.16038017856680098,-0.00684373087065611,0.15028705122072,0.150440411441534
0.01,10.0,20,31500,31468,0.0010158730158730256,0.4190284090774633,0.0017648818186316352,0.2974689853456984,0.29746949913228526,0.0011062126088768527,0.24774104978616124,0.24773958711287605,0.017836079940237455,0.15938783649008434,0.16038017856680098,-0.006843730870656122,0.15028705122072,0.150440411441534
0.1,100.0,20,31500,31468,0.0010158730158730256,0.41902840907746325,0.0017648818186316352,0.2974689853456984,0.29746949913228526,0.0011062126088768815,0.24774104978616124,0.24773958711287605,0.017836079940237476,0.15938783649008434,0.160380178566801,-0.006843730870656075,0.15028705122072,0.150440411441534
1.0,1000.0,20,31500,31468,0.0010158730158730256,0.41902840907746325,0.0017648818186316352,0.2974689853456984,0.29746949913228526,0.0011062126088768236,0.24774104978616124,0.24773958711287603,0.017836079940237448,0.15938783649008434,0.16038017856680098,-0.006843730870656124,0.15028705122072,0.150440411441534
10.0,10000.0,20,31500,31468,0.0010158730158730256,0.4190284090774633,0.0017648818186316352,0.2974689853456984,0.29746949913228526,0.0011062126088768236,0.24774104978616124,0.24773958711287605,0.01783607994023745,0.15938783649008434,0.16038017856680098,-0.006843730870656128,0.15028705122072,0.150440411441534
1000.0,1000000.0,20,31500,31468,0.0010158730158730256,0.4190284090774633,0.0017648818186316352,0.2974689853456984,0.29746949913228526,0.0011062126088768236,0.24774104978616124,0.24773958711287603,0.01783607994023745,0.15938783649008434,0.160380178566801,-0.006843730870656122,0.15028705122072,0.150440411441534
