beta,eta,gamma,gamma_over_eta,n,delta,count,beta_bias,beta_bias_sq,beta_var,eta_bias,eta_bias_sq,eta_var,gamma_bias,gamma_bias_sq,gamma_var,bias_sq_sum,var_sum,risk
1.5,1000.0,100.0,0.1,10,0.5,300,-0.14907282777869185,0.02222270798193552,0.06357839671347947,-0.12351760103557964,0.015256597765584625,0.06511907474049883,0.11226079792705264,0.012602486751218545,0.023772938239530403,0.05008179249873869,0.15247040969350872,0.20255220219224743
1.5,1000.0,100.0,0.1,15,0.0,300,0.04044856548216899,0.0016360864495653128,0.08470321543156432,-0.01996123268898294,0.00039845081046372105,0.055438306793812384,0.021737228826865115,0.0004725071170714958,0.016225551428583382,0.0025070443771005296,0.15636707365396008,0.1588741180310606
1.5,1000.0,100.0,0.1,15,0.02,300,0.029391559614078452,0.0008638637765479275,0.07813851647878366,-0.025355046924584457,0.0006428784045478797,0.05512491856533662,0.026394112591181948,0.0006966491794759894,0.01635417847871938,0.0022033913605717967,0.14961761352283964,0.15182100488341144
1.5,1000.0,100.0,0.1,15,0.04,300,0.020080541404824796,0.00040322814311088295,0.07554889168428161,-0.03004233271290292,0.0009025417548327568,0.05512907487937722,0.03034518203310417,0.0009208300726222282,0.01644361074767051,0.0022265999705658682,0.14712157731132933,0.1493481772818952
1.5,1000.0,100.0,0.1,15,0.06,300,0.01187526414042052,0.00014102189840475753,0.07347812791328162,-0.034205738569705296,0.0011700325510990246,0.054984334903413305,0.033861839479329456,0.001146624172923875,0.016473104611050008,0.002457678622427657,0.14493556742774494,0.14739324605017254
1.5,1000.0,100.0,0.1,15,0.08,300,0.0041940121285780115,1.7589737734659464e-05,0.07153276492727137,-0.03812509683826643,0.0014535230089271932,0.05478074689020729,0.037176626929478825,0.0013821015898536502,0.016452241818629306,0.0028532143365155027,0.14276575363610797,0.14561896797262347
1.5,1000.0,100.0,0.1,15,0.1,300,-0.0035380814395538575,1.2518020272915497e-05,0.06872742506370802,-0.04203830155489082,0.0017672187976199361,0.054464888024136564,0.0405062632899411,0.0016407573657140299,0.016351140752309114,0.0034204941836068815,0.1395434538401537,0.1429639480237606
1.5,1000.0,100.0,0.1,15,0.12,300,-0.011068367954234697,0.00012250876917032957,0.06605237494808684,-0.04591694576692175,0.0021083659085624333,0.053960849787757566,0.04381058567681228,0.0019193674173453093,0.016209262020518634,0.004150242095078072,0.13622248675636306,0.14037272885144111
1.5,1000.0,100.0,0.1,15,0.14,300,-0.017976700224833775,0.0003231617509735387,0.0638015744787352,-0.049497109992249336,0.002449963897584829,0.05345885439711657,0.046851125847056536,0.002195027993136729,0.016098263728780024,0.004968153641695097,0.1333586926046318,0.13832684624632688
1.5,1000.0,100.0,0.1,15,0.16,300,-0.024383577945859377,0.0005945588734417998,0.06193918449606451,-0.05283262141179585,0.0027912858852421492,0.052981196294385705,0.04967381150959117,0.0024674875498903923,0.016006773530767963,0.005853332308574341,0.13092715432121818,0.1367804866297925
1.5,1000.0,100.0,0.1,15,0.18,300,-0.030388809020929077,0.0009234797137105005,0.06021973497474249,-0.05596274656722642,0.0031318290033476126,0.05257043764724701,0.052312623292243565,0.002736610555716184,0.01592790070149534,0.006791919272774297,0.12871807332348484,0.13550999259625915
1.5,1000.0,100.0,0.1,15,0.2,300,-0.036105618605963015,0.0013036156949192627,0.05861826020856806,-0.05894049470084164,0.003473981915579941,0.052201485901054306,0.054816429946128335,0.0030048409920387952,0.01585076986297018,0.0077824386025379996,0.12667051597259255,0.1344529545751305
1.5,1000.0,100.0,0.1,15,0.22,300,-0.04150609627068692,0.0017227560276315303,0.057145335716223294,-0.06176265459124141,0.003814625502156994,0.051859029863606035,0.05718102661357663,0.003269669804582559,0.01578195587074993,0.008807051334371083,0.12478632145057926,0.13359337278495037
1.5,1000.0,100.0,0.1,15,0.24,300,-0.046638373804779205,0.0021751379111543154,0.055845902274926376,-0.0644725348914981,0.004156707755335439,0.051538373049465784,0.05943749178065653,0.003532815429175612,0.01571455042636057,0.009864661095665367,0.12309882575075272,0.13296348684641807
1.5,1000.0,100.0,0.1,15,0.26,300,-0.0516808714341849,0.002670912472196749,0.054530568929685816,-0.06719417944643341,0.004515057751479494,0.05115372577491288,0.06169167503407349,0.003805862768509726,0.015618246441422495,0.010991832992185969,0.1213025411460212,0.13229437413820713
1.5,1000.0,100.0,0.1,15,0.28,300,-0.05647624714486949,0.0031895664915683793,0.053338569542297855,-0.06979601881204654,0.004871484242011555,0.0508074598385661,0.06383509526539358,0.004074919387541873,0.015530731436511822,0.012135970121121806,0.11967676081737577,0.13181273093849757
1.5,1000.0,100.0,0.1,15,0.3,300,-0.061183999567794994,0.003743481803111938,0.052049099340990806,-0.0723723513768203,0.005237757243809943,0.05047161041205337,0.06595113290076082,0.004349551930893817,0.015427156787756162,0.013330790977815699,0.11794786654080033,0.13127865751861598
1.5,1000.0,100.0,0.1,15,0.32,300,-0.06579495175941256,0.004328975677023427,0.050709095967149884,-0.07493099698375778,0.005614654308979918,0.05011118880383178,0.06804619850784446,0.004630285131368974,0.015308778677371793,0.014573915117372318,0.11612906344835346,0.1307029785657258
1.5,1000.0,100.0,0.1,15,0.34,300,-0.07022904830213082,0.004932119225423024,0.04944382314737726,-0.07744524971271455,0.005997766703064713,0.04972484581349545,0.07009327727938629,0.00491306751976493,0.01518636515285607,0.015842953448252668,0.11435503411372877,0.1301979875619815
1.5,1000.0,100.0,0.1,15,0.36,300,-0.07450735209589278,0.005551345516341338,0.04824005148894427,-0.0799100485965967,0.006385615866710446,0.04933791054877515,0.07208903181489136,0.005196828508008419,0.015063145938475537,0.0171337898910602,0.11264110797619496,0.12977489786725518
1.5,1000.0,100.0,0.1,15,0.38,300,-0.07861342619710228,0.006180070778447247,0.04711056803495534,-0.0823071587235329,0.006774468377140839,0.04897156555648361,0.07401806725060381,0.005478674279514908,0.014945925860403332,0.018433213435102992,0.11102805945184228,0.12946127288694526
1.5,1000.0,100.0,0.1,15,0.4,300,-0.08251271994937838,0.006808348953444545,0.04609048668031071,-0.08461806086247042,0.007160216224124749,0.04863092182914063,0.07586406703145628,0.005755356666553291,0.014841604008452516,0.019723921844122586,0.10956301251790386,0.12928693436202646
1.5,1000.0,100.0,0.1,15,0.42,300,-0.08625065655804319,0.007439175756693519,0.045154123717568,-0.08687147690008987,0.0075466534988028475,0.048303267784590515,0.07765130843530384,0.006029725701714689,0.014742923115299117,0.021015554957211056,0.10820031461745763,0.12921586957466868
1.5,1000.0,100.0,0.1,15,0.44,300,-0.08983449893876146,0.008070237199578334,0.04429577768513922,-0.08907228724490408,0.007933872355038703,0.04798785208083039,0.07938400415401797,0.006301820115525143,0.014649722824916788,0.02230592967014218,0.10693335259088639,0.12923928226102854
1.5,1000.0,100.0,0.1,15,0.46,300,-0.09328706502813314,0.00870247650156314,0.043496815609442026,-0.09125086378657567,0.008326720141796187,0.047662317589482306,0.08108573564688819,0.006574896525397033,0.014554781030337608,0.023604093168756363,0.10571391422926193,0.12931800739801835
1.5,1000.0,100.0,0.1,15,0.48,300,-0.09662386025912849,0.00933617037137559,0.04274851757894348,-0.09342077246826674,0.008727440728567666,0.047298391866597345,0.08276896903403598,0.006850702234957207,0.0144551371598439,0.024914313334900462,0.10450204660538473,0.12941635994028516
1.5,1000.0,100.0,0.1,15,0.5,300,-0.09981561175135295,0.00996315634929683,0.042073665964507165,-0.09555200151292471,0.009130184993125966,0.046945353035443914,0.08440842814034678,0.007124782741124087,0.014361427792411228,0.026218124083546887,0.1033804467923623,0.1295985708759092
