model_id,representation,n,fold,seed,max_abs_representation_diff,max_abs_prediction_curve_diff,delta_indices,selected_deltas,delta_consistent,curve_consistent_at_1e-10
sample_sd_n7_fold3_seed3407,sample_sd,7,3,3407,8.881784197001252e-16,5.551115123125783e-16,"[3, 3, 3]","[0.06, 0.06, 0.06]",True,True
sample_sd_n7_fold4_seed42,sample_sd,7,4,42,4.440892098500626e-16,4.996003610813204e-16,"[5, 5, 5]","[0.1, 0.1, 0.1]",True,True
sample_sd_n7_fold4_seed2026,sample_sd,7,4,2026,4.440892098500626e-16,5.551115123125783e-16,"[12, 12, 12]","[0.24, 0.24, 0.24]",True,True
sample_sd_n7_fold4_seed3407,sample_sd,7,4,3407,4.440892098500626e-16,1.3322676295501878e-15,"[11, 11, 11]","[0.22, 0.22, 0.22]",True,True
sample_sd_n7_fold5_seed42,sample_sd,7,5,42,4.440892098500626e-16,8.881784197001252e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n7_fold5_seed2026,sample_sd,7,5,2026,4.440892098500626e-16,5.551115123125783e-16,"[6, 6, 6]","[0.12, 0.12, 0.12]",True,True
sample_sd_n7_fold5_seed3407,sample_sd,7,5,3407,4.440892098500626e-16,1.2212453270876722e-15,"[15, 15, 15]","[0.3, 0.3, 0.3]",True,True
sample_sd_n10_fold1_seed42,sample_sd,10,1,42,4.440892098500626e-16,2.220446049250313e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n10_fold1_seed2026,sample_sd,10,1,2026,4.440892098500626e-16,3.3306690738754696e-16,"[14, 14, 14]","[0.28, 0.28, 0.28]",True,True
sample_sd_n10_fold1_seed3407,sample_sd,10,1,3407,4.440892098500626e-16,2.220446049250313e-16,"[15, 15, 15]","[0.3, 0.3, 0.3]",True,True
sample_sd_n10_fold2_seed42,sample_sd,10,2,42,4.440892098500626e-16,3.3306690738754696e-16,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
sample_sd_n10_fold2_seed2026,sample_sd,10,2,2026,4.440892098500626e-16,3.885780586188048e-16,"[21, 21, 21]","[0.42, 0.42, 0.42]",True,True
sample_sd_n10_fold2_seed3407,sample_sd,10,2,3407,4.440892098500626e-16,3.885780586188048e-16,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
sample_sd_n10_fold3_seed42,sample_sd,10,3,42,8.881784197001252e-16,2.220446049250313e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
sample_sd_n10_fold3_seed2026,sample_sd,10,3,2026,8.881784197001252e-16,2.7755575615628914e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
sample_sd_n10_fold3_seed3407,sample_sd,10,3,3407,8.881784197001252e-16,2.7755575615628914e-16,"[3, 3, 3]","[0.06, 0.06, 0.06]",True,True
sample_sd_n10_fold4_seed42,sample_sd,10,4,42,8.881784197001252e-16,6.661338147750939e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
sample_sd_n10_fold4_seed2026,sample_sd,10,4,2026,8.881784197001252e-16,2.220446049250313e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
sample_sd_n10_fold4_seed3407,sample_sd,10,4,3407,8.881784197001252e-16,3.3306690738754696e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
sample_sd_n10_fold5_seed42,sample_sd,10,5,42,4.440892098500626e-16,4.440892098500626e-16,"[15, 15, 15]","[0.3, 0.3, 0.3]",True,True
sample_sd_n10_fold5_seed2026,sample_sd,10,5,2026,4.440892098500626e-16,3.3306690738754696e-16,"[25, 25, 25]","[0.5, 0.5, 0.5]",True,True
