representation,n,fold,seed,J1,failure_rate,n_iter,runtime_s
sample_sd,7,4,3407,0.7072825453722127,0.0,44,4.1877360343933105
sample_sd,7,5,42,0.7061505625951319,0.0,172,16.113969087600708
sample_sd,7,5,2026,0.7329015287089052,0.0,29,2.7438206672668457
sample_sd,7,5,3407,0.7074027203425428,0.0,46,4.35581111907959
sample_sd,10,1,42,0.6179368005329663,0.0,68,6.387519359588623
sample_sd,10,1,2026,0.604920387234795,0.0,173,16.879920482635498
sample_sd,10,1,3407,0.6106144022764111,0.0,78,7.197641372680664
sample_sd,10,2,42,0.6300453392432726,0.0,266,26.80841898918152
sample_sd,10,2,2026,0.6422387408204712,0.0,169,16.721747398376465
sample_sd,10,2,3407,0.6426548628737995,0.0,106,10.369983196258545
sample_sd,10,3,42,0.6251084786210326,0.0,75,7.318342208862305
sample_sd,10,3,2026,0.6159441032691713,0.0,48,4.697613477706909
sample_sd,10,3,3407,0.6156276798672616,0.0,68,6.628533124923706
sample_sd,10,4,42,0.5853898530999883,0.0,78,7.5488293170928955
sample_sd,10,4,2026,0.5868557494778432,0.0,81,7.839341640472412
sample_sd,10,4,3407,0.5851064569012351,0.0,70,6.829463243484497
sample_sd,10,5,42,0.5853882196502421,0.0,72,6.954382419586182
sample_sd,10,5,2026,0.576893632658224,0.0,103,9.844078779220581
sample_sd,10,5,3407,0.5868462066978559,0.0,57,5.216514825820923
sample_sd,15,1,42,0.501755210682929,0.0,94,9.152592182159424
sample_sd,15,1,2026,0.505158570855019,0.0,63,6.263476371765137
sample_sd,15,1,3407,0.5053039822066614,0.0,72,7.069055795669556
sample_sd,15,2,42,0.5270618233806362,0.0,57,5.759624242782593
sample_sd,15,2,2026,0.526025632822764,0.0,62,6.086272716522217
sample_sd,15,2,3407,0.5165198962887559,0.0,125,11.928509950637817
sample_sd,15,3,42,0.5614828734691293,0.0,101,9.815035343170166
sample_sd,15,3,2026,0.5624953989212038,0.0,107,10.567573070526123
sample_sd,15,3,3407,0.559393738722543,0.0,88,8.598907947540283
sample_sd,15,4,42,0.5293085815974398,0.0,59,5.812208652496338
sample_sd,15,4,2026,0.5408517524166098,0.0,64,6.272834539413452
sample_sd,15,4,3407,0.5345564406833733,0.0,94,9.215570449829102
sample_sd,15,5,42,0.500939260825799,0.0,83,8.079431056976318
sample_sd,15,5,2026,0.5041691968832104,0.0,67,6.373547077178955
sample_sd,15,5,3407,0.5053403493295326,0.0,67,6.51846170425415
sample_sd,20,1,42,0.4552280382317652,0.0,80,8.016465902328491
sample_sd,20,1,2026,0.4576280811829226,0.0,51,5.069103002548218
sample_sd,20,1,3407,0.4615083267420385,0.0,81,8.047029495239258
sample_sd,20,2,42,0.4635363481354668,0.0,64,6.348078966140747
sample_sd,20,2,2026,0.45247542933494583,0.0,73,7.227246284484863
sample_sd,20,2,3407,0.45171394074923804,0.0,62,6.120848655700684
sample_sd,20,3,42,0.4726903149092227,0.0,64,6.361718654632568
sample_sd,20,3,2026,0.4692861604619316,0.0,73,7.372327566146851
sample_sd,20,3,3407,0.4658646118046112,0.0,62,6.179821491241455
sample_sd,20,4,42,0.5042138480435382,0.0,125,12.540630102157593
sample_sd,20,4,2026,0.5016832988911377,0.0,74,7.359747648239136
sample_sd,20,4,3407,0.5095807506288161,0.0,73,7.2492921352386475
sample_sd,20,5,42,0.49209530416529124,0.0,63,6.309622049331665
sample_sd,20,5,2026,0.4888217203962913,0.0,82,8.232614994049072
sample_sd,20,5,3407,0.48936365256171654,0.0,82,8.782854080200195
rms,7,1,42,0.7189395176553149,0.0,42,4.237147331237793
rms,7,1,2026,0.719409471644174,0.0,29,2.9464428424835205
rms,7,1,3407,0.7083168960646052,0.0,43,4.30004358291626
rms,7,2,42,0.7091353149141821,0.0,27,2.7135260105133057
rms,7,2,2026,0.6963667780488628,0.0,31,2.9834518432617188
rms,7,2,3407,0.6901406445064284,0.0,36,3.5702931880950928
rms,7,3,42,0.6920423275780971,0.0,45,4.5053277015686035
rms,7,3,2026,0.7054586076267898,0.0,38,3.7535524368286133
rms,7,3,3407,0.7012298712418719,0.0,66,6.540437936782837
rms,7,4,42,0.684163023530583,0.0,66,6.571906328201294
rms,7,4,2026,0.6811172125279296,0.0,33,3.286623239517212
rms,7,4,3407,0.6882032835599684,0.0,35,3.4143788814544678
rms,7,5,42,0.7058804848239726,0.0,66,6.607133388519287
rms,7,5,2026,0.7148324477145722,0.0,53,5.266535520553589
rms,7,5,3407,0.7120165240662303,0.0,35,3.500121831893921
rms,10,1,42,0.6098685980567086,0.0,63,6.389488935470581
rms,10,1,2026,0.6107520834838137,0.0,60,6.088017225265503
rms,10,1,3407,0.6180076956647386,0.0,44,4.4752373695373535
rms,10,2,42,0.6328775977012272,0.0,63,6.293984889984131
