reliability,route,rmsre,mae,signed_relative_bias,relative_error_sd,within_10pct
0.56,Q,0.3968781560187929,0.37542177288060946,-0.37539447710150714,0.12880705449067364,0.001375
0.56,QCP,0.07184970309490807,0.052674244523435026,-0.011409428959917926,0.07093803468968556,0.8589895833333333
0.5700000000000001,P,0.07197801586232962,0.051889481970708896,-0.004515808497133705,0.07183621817088501,0.8684625
0.5700000000000001,Q,0.39291787391445476,0.37135968612500586,-0.37132688773481093,0.12845543229709847,0.0015895833333333333
0.5700000000000001,QCP,0.07275775930539716,0.05332854201773108,-0.011701066052950156,0.07181069970670528,0.854975
0.58,P,0.07296327304684788,0.052575767473037174,-0.004778236513069314,0.07280664577862414,0.8646020833333333
0.58,Q,0.388891865101689,0.3672272747005342,-0.36718841427579646,0.12809977035067774,0.00188125
0.58,QCP,0.07370099288216854,0.054007337168540594,-0.011992797398406654,0.07271869884959595,0.8507854166666666
0.59,P,0.07398646203049714,0.053287291605111524,-0.005040409463486051,0.07381457062281535,0.8605895833333334
0.59,Q,0.3847963057962926,0.3630214427078222,-0.36297469485343825,0.12774023583243976,0.00228125
0.59,QCP,0.07467976055949632,0.05471094418909773,-0.012284772868257294,0.07366241234713286,0.8464458333333333
0.6,P,0.07504807293162805,0.05402358635455578,-0.005302445179382054,0.07486051913973486,0.8565625
0.6,Q,0.38062715505602973,0.3587377498681231,-0.35868108378952673,0.12737704384078566,0.002629166666666667
0.6,QCP,0.07569450709688648,0.055439859943431216,-0.0125771438880152,0.07464230607544732,0.8419854166666667
0.61,P,0.07614870034042952,0.05478471491274351,-0.005564461310082087,0.07594512054019752,0.8520041666666667
0.61,Q,0.3763801339318361,0.3543716621441691,-0.3543026202469279,0.12701046612271016,0.0030583333333333335
0.61,QCP,0.0767457714091648,0.05619406867005768,-0.012870064017576083,0.07565893788159646,0.837375
0.62,P,0.07728905124403614,0.055570902421635975,-0.005826575655060315,0.07706911481481478,0.8475791666666667
0.62,Q,0.37205070271692436,0.3499185117475759,-0.34983399301630536,0.12664084144708176,0.0036333333333333335
0.62,QCP,0.07783419348520135,0.056973399788454844,-0.013163689553446063,0.07671296469849315,0.8326354166666666
0.63,P,0.07846995398876742,0.056382325662737875,-0.006088906487756473,0.07823336178883428,0.8430854166666667
0.63,Q,0.3676340360899304,0.3453725155009886,-0.345269500805935,0.1262685879583388,0.00435
0.63,QCP,0.07896052222700031,0.05777823217379182,-0.013458180158292261,0.07780515058264176,0.82803125
0.64,P,0.07969236846171349,0.05721965683222619,-0.006351572871658539,0.07943885140844822,0.8385208333333334
0.64,Q,0.36312499593865494,0.34072728828968485,-0.3406030072799245,0.12589421792647948,0.00526875
0.64,QCP,0.08012562436524553,0.05860857799195201,-0.013753699524172505,0.07893637583091338,0.8232854166666667
0.65,P,0.08095739770817523,0.058083355079813825,-0.006614694968244608,0.08068671547508137,0.8337541666666667
0.65,Q,0.3585181016462722,0.3359772619981196,-0.33582788994378665,0.12551835540649275,0.006329166666666667
0.65,QCP,0.08133049463693867,0.059464892933810555,-0.01405041607632174,0.08010764736260423,0.81828125
0.66,P,0.0822663012434695,0.05897401642765955,-0.00687839433551596,0.08197824108656157,0.8288729166666666
0.66,Q,0.35380749762564084,0.33111631883513937,-0.3309369817959295,0.12514175744298345,0.007566666666666667
0.66,QCP,0.08257626744689024,0.06034739912379414,-0.014348503724997921,0.08132011058965713,0.813
0.67,P,0.08362051036943212,0.05989235129552543,-0.007142794214740949,0.08331488609636437,0.8238375
0.67,Q,0.3489869179049212,0.3261360755286337,-0.3259225044401318,0.1247653396110011,0.008989583333333334
0.67,QCP,0.08386423027931544,0.061257250122049585,-0.014648142673624206,0.08257506304299862,0.8077125
0.6799999999999999,P,0.08502164587034171,0.060839425078275146,-0.007408019801568118,0.08469829696706639,0.8186895833333333
0.6799999999999999,Q,0.34404964760717466,0.32102984601355156,-0.3207759910756391,0.12439020688166162,0.010554166666666667
0.6799999999999999,QCP,0.0851958391809641,0.062195211598870905,-0.014949520292311322,0.08387397007879423,0.8026145833333334
0.69,P,0.08647153854352842,0.061816346333017594,-0.007674198495718356,0.08613032947535516,0.8137041666666667
0.69,Q,0.3389884812402144,0.3157878440697827,-0.3154881974325085,0.12401769105387243,0.01244375
0.69,QCP,0.08657273670611165,0.0631622299217682,-0.015252832066797058,0.08521848305812431,0.7972979166666667
