delta,mse,mse_beta,mse_eta,mse_gamma,est_beta,est_eta,est_gamma,failure
0.001,,,,,,,,no_intersection
0.003,,,,,,,,no_intersection
0.005,,,,,,,,no_intersection
0.007,,,,,,,,no_intersection
0.337,0.22267031498415374,0.08891868890850038,0.13136417169695228,0.0023874543787010855,1.403615262071537,637.5580436856789,1048.8615838742573,
0.339,0.22348506148928377,0.08942962973308843,0.1316341178799359,0.0024213138762594474,1.4019042560489552,637.1858356128638,1049.2068478594133,
0.341,0.22430208724292378,0.0899422648119203,0.13190441064274677,0.0024554117882567,1.400192481501206,636.8135318562285,1049.5521118445693,
0.343,0.22512139530693648,0.0904565960464926,0.13217505114575107,0.0024897481146928225,1.3984799386670712,636.4411311138854,1049.897375829725,
0.34500000000000003,0.2259429887449167,0.09097262531604712,0.1324460405733017,0.0025243228555678586,1.396766627859343,636.0686320563976,1050.242639814881,
0.34700000000000003,0.226766899859693,0.09149040254205246,0.13271736130675876,0.002559136010881786,1.3950523905591412,635.6960591665817,1050.5879038000369,
0.34900000000000003,0.22759310451488055,0.09200988483643228,0.13298903209781365,0.0025941875806346055,1.3933373760105794,635.3233869607024,1050.9331677851928,
0.35100000000000003,0.22842144123674954,0.09253080351480618,0.13326116015711706,0.002629477564826316,1.3916224740679315,634.9504688989218,1051.2784317703488,
0.353,0.2292522353378144,0.09305369010575501,0.13353353926860248,0.0026650059634568944,1.3899059413311583,634.5775878950465,1051.6236957555045,
0.355,0.2300853294296096,0.0935782825866181,0.13380627406646511,0.0027007727765263885,1.3881886480732215,634.2046008128791,1051.9689597406605,
0.357,0.23092072652861262,0.09410458260191294,0.13407936592266492,0.002736778004034774,1.386470595319465,633.8315061031808,1052.3142237258164,
0.359,0.23175841848476028,0.09463257341071045,0.13435282342806776,0.00277302164598205,1.3847518438525461,633.4582923757956,1052.6594877109724,
0.361,0.23259841510901896,0.09516226777079151,0.13462664363585924,0.0028095037023682184,1.3830323581554977,633.084964009569,1053.0047516961283,
0.363,0.2334407245264258,0.0956936756403815,0.13490082471285106,0.002846224173193254,1.3813121121587024,632.7115238496434,1053.350015681284,
0.365,0.2342853497465039,0.09622679853911484,0.13517536814893186,0.002883183058457205,1.3795911072877345,632.3379702105045,1053.69527966644,
0.367,0.23513229377577374,0.09676163795240661,0.13545027546520708,0.002920380358160048,1.3778693450651813,631.9643013711753,1054.040543651596,
0.369,0.23598155961722,0.09729819533014143,0.13572554821477678,0.0029578160723017824,1.37614682711349,631.5905155743452,1054.385807636752,
0.371,0.23683315027004398,0.09783647208582613,0.13600118798333546,0.0029954902008823827,1.3744235551562827,631.2166110257466,1054.7310716219076,
0.373,0.23768770838134373,0.09837752148473632,0.13627678415270553,0.0030334027439019,1.3726961773279671,630.8431442425788,1055.0763356070636,
0.375,0.23854395935021905,0.09891924396857316,0.13655316168028558,0.003071553701360309,1.370971402975753,630.4689976736923,1055.4215995922195,
0.377,0.23940254409716435,0.09946268984055413,0.13682991118335264,0.0031099430732576087,1.3692458804239036,630.0947267429773,1055.7668635773755,
0.379,0.2402634656011765,0.10000786035575614,0.13710703438582655,0.003148570859593801,1.3675196118273512,629.7203294996787,1056.1121275625314,
0.381,0.241126726835081,0.10055475672659869,0.13738453304811343,0.0031874370603688588,1.365792599454725,629.3458039518324,1056.4573915476872,
0.383,0.24199233076480248,0.10110338012114274,0.13766240896807688,0.0032265416755828326,1.3640648456921327,628.9711480651715,1056.8026555328431,
0.385,0.24286028034913754,0.10165373166220877,0.13794066398169308,0.0032658847052356994,1.3623363530443067,628.596359762464,1057.147919517999,
0.387,0.24373050270076455,0.10220568764311944,0.13821934890831766,0.0033054661493274566,1.3606075144541674,628.2213710979104,1057.493183503155,
0.389,0.24460315161866752,0.10275949729449271,0.1384983683163167,0.0033452860078581064,1.3588775552377137,627.8463108925068,1057.838447488311,
0.391,0.245478155966023,0.10331503973215299,0.1387777719530424,0.003385344280827621,1.357146860528307,627.4711125925368,1058.1837114734667,
0.393,0.2463555186197453,0.10387231580526825,0.139057561846241,0.0034256409682360527,1.3554154336155162,627.0957738959761,1058.5289754586227,
0.395,0.2472352424121837,0.10443132625342853,0.1393377400886718,0.0034661760700833767,1.3536832780952406,626.7202924231324,1058.8742394437786,
0.397,0.2481173301314223,0.1049920717065173,0.13961830883853538,0.0035069495863695923,1.3519503978659742,626.3446657164716,1059.2195034289346,
0.399,0.24900178452213917,0.10555455268549233,0.13989927031955215,0.0035479615170946987,1.3502167971223253,625.9688912409127,1059.5647674140905,
0.401,0.24988860828796458,0.1061187696056158,0.14018062682009014,0.00358921186225867,1.3484824803411168,625.5929663853921,1059.9100313992462,
0.403,0.2507778040963638,0.1066847227838309,0.14046238069067132,0.00363070062186156,1.3467474522550076,625.2168884665808,1060.2552953844022,
0.405,0.25166937458440164,0.1072524124475846,0.14074453434091372,0.003672427795903341,1.3450117178221137,624.8406547333337,1060.6005593695581,
0.40700000000000003,0.25256332236741663,0.10782183874842942,0.1410270902346032,0.003714393384384014,1.343275282181554,624.4642623736015,1060.945823354714,
