method,beta,gamma_over_eta,n,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
LSE,1.0,0.75,7,2,2,0.0,0.4859114846625964,0.5858106913184139,0.5989092168432715,-0.2461090076430681,0.4311051761634668,0.39178499218387963,-0.2671623632350123,0.09117289138152374,0.274830814121616,0.06428261421475162,0.07681484160568491,0.08415767603573554,0.042101315928550306,0.061135370154625196,0.06034308199692092,-0.2461090076430681,0.4311051761634668,0.39178499218387963,-267.1623632350123,91.17289138152375,274.83081412161596,64.28261421475162,76.81484160568492,84.15767603573555
LSE,1.0,0.75,10,2,2,0.0,1.0548230368597475,1.1720002081085872,1.1860666915158748,0.2984574657530524,1.1303037430517306,0.8531530546403211,-0.2238115291973123,0.7478473944899312,0.5742207444218023,-0.14671279858373298,0.25894939990395804,0.23463171380608588,-0.04907331815487324,0.04423877909739298,0.05819557837794361,0.2984574657530524,1.1303037430517306,0.8531530546403211,-223.81152919731227,747.8473944899312,574.2207444218024,-146.712798583733,258.94939990395807,234.6317138060859
LSE,1.0,0.75,15,2,2,0.0,0.2951222797638155,0.3880501575519182,0.40270230523591927,0.22606650563500075,0.2288815620405391,0.2780277858255869,0.06988831981651264,0.0027385817309981335,0.06991514257815565,-0.011773417619476104,0.09768285210564806,0.07006841770861924,0.040870354250202884,0.06845889804738316,0.06335373878050195,0.22606650563500075,0.2288815620405391,0.2780277858255869,69.88831981651265,2.7385817309981317,69.91514257815565,-11.773417619476106,97.68285210564807,70.06841770861925
LSE,1.0,0.75,20,2,2,0.0,0.2601673819748205,0.3497335858585291,0.3663423015545265,-0.13979561751190145,0.16780720224300122,0.18336423652895242,-0.1421098169750607,0.16618975500652466,0.1844036805903006,-0.006394390110389167,0.006167295299091819,0.007739896028819949,-0.0342974220554643,0.021809194141989213,0.037604968211821924,-0.13979561751190145,0.16780720224300122,0.18336423652895242,-142.1098169750607,166.18975500652468,184.40368059030058,-6.394390110389168,6.16729529909182,7.739896028819949
LSE,1.0,1.0,7,2,2,0.0,0.8034884068208066,1.0062930747599033,1.0345153771603,-0.5507213464540629,0.2112728480734181,0.5706243156462076,-0.49903852425512335,0.35968137398995875,0.5601114122104491,0.05367570992721926,0.08216610449766411,0.07909940707964576,0.004787923432954099,0.07460744954763311,0.05297225665196019,-0.5507213464540629,0.2112728480734181,0.5706243156462076,-499.0385242551233,359.68137398995873,560.1114122104491,53.67570992721926,82.16610449766411,79.09940707964574
LSE,1.0,1.0,10,2,2,0.0,0.4194837012696877,0.5037469614424283,0.5147378260126492,-0.3516875160899059,0.2275888067252655,0.3867588931709301,-0.0780203274044876,0.13255234804415678,0.12195176904954301,0.09459227022190975,0.07161288465165766,0.10729352361536369,0.052308457338892736,0.08076538169433131,0.07744480711636045,-0.3516875160899059,0.2275888067252655,0.3867588931709301,-78.0203274044876,132.5523480441568,121.951769049543,94.59227022190976,71.61288465165767,107.29352361536371
LSE,1.0,1.0,15,2,2,0.0,0.5320970335131044,0.6880915265837917,0.711396640257298,-0.01122525915964484,0.32884525646704343,0.23279950127446358,0.3717880609378905,0.4193764620963689,0.4755677351715423,-0.037806217463854354,0.051723581946583067,0.0526020393484577,-0.024195636951833188,0.007753542554250683,0.024809021717415697,-0.01122525915964484,0.32884525646704343,0.23279950127446358,371.7880609378906,419.376462096369,475.5677351715423,-37.80621746385435,51.72358194658307,52.60203934845771
LSE,1.0,1.0,20,2,2,0.0,0.21488783663510225,0.22507717512731595,0.22624458384999305,0.10330507955854751,0.014154162199831517,0.10378877403836795,0.017683267788062604,0.26273324762498756,0.18662014270557944,-0.020661497201746953,0.017360736577596653,0.024033207315632018,-0.0031577046489979677,0.0018479689649572276,0.003417395689414078,0.10330507955854751,0.014154162199831517,0.10378877403836795,17.683267788062608,262.73324762498754,186.62014270557947,-20.661497201746954,17.36073657759665,24.033207315632016
LSE,1.25,0.1,7,2,2,0.0,0.7803328440936601,0.9472876624997534,0.9693882973354074,0.13098340562121047,0.12575007662854185,0.15831359207020926,0.7160464492047334,0.3496673754253347,0.7575329393083364,-0.1,0.0,0.1,0.0631879364580951,0.031742706225873184,0.06705605873523517,0.1637292570265131,0.1571875957856773,0.19789199008776157,716.0464492047333,349.66737542533474,757.5329393083365,-100.0,0.0,100.0
LSE,1.25,0.1,10,2,2,0.0,0.283537766709593,0.3449164773714849,0.3530655371707882,-0.213415765309232,0.12099324552240101,0.2299260133467877,-0.01567979194071296,0.09061425272074176,0.0659645910574247,0.15104974694926132,0.02684549162549417,0.15223786080914012,0.5600421622711826,0.0009112998591130544,0.5600425329875386,-0.26676970663654,0.15124155690300126,0.28740751668348463,-15.67979194071296,90.61425272074177,65.96459105742471,151.04974694926133,26.845491625494166,152.23786080914013
LSE,1.25,0.1,15,2,2,0.0,0.31976779825277646,0.32496512873049327,0.3255485235227748,-0.2034486469717268,0.08847944120962828,0.2128512572502459,-0.19763053066235967,0.12588827990707516,0.21675275352084214,0.0946605678797944,0.0447974958279122,0.09981999262447913,0.21616173122384164,0.19599322126370372,0.2567733736904002,-0.2543108087146585,0.11059930151203536,0.26606407156280737,-197.63053066235966,125.88827990707514,216.7527535208421,94.6605678797944,44.797495827912186,99.81999262447913
LSE,1.25,0.1,20,2,2,0.0,0.40101513816578366,0.5116378718007487,0.5276216351259181,0.3326352543482557,0.23791963885471498,0.3727587553790088,-0.10019221132407119,0.045464443925737584,0.10522350992409259,0.003814794832226194,0.14681629082671457,0.10388486071449103,0.3137868268817859,0.5519624796679113,0.5007928336199656,0.4157940679353196,0.2973995485683938,0.465948444223761,-100.1922113240712,45.46444392573759,105.22350992409257,3.814794832226198,146.81629082671458,103.88486071449101
LSE,1.25,0.25,7,2,2,0.0,0.7011294204482286,0.9272998288893044,0.9638585903941029,0.474646624826671,0.644869925913428,0.658193002950613,-0.143635803903326,0.062426423072822756,0.15026567576059494,-0.04708013549086365,0.25910662907496973,0.18916834241789784,0.09019044971343353,0.37579311964479156,0.28061459620927365,0.5933082810333388,0.806087407391785,0.8227412536882662,-143.635803903326,62.42642307282277,150.26567576059495,-47.080135490863654,259.10662907496976,189.16834241789786
LSE,1.25,0.25,10,2,2,0.0,0.8406860361609214,1.0403718403120412,1.0675904888684922,0.7394470508143608,0.32372571953532203,0.7740678986383474,0.18035878961607368,0.27320810843863724,0.2642926942805726,-0.18188264868785115,0.09633248205857364,0.1942196474188206,0.09611366281374167,0.14385189091401662,0.13994470136179754,0.924308813517951,0.40465714941915254,0.9675848732979343,180.3587896160737,273.2081084386372,264.2926942805726,-181.88264868785114,96.33248205857363,194.21964741882059
LSE,1.25,0.25,15,2,2,0.0,0.49827186408467755,0.5992668298950845,0.6124664178258078,0.23508183310254094,0.465845467126081,0.4046844052787421,-0.07939689304861845,0.2950911130407253,0.2232560169930047,-0.013737367726924646,0.2625772963032584,0.18617769345179166,0.12486298962513968,0.3623252572843077,0.28500975809820556,0.29385229137817614,0.5823068339076013,0.5058555065984276,-79.39689304861844,295.09111304072525,223.2560169930047,-13.737367726924646,262.5772963032583,186.17769345179167
LSE,1.25,0.25,20,2,2,0.0,0.2753741314852151,0.28839706585873076,0.2898889973340685,-0.0791728376949957,0.23408241947518996,0.18348195492297742,-0.09561713034680065,0.2560719829543218,0.20476588056323325,-0.008158766379107561,0.018420271290828554,0.015369406821433196,-0.1082774973168728,0.12479436306190358,0.13968118323961357,-0.09896604711874463,0.29260302434398744,0.2293524436537218,-95.61713034680065,256.0719829543218,204.76588056323325,-8.158766379107561,18.420271290828556,15.369406821433195
LSE,1.25,0.5,7,2,2,0.0,1.132571145653377,1.434235942242929,1.4771274423723113,0.5274011924564987,0.71524448409271,0.7307115394032452,0.19190105082207815,1.0435218519110407,0.7624270070075837,-0.10425517996340267,0.5596676917346557,0.4092469977104295,0.21061726599909392,0.28161304091926886,0.2898492455481504,0.6592514905706234,0.8940556051158876,0.9133894242540563,191.90105082207816,1043.521851911041,762.4270070075836,-104.25517996340267,559.6676917346557,409.24699771042947
LSE,1.25,0.5,10,2,2,0.0,1.1215813456842394,1.4176461079469547,1.4595801856053838,0.3508553670456087,1.1807610301751843,0.905647720570692,0.15891163829645838,0.7492273247661634,0.5531036981201585,-0.19159100952000735,0.43615617709460036,0.363074675979727,0.005658656722032324,0.06403049896535941,0.045628640071497285,0.43856920880701095,1.4759512877189804,1.1320596507133651,158.91163829645836,749.2273247661633,553.1036981201585,-191.59100952000733,436.15617709460037,363.074675979727
