n,fold,seed,mse_p,mse_q,mse_qp,mse_qcp
20,1,17,0.014593297360594457,0.013807365466774225,0.013405168693378941,0.013325203748106506
20,1,73,0.014346313379209639,0.013937510542208965,0.013384781612740216,0.01338800402033426
20,1,314,0.013937339390457423,0.013852045255856992,0.013391738243022082,0.013363902827697265
20,1,2718,0.014193704414525787,0.01387613051612728,0.013371929375995722,0.013357940981526463
20,1,4099,0.014296982319389124,0.013871099775806254,0.013479445969171451,0.013373991290210328
20,1,8128,0.014461396955860495,0.013938128116606325,0.013347916175267755,0.013416653605750438
20,1,12011,0.014383222597678392,0.01386719090592876,0.013574176323867598,0.01336111759392525
20,2,42,0.014151458951620493,0.014102973345132398,0.013363136248884763,0.013610805153196154
20,2,2026,0.014062738918946095,0.014134275485810498,0.013687349530819596,0.01353866139411869
20,2,3407,0.013936903985156764,0.014141881475819412,0.013389481041804154,0.013424713024930703
20,2,17,0.013931399108815044,0.014077626195762274,0.013343489250416209,0.013601835598191218
20,2,73,0.014395213316104641,0.014115513628221136,0.013633118735869613,0.013521057063471916
20,2,314,0.013807610415783525,0.014055007538312451,0.013609851214111342,0.01362280629021677
20,2,2718,0.014825300367411642,0.014137518246612111,0.013419726093940482,0.01345930261168541
20,2,4099,0.014600939163786728,0.014169959539589544,0.013586839547956146,0.013577387029657514
20,2,8128,0.0140715419171551,0.01420756299827243,0.013347092818167983,0.013488485200550474
20,2,12011,0.01460891489022844,0.014125586362951746,0.013421921446853429,0.013701820630733552
20,3,42,0.014397506012789307,0.01397036306028555,0.013508357902094113,0.013601534186166482
20,3,2026,0.014755007573760212,0.014006099728329946,0.013504475321112193,0.01384412538014877
20,3,3407,0.014342831555201609,0.013955564097709846,0.013379716309826577,0.0133338837096082
20,3,17,0.014337481908388022,0.013981144247020941,0.013551965051492915,0.013597918007983255
20,3,73,0.014182394535777717,0.014050351342029047,0.013795597662903761,0.013567471576268761
20,3,314,0.01419054932177311,0.014050770908635575,0.013625615230946131,0.01366538416955236
20,3,2718,0.014004520735975516,0.0139725939180116,0.013954378720696053,0.013692988223912224
20,3,4099,0.014136205295572468,0.013862423417540872,0.013642578662649143,0.013450225048178789
20,3,8128,0.014133975925928256,0.014023619242692445,0.013808886689418015,0.01362707868697056
20,3,12011,0.014187897599800783,0.013991038075266275,0.013589120953145606,0.013714640823988586
20,4,42,0.016347515820014823,0.01571230799658492,0.015380745959228349,0.015464191893652814
20,4,2026,0.016195445066287572,0.01571418146946285,0.015606575581390768,0.015322753040514036
20,4,3407,0.015984810027037295,0.015767066020742727,0.01548677710476102,0.01532846498180405
20,4,17,0.01608208301490596,0.015684475518257933,0.015541986845297853,0.015319043476959834
20,4,73,0.016181362157189395,0.01567760418131109,0.01554909539848831,0.015191175974878452
20,4,314,0.01593673687072137,0.01573932929618665,0.0154375144427008,0.015450987593468376
20,4,2718,0.016100649853213456,0.01564264655480975,0.015489373432886578,0.015321436724314927
20,4,4099,0.016247026475585048,0.015633108795944862,0.015508984307189841,0.01560795075792066
20,4,8128,0.015994542467972644,0.015678973632692716,0.015420947345918938,0.015575447053723252
20,4,12011,0.016217328566022548,0.015719993242418906,0.015264624121004029,0.015422125372035671
20,5,42,0.013034789534531245,0.012580999133503032,0.012613982570723485,0.01246429436788653
20,5,2026,0.013131694866133721,0.012656075531468879,0.01258346570291895,0.012345349822984672
20,5,3407,0.013200843401754134,0.012682219384343498,0.01254019608222221,0.01249606090981621
20,5,17,0.013064546124619762,0.01262607442939598,0.012392465035329812,0.012498086104214483
20,5,73,0.013065022396603197,0.01265883782259389,0.012473308314558926,0.012410686367385626
20,5,314,0.013018411842017649,0.012702133805066119,0.012491584411920711,0.012394780891869366
20,5,2718,0.01308684349424736,0.012593051601649712,0.01263391897443219,0.012553499626486914
20,5,4099,0.01289414557415808,0.01261642286318177,0.012319431811552027,0.012350441872094867
20,5,8128,0.013357977335711103,0.012724627074256013,0.012481582592589482,0.012433005920738805
20,5,12011,0.013176439483219837,0.012780688687456208,0.012316343429590634,0.01237476152870268
