beta,gamma_over_eta,x_R_over_eta,s_beta,s_eta,s_gamma,s_norm,unit_beta,unit_eta,unit_gamma,l1_share_beta,l1_share_eta,l1_share_gamma
3.0,0.5,0.8715525084779865,0.422075734476105,0.4263110998634354,1.1473778002731292,1.2947451085290573,0.32599137212081813,0.329262568404496,0.886180447962186,0.2114857269018698,0.2136079036925976,0.5749063694055325
3.0,0.75,1.1215525084779865,0.32799281564582955,0.33128409563472455,0.8916212058203672,1.0061395598048821,0.3259913721208182,0.3292625684044961,0.8861804479621861,0.2114857269018698,0.2136079036925976,0.5749063694055326
3.0,1.0,1.3715525084779865,0.26820786143911757,0.27089922272848216,0.7291007772715178,0.8227452760305415,0.32599137212081825,0.3292625684044961,0.8861804479621862,0.21148572690186979,0.21360790369259755,0.5749063694055325
3.5,0.1,0.5280020841032638,0.6879029972784482,0.8106068081722902,1.893931918277098,2.171928185320295,0.316724559277729,0.3732198944933116,0.8720048531428765,0.20277518474879958,0.23894494708712122,0.5582798681640792
3.5,0.25,0.6780020841032638,0.5357125364950689,0.6312695700181307,1.4749217199274773,1.6914145771225586,0.3167245592777291,0.37321989449331167,0.8720048531428766,0.2027751847487996,0.23894494708712125,0.5582798681640792
3.5,0.5,0.9280020841032638,0.3913937505591697,0.46120810657105993,1.0775837868578801,1.235754345831972,0.3167245592777291,0.37321989449331167,0.8720048531428765,0.2027751847487996,0.23894494708712125,0.5582798681640792
3.5,0.75,1.1780020841032637,0.30833070766627185,0.3633288004147071,0.8488949327803905,0.9734979452474452,0.316724559277729,0.3732198944933116,0.8720048531428766,0.2027751847487996,0.23894494708712122,0.5582798681640793
3.5,1.0,1.4280020841032637,0.2543513208189668,0.29972090998174866,0.7002790900182514,0.8030678814393156,0.316724559277729,0.3732198944933116,0.8720048531428766,0.2027751847487996,0.23894494708712125,0.5582798681640793
4.0,0.1,0.5758993901795282,0.6136115664633085,0.8263585589683878,1.7364144103161225,2.0185446804149154,0.3039871113168422,0.4093833378999212,0.860230852040986,0.19317924500562567,0.2601569645199892,0.5466637904743851
4.0,0.25,0.7258993901795282,0.48681474556126497,0.6555996555691135,1.3776013777235463,1.6014321905044973,0.30398711131684214,0.40938333789992115,0.860230852040986,0.1931792450056257,0.2601569645199892,0.5466637904743851
4.0,0.5,0.9758993901795282,0.36210549006318804,0.4876521032480417,1.0246957935039167,1.191186983206567,0.30398711131684214,0.40938333789992115,0.8602308520409859,0.1931792450056257,0.2601569645199892,0.5466637904743851
4.0,0.75,1.225899390179528,0.28826062706628275,0.38820428005093843,0.8157276265987488,0.9482659505449628,0.3039871113168422,0.40938333789992115,0.8602308520409859,0.19317924500562572,0.26015696451998926,0.5466637904743851
4.0,1.0,1.475899390179528,0.23943266680958483,0.3224470403240968,0.6775529596759032,0.787640850207057,0.30398711131684214,0.4093833378999212,0.8602308520409859,0.19317924500562572,0.26015696451998926,0.5466637904743852
4.5,0.1,0.6168289094830872,0.5530374785235496,0.837880490906625,1.6211950909337507,1.9068738009006534,0.2900231144097419,0.4394000748821856,0.8501847842096466,0.18360448875605329,0.2781703322933674,0.5382251789505793
4.5,0.25,0.7668289094830872,0.44485738678124404,0.6739820357470314,1.3040718570118741,1.5338687321064823,0.2900231144097419,0.4394000748821856,0.8501847842096467,0.18360448875605329,0.27817033229336746,0.5382251789505794
4.5,0.5,1.0168289094830874,0.33548368029226583,0.5082751922797132,0.9834496154405736,1.1567480784248725,0.2900231144097418,0.4394000748821855,0.8501847842096466,0.18360448875605326,0.27817033229336735,0.5382251789505793
4.5,0.75,1.2668289094830874,0.269278276038199,0.4079705677809109,0.7893725762921189,0.9284717757280726,0.2900231144097419,0.4394000748821856,0.8501847842096467,0.18360448875605326,0.2781703322933674,0.5382251789505793
4.5,1.0,1.5168289094830874,0.22489649468588332,0.3407298649517531,0.6592701350482469,0.7754433474848896,0.2900231144097418,0.4394000748821855,0.8501847842096466,0.18360448875605326,0.2781703322933674,0.5382251789505793
5.0,0.1,0.6520928447661601,0.5029417383479068,0.846647604244362,1.53352395755638,1.8224868411992756,0.27596453756393063,0.4645562234552163,0.8414458326334222,0.17444397288236155,0.29365741686277474,0.5318986102548636
5.0,0.25,0.8020928447661602,0.40888621691487376,0.6883153843955755,1.2467384624176983,1.4816621748732848,0.27596453756393063,0.4645562234552163,0.8414458326334222,0.17444397288236155,0.29365741686277474,0.5318986102548636
5.0,0.5,1.0520928447661602,0.31172601405137235,0.5247567717171094,0.9504864565657811,1.1295872172675705,0.27596453756393063,0.4645562234552163,0.8414458326334221,0.17444397288236158,0.2936574168627748,0.5318986102548636
5.0,0.75,1.3020928447661602,0.2518750565516108,0.42400420752278173,0.7679943899696244,0.9127080558068472,0.27596453756393063,0.4645562234552163,0.8414458326334221,0.17444397288236158,0.2936574168627748,0.5318986102548637
5.0,1.0,1.5520928447661602,0.21130482626529717,0.35570864631447935,0.6442913536855206,0.7656955786079788,0.27596453756393063,0.46455622345521635,0.8414458326334221,0.17444397288236155,0.29365741686277474,0.5318986102548636
