oracle_delta,selected_delta,row_percent
0.26,0.26,5.511111111111111
0.28,0.26,4.916420845624385
0.3,0.26,6.4484126984126995
0.32,0.26,5.781057810578106
0.34,0.26,5.137844611528822
0.36,0.26,3.9115646258503403
0.38,0.26,3.6303630363036308
0.4,0.26,4.363001745200698
0.42,0.26,4.737732656514383
0.44,0.26,3.1835205992509366
0.46,0.26,4.329004329004329
0.48,0.26,2.335456475583864
0.5,0.26,2.5206232813932172
0.0,0.28,0.33107599699021817
0.02,0.28,0.14149274849663954
0.04,0.28,0.37058152793614596
0.06,0.28,0.5645557191948944
0.08,0.28,1.0033444816053512
0.1,0.28,1.653944020356234
0.12,0.28,1.8039849219170705
0.14,0.28,2.135468802135469
0.16,0.28,2.583650995340957
0.18,0.28,2.6183282980866065
0.2,0.28,2.949360044518642
0.22,0.28,4.191616766467066
0.24,0.28,3.4241788958770094
0.26,0.28,3.2
0.28,0.28,2.949852507374631
0.3,0.28,3.7698412698412698
0.32,0.28,3.075030750307503
0.34,0.28,4.260651629072681
0.36,0.28,4.081632653061225
0.38,0.28,3.9603960396039604
0.4,0.28,4.886561954624781
0.42,0.28,3.7225042301184432
0.44,0.28,4.307116104868914
0.46,0.28,4.329004329004329
0.48,0.28,3.1847133757961785
0.5,0.28,1.665139016193095
0.0,0.3,0.28893905191873587
0.02,0.3,0.08253743662303974
0.04,0.3,0.2945648042569365
0.06,0.3,0.5400098183603338
0.08,0.3,0.9077878643096035
0.1,0.3,1.5055131467345206
0.12,0.3,1.6424340333871836
0.14,0.3,1.9352686019352687
0.16,0.3,1.9483269800931808
0.18,0.3,2.8700906344410875
0.2,0.3,3.060656649972176
0.22,0.3,3.32667997338656
0.24,0.3,3.494060097833683
0.26,0.3,3.111111111111111
0.28,0.3,2.359882005899705
0.3,0.3,3.869047619047619
0.32,0.3,3.198031980319803
0.34,0.3,5.639097744360902
0.36,0.3,4.081632653061225
0.38,0.3,4.455445544554455
0.4,0.3,2.2687609075043627
0.42,0.3,3.0456852791878175
0.44,0.3,2.8089887640449436
0.46,0.3,1.7316017316017316
0.48,0.3,3.821656050955414
0.5,0.3,3.1469599755575923
0.0,0.32,0.7584650112866818
0.02,0.32,0.13559721730927957
0.04,0.32,0.22805017103762829
0.06,0.32,0.5522827687776142
0.08,0.32,0.5574136008918618
0.1,0.32,1.5267175572519083
0.12,0.32,1.938610662358643
0.14,0.32,2.6359693026359694
0.16,0.32,2.5412960609911055
0.18,0.32,3.3232628398791544
0.2,0.32,3.5058430717863103
0.22,0.32,4.324683965402528
0.24,0.32,3.843466107617051
0.26,0.32,4.444444444444445
0.28,0.32,4.3264503441494595
0.3,0.32,5.158730158730158
0.32,0.32,5.043050430504305
0.34,0.32,5.263157894736842
0.36,0.32,3.231292517006803
0.38,0.32,4.455445544554455
0.4,0.32,5.7591623036649215
0.42,0.32,5.752961082910321
0.44,0.32,5.617977528089887
0.46,0.32,4.761904761904762
0.48,0.32,6.369426751592357
0.5,0.32,4.231591811793462
0.0,0.34,0.46651617757712566
0.02,0.34,0.08253743662303974
0.04,0.34,0.23755226149752945
0.06,0.34,0.46637211585665195
0.08,0.34,0.6529702181876095
