beta,eta,gamma,gamma_over_eta,n,bias_beta,sd_beta,bias_eta,sd_eta,bias_gamma,sd_gamma
2.5,1.0,0.5,0.5,20,-0.16866115377562663,0.6580473771777863,-0.05562469302165096,0.23106447803829128,0.05268600259267675,0.20005574596142436
2.5,1.0,1.0,1.0,7,-0.5340167545507484,0.837341974681097,-0.18459264129834596,0.35502248341067516,0.16760852925396375,0.30074087468610483
2.5,1.0,1.0,1.0,10,-0.374498168307968,0.785053302045627,-0.12494351070561394,0.3115695737659194,0.10752087638744623,0.2669335623493039
2.5,1.0,1.0,1.0,20,-0.2098670380515233,0.6712714059386272,-0.07092213689709059,0.23458023703144928,0.05878845823360601,0.20033779909954505
4.0,1.0,0.1,0.1,7,-1.776171408611546,0.9487521201276645,-0.3711344668392499,0.272901778378041,0.3461000139551679,0.2582687776753666
4.0,1.0,0.1,0.1,10,-1.4894217389268984,0.8494705764739718,-0.30220176714512037,0.25255231872432793,0.28820503561728084,0.23198363769146527
4.0,1.0,0.1,0.1,20,-1.1663411537867385,0.7839318645376468,-0.23717887518178282,0.20777904039992587,0.22598442379206243,0.19665700736835753
4.0,1.0,0.5,0.5,7,-1.6901400780987341,1.1847168489781605,-0.3611695510993014,0.2950727468874595,0.3439413040226925,0.279079260445317
4.0,1.0,0.5,0.5,10,-1.5048641955076247,0.9011628766421712,-0.31616051158497793,0.2666119676858737,0.2976141043289826,0.24973084400269108
4.0,1.0,0.5,0.5,20,-1.1254238186130343,0.7873314587261623,-0.22429511145221204,0.21305318772085,0.21231805207517773,0.20148859216538897
4.0,1.0,1.0,1.0,7,-1.758452782690628,0.927284336383977,-0.3566161966158856,0.2977784578570626,0.33593445636165087,0.2777301405812343
4.0,1.0,1.0,1.0,10,-1.5239452802067555,0.9539852156354998,-0.2978007336263888,0.27685620010063666,0.2802145215409393,0.2571207301451281
4.0,1.0,1.0,1.0,20,-1.0868292183573214,0.8010977199222976,-0.2131042052866542,0.22928550593383032,0.2003342861713544,0.21385553336955318
5.0,1.0,0.1,0.1,7,-2.6127959929641587,1.090550065864546,-0.45625506009085415,0.24686748778242326,0.43787853866536464,0.2389596963211862
5.0,1.0,0.1,0.1,10,-2.353582280159191,0.9498040111853888,-0.4042977276256082,0.22885824703489607,0.38735411102232553,0.22657842351422858
5.0,1.0,0.1,0.1,20,-1.914578873265524,0.8747334196195689,-0.31315588270512995,0.1972259302936662,0.30160272786117015,0.18941892901125737
5.0,1.0,0.5,0.5,7,-2.597992165284318,1.0080344798435592,-0.438261858056444,0.2644468597256469,0.4165293881016884,0.25814777138643047
5.0,1.0,0.5,0.5,10,-2.3382927336912767,1.0117175148243065,-0.38639699919926307,0.24859823290461114,0.37092245551522496,0.23692930393308015
5.0,1.0,0.5,0.5,20,-1.8628082185124555,0.853037613183971,-0.29394527261559167,0.20428032632494073,0.281872985386313,0.19314831541542024
5.0,1.0,1.0,1.0,7,-2.577549513558214,1.1105823846547163,-0.4419821796510154,0.2669713074138894,0.42177536855885256,0.26255881675450154
5.0,1.0,1.0,1.0,10,-2.3897431554672677,0.9418612012947059,-0.4094707781945338,0.23923282831789028,0.391954643679443,0.23240986249734727
5.0,1.0,1.0,1.0,20,-1.8851162593077961,0.8658244932806403,-0.30709482390277854,0.19968823185091494,0.29625620087142623,0.19065168362962817
