beta,eta,gamma,gamma_over_eta,n,bias_beta,sd_beta,bias_eta,sd_eta,bias_gamma,sd_gamma
2.0,1.0,1.0,1.0,10,-0.009291955984528588,0.8034806912565916,-0.034286721297119516,0.35515453582899104,0.022752274025075403,0.2813166841486748
2.0,1.0,1.0,1.0,20,0.0665041157014934,0.655441108065879,-0.001613283997957904,0.2535663951654006,-0.005525501247376274,0.1979228197800861
2.5,1.0,0.1,0.1,7,-0.5510559448775061,0.8064752738940885,-0.20490897069686909,0.29726062727865665,0.18459604324517823,0.24771259841888119
2.5,1.0,0.1,0.1,10,-0.4107538950989973,0.7226567920340645,-0.14141616594018314,0.262327296634886,0.12719876622075074,0.2099588842227954
2.5,1.0,0.1,0.1,20,-0.23020101058765263,0.5784892945186626,-0.07680196617779322,0.20039969102720137,0.06913568683841395,0.16350966638822362
2.5,1.0,0.5,0.5,7,-0.38523852693172644,0.9730871217843807,-0.12413949357670118,0.3769184841975889,0.10691917646245341,0.3248322260178942
2.5,1.0,0.5,0.5,10,-0.26381230796123223,0.8779608015318854,-0.09420071496556781,0.34014959287007757,0.08068159004376585,0.28923871606849283
2.5,1.0,0.5,0.5,20,-0.09343833443099259,0.7149890810126754,-0.03506473423174761,0.24547815845116447,0.03315860105107271,0.2135971254775038
2.5,1.0,1.0,1.0,7,-0.4321842403817593,0.92529951446235,-0.1541101460636819,0.3809387051194458,0.1387538928108878,0.3243862652541984
2.5,1.0,1.0,1.0,10,-0.27901672427964685,0.8643288815548797,-0.09700213543787939,0.33403388959757285,0.08105965656489356,0.287427057067397
2.5,1.0,1.0,1.0,20,-0.13865352737675796,0.7298602551063216,-0.05144676220795663,0.24938070372845036,0.04029584685448717,0.2144066821704363
4.0,1.0,0.1,0.1,7,-1.6791433039775168,0.9356214295345922,-0.34933610425117356,0.28358728484558515,0.325424629221467,0.26746045124902645
4.0,1.0,0.1,0.1,10,-1.3700499866240352,0.919348528725788,-0.2779325872347268,0.2640042151843735,0.2650161515863976,0.2418336046785164
4.0,1.0,0.1,0.1,20,-1.0572547242663726,0.8375399230091748,-0.21613117360551615,0.2161089212701555,0.20575211338854352,0.20411964872239519
4.0,1.0,0.5,0.5,7,-1.5683354309779305,1.2022788127472717,-0.33097993894775457,0.3182528277232888,0.31523102165922456,0.30027807536603607
4.0,1.0,0.5,0.5,10,-1.368211250583431,0.9962755078261345,-0.287339364678484,0.28795088997484997,0.2700156816070971,0.26942004241642736
4.0,1.0,0.5,0.5,20,-0.9876163182629223,0.8726496051106033,-0.19655710142393945,0.2310319902164422,0.18557329632097486,0.2184365224613546
4.0,1.0,1.0,1.0,7,-1.6328850482487813,0.9819234641721307,-0.32677630097598565,0.3216821427951911,0.3074600751803367,0.29967207840380483
4.0,1.0,1.0,1.0,10,-1.388794381817399,1.0400522161609767,-0.2682731546829239,0.2995454359417441,0.25191405559988067,0.27833746523755204
4.0,1.0,1.0,1.0,20,-0.9439042187182314,0.8872609062200548,-0.18382343260383383,0.2488898557919817,0.1720699082005872,0.23247733994583344
5.0,1.0,0.1,0.1,7,-2.498562206153546,1.0027359555123088,-0.43062568059240625,0.2628676313975952,0.413517201422419,0.2534865975514213
5.0,1.0,0.1,0.1,10,-2.220337579893628,0.9890238354779904,-0.37901193966802904,0.24355158850241304,0.3631779902583332,0.23963437593330777
5.0,1.0,0.1,0.1,20,-1.758496035716321,0.9568142730838045,-0.2865175994794624,0.2115815960145695,0.2758654411156962,0.20263895013715152
5.0,1.0,0.5,0.5,7,-2.454081781056925,1.0677216264240355,-0.41003988825003124,0.286307168646561,0.38949854578898235,0.27853686692796703
5.0,1.0,0.5,0.5,10,-2.1831440848898835,1.1029975523768787,-0.3576984067928588,0.2691225398231099,0.34336299084537203,0.25617688698271096
5.0,1.0,0.5,0.5,20,-1.6927416268345188,0.9464039317498383,-0.2639275021084172,0.2230428904903771,0.2528328645260488,0.21088763254705062
