budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.90_rmse,x0.95_rmse,x0.99_rmse
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,3.0,6000,6000,0.0,0.2594082804602433,-0.05823405403867747,0.1143383219733776,0.128305409263037,-0.0443102375620169,0.16196760697777343,0.16790631498534286,0.028266101214004493,0.1477921352934466,0.15045878941832436,0.11980697364034425,0.14877387404422832,0.24085219780548672
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,3.25,6000,6000,0.0,0.276390959079205,-0.10600345816853095,0.10770615449827096,0.15111391539014568,-0.06653084693113709,0.15870266272908345,0.17207176117775994,0.04530474675179348,0.14798305846972776,0.1547509477882661,0.11214199532651795,0.13706332514155747,0.21860507033304216
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,3.5,6000,6000,0.0,0.3002906486307587,-0.14905053127435225,0.10009061557632548,0.17953418201295263,-0.08294848194097604,0.15655866700850318,0.17716371459497351,0.06574036500702118,0.1491203538432337,0.16295695558929832,0.10589939727982639,0.12839244607233152,0.20300125562905552
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,3.75,6000,6000,0.0,0.3254736940436382,-0.18875220164059928,0.0927361669726953,0.21029968368065513,-0.09549069356353526,0.15474001114450095,0.1818212112517966,0.07710425476229969,0.15068820154120255,0.16925783791942325,0.10148360133169998,0.1208128852446617,0.18535031027128893
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,4.0,6000,6000,0.0,0.3517152270425416,-0.22385932454053512,0.08534492908893206,0.2395736632968086,-0.10846858451719464,0.1546095200022171,0.18885325913311782,0.08974107390690488,0.15030905636622996,0.17505001371874682,0.10015967402319245,0.11728484704440346,0.17317620650596138
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,4.25,6000,6000,0.0,0.3803728177496089,-0.2572001776394903,0.07934166216585692,0.26915791192123717,-0.12107555072053514,0.15398653174028354,0.19587544247392524,0.1029338305175328,0.1525739699500746,0.1840388816761847,0.09755439500749873,0.11301572012999406,0.16288402090341378
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,4.5,6000,6000,0.0,0.4048553213329523,-0.2869990957335477,0.07299387726408628,0.2961345961758474,-0.12998280441306695,0.1537517578760103,0.201323601595062,0.11271054163400872,0.151595196456446,0.1888939903760007,0.09601493822935306,0.109973438501031,0.15251188994933362
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,4.75,6000,6000,0.0,0.4305523659795615,-0.3151342036877549,0.0676635183683581,0.32231530369078176,-0.1408218889382862,0.15363690647178624,0.2084014620498835,0.12210899807119563,0.1521521161225737,0.19508207368384292,0.09581431054591985,0.10848580542412142,0.14436943474525676
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,5.0,6000,6000,0.0,0.45501942749962687,-0.340142122447506,0.062429826182506094,0.34582292734828796,-0.1500548548796755,0.15414784089951583,0.215114053626134,0.1313233707306036,0.15470387013928738,0.20291654997777217,0.0954573363102982,0.10764034976042515,0.1395359067288511
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,5.25,6000,6000,0.0,0.47783015638722476,-0.36486506699713595,0.058129041344595275,0.36946574861308173,-0.1563078275084874,0.15490449455459132,0.22005349381433964,0.1389767526027969,0.15518587186565216,0.20831029454858246,0.09608134979941825,0.107891187089672,0.13528748062511844
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,5.5,6000,6000,0.0,0.4991362333447499,-0.3877426742874386,0.05382592896479364,0.39146025241488597,-0.16294862233936488,0.15485492469879886,0.2247850185202528,0.14471404916948985,0.15629926812223932,0.2129965860423775,0.09679034433824198,0.10837504929536983,0.1320978101305178
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,5.75,6000,6000,0.0,0.5197359489397652,-0.4093154820588465,0.050956911883133664,0.4124746512865002,-0.1698018797143762,0.15532170810200613,0.23011625443840117,0.15078109076090546,0.15590298821878557,0.21687929387020624,0.09926073965988007,0.11066191430308667,0.13068886280176387
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,0.75,6000,5669,0.0551666666666667,0.7898287736345493,0.472897976415503,0.2836930588878466,0.5514526733480498,0.16790003246732862,0.39633328273218743,0.43039840067163027,-0.07292074471008908,0.09835843703489947,0.1224341071916211,0.35092957695227794,0.3541401038741047,0.3685875794923797
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,1.0,6000,5939,0.010166666666666657,0.5138882403043885,0.24182682335436248,0.2825973405932014,0.37192475379325746,0.04441095768715283,0.28792674568539484,0.2913077155858961,-0.05803226662189847,0.11318775890839734,0.12718905440286893,0.2708528725483336,0.32233328307219666,0.3950822267340578
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,1.25,6000,5993,0.0011666666666666492,0.4260512100405761,0.11909389727770851,0.2856340373756883,0.309445546087107,0.015714000359723375,0.2515126755497987,0.251982142919972,-0.04400882546275232,0.13201171896348732,0.13914367665865698,0.2554712315705214,0.31971462433546305,0.45600650870027276
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,1.5,6000,6000,0.0,0.41156513417194607,0.06109419322905298,0.29424549617406087,0.30049705888137795,0.006087135515162705,0.2381580346519757,0.2382159723440616,-0.033439512425777196,0.14569098957240617,0.14946748070997554,0.2253875726246441,0.282144010727008,0.44227455518707653
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,1.75,6000,6000,0.0,0.40635389796209515,0.02499084878390382,0.2945719285179553,0.29560565199301503,0.003471186751969344,0.22959000686497683,0.22959711480733327,-0.031074884025990117,0.15512677419787455,0.1581959347484049,0.19528252062340964,0.2395875184221445,0.3947790227193216
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,2.0,6000,6000,0.0,0.40039319190902106,0.0013005456294465532,0.29074739289854407,0.2907260719104642,0.0014763207524523595,0.21966790058544736,0.21965455547174711,-0.020538940660263214,0.16470461039018644,0.16596666984402308,0.18559498391947213,0.22648212021602812,0.3728849144730313
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,2.25,6000,6000,0.0,0.38734066281482205,-0.029012183627602828,0.27441928661356013,0.275925897069351,-0.004886127135957951,0.21408914645752175,0.2141270600419148,-0.014584056517716992,0.16685093863150474,0.16747325324990184,0.17017700873815908,0.20172727305456467,0.3237369579295754
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,2.5,6000,6000,0.0,0.3787830585142268,-0.04751682876914197,0.26429760862760265,0.2685133753432487,-0.01581227866213514,0.20567059535923785,0.2062604467324741,-0.002956911262843924,0.16979358776392575,0.16980518482333806,0.1567021706120565,0.18374658237203467,0.2906095728531756
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,2.75,6000,6000,0.0,0.36647708876596713,-0.06986879064386257,0.24737226362207468,0.25703012639781525,-0.023605794124410488,0.1964815098445081,0.19787820259712738,0.010951597956335723,0.17020598843710336,0.17054379980295953,0.14715187820399364,0.17281860980204364,0.26856178374843087
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,3.0,6000,6000,0.0,0.35496708251466685,-0.09200068189241822,0.22972908220094895,0.24744854165871633,-0.03118303266675713,0.1887452158201533,0.19128826561469067,0.021615304171330754,0.16648437305464595,0.1678679491090316,0.13591022530668365,0.1575374811661641,0.2378705094757885
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,3.25,6000,6000,0.0,0.3497332495545417,-0.1141781559588289,0.2155425258353684,0.24390057122710587,-0.04698331084975839,0.1810801100196811,0.18706141435930618,0.03297219621120504,0.16355787129796137,0.1668349017950584,0.1290126993368848,0.1481407632979584,0.21654078042265817
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,3.5,6000,6000,0.0,0.34646016260960205,-0.1366767026550586,0.19866066928104886,0.24112238571093664,-0.05738672878857459,0.17393800726286385,0.18314645671311178,0.048629226272177827,0.16121893516059319,0.16838056532144824,0.1203803588148056,0.1385309819945209,0.20013199334023515
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,3.75,6000,6000,0.0,0.34870970579304156,-0.16129398600758188,0.1834105549227236,0.24423262478082777,-0.06763069816059253,0.1680847525249903,0.18116756502679457,0.05816127055761724,0.16046418714326488,0.17066691914134724,0.11286566065424666,0.12938385826959856,0.18316201954209485
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,4.0,6000,6000,0.0,0.35237113892548777,-0.18276890092909623,0.16796513836873786,0.2482177608595079,-0.07787503611412734,0.1647359748988297,0.18220301777250245,0.06802044391350776,0.15726653933160412,0.17133424367630293,0.10991135321612926,0.1254547284312055,0.17235881999564542
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,4.25,6000,6000,0.0,0.36327512656404765,-0.20646537744648694,0.15559098824000778,0.25851977283440486,-0.089880385166182,0.16082743329572122,0.18422713162713253,0.08042895935606403,0.1572641507314892,0.17662590015683355,0.10436276786048643,0.11892634434785458,0.16174375796716578
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,4.5,6000,6000,0.0,0.3735854765109725,-0.2283403339338979,0.14432766696019916,0.27012277172669064,-0.09872640774399931,0.1580056212133147,0.18630222478091182,0.08977981909542708,0.15438534273640597,0.17858129100301404,0.10063118250136237,0.11428418909644479,0.15176589819485067
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,4.75,6000,6000,0.0,0.3883245181506261,-0.25036400617483656,0.13307127415460304,0.2835262743833611,-0.11026943658455085,0.15690582665423106,0.19176726478463996,0.09943719334541834,0.15411133070452435,0.18339601764548977,0.09753476640296785,0.11043531291079388,0.14412052576957682
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,5.0,6000,6000,0.0,0.40306579884773425,-0.269538269344788,0.12258149138762393,0.2960989636960236,-0.12043678466496656,0.15587097043009496,0.19696885345154935,0.10913143713214203,0.155193608999869,0.18971218376500004,0.09423385030396185,0.10689901587286744,0.1386079643025959
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,5.25,6000,6000,0.0,0.41989228292366243,-0.2914394723691902,0.11422547648686297,0.3130211669470662,-0.12738925507464757,0.15577666598946904,0.20122213491642454,0.11749469613417439,0.15503526402339765,0.19451717333340554,0.09241428545468043,0.10477331498105939,0.13345389177345182
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,5.5,6000,6000,0.0,0.4354166208246928,-0.3112648672426949,0.10552287637937642,0.32866250040543077,-0.1347815535629894,0.15475252713104962,0.20520823678284375,0.12363643701167491,0.15548708914138357,0.19864081673744904,0.08996033967291213,0.10189751258711685,0.1278775732449386
fixed_density,center_w4_1.0_5.0,"[1.0, 5.0]",1.0,5.0,4.0,13500,5.75,6000,6000,0.0,0.452506331924053,-0.3308194369016182,0.09938423583076872,0.3454230449162027,-0.1428458355900482,0.15506078473502002,0.2108192884919029,0.13057468331829408,0.15477200180814107,0.2024848835640529,0.0903680587407716,0.10191835696128503,0.12495338258776821
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,0.75,6000,5132,0.14466666666666672,0.8079814841487399,0.054264151439233584,0.3999501739987473,0.40357597878293083,-0.07999957545741615,0.3609759059894858,0.3697000762297539,-0.04067802347978067,0.1018986216613777,0.10970873911745964,0.2921073203111764,0.3223761757488131,0.3574869705959708
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,1.0,6000,5774,0.037666666666666626,0.5919964418987407,0.03069917901233297,0.3784139899819958,0.3796245343346279,-0.051102067516043244,0.3113601622930884,0.3154992583527997,-0.03857819613355309,0.12047164638864276,0.1264878698506501,0.2647820879804807,0.310108585172891,0.4078312523047626
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,1.25,6000,5963,0.006166666666666654,0.4862897514002586,0.003605958099817428,0.35050344358094804,0.35049260249429204,-0.024247968602762467,0.27844705125596303,0.279477587700479,-0.03483639849494927,0.13860756455182419,0.14290699679634,0.2587169321239786,0.31262760602639006,0.4647088479429848
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,1.5,6000,5996,0.0006666666666667043,0.4538943030074127,-0.006888126293119258,0.3403383412807627,0.34037966290581084,-0.010082585152754087,0.253981058928754,0.25415994684986826,-0.030634018928378585,0.15161067534491984,0.15466223350391428,0.22971481734906882,0.2775907371391291,0.44571499971996403
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,1.75,6000,5998,0.0003333333333332966,0.4414168720845253,-0.02036486393211659,0.33142544755459735,0.3320229536153239,-0.004789443338876878,0.2390317909835494,0.2390598460500867,-0.031428512081577285,0.16015947812965659,0.16320089829558543,0.20266900812038408,0.23925008784944038,0.39716129486737783
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,2.0,6000,6000,0.0,0.42824515894696863,-0.02920202329022395,0.3212135926870554,0.3225116027822056,-0.0015151413033870043,0.22456277585621534,0.2245491732636039,-0.0232146743580329,0.1685932003116229,0.17017006499087697,0.18970450041714965,0.22356352588233638,0.3663214450237553
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,2.25,6000,6000,0.0,0.4123592448178616,-0.050034803411455823,0.30138938232279,0.30548961041150496,-0.005086434714331853,0.21768963193852955,0.21773091085632906,-0.019010543663236356,0.17015557555171115,0.17120016114203088,0.17627656899956648,0.20201962986704788,0.31656194766910606
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,2.5,6000,6000,0.0,0.40324154772644766,-0.05862105973788855,0.29067580779625435,0.2965042526034409,-0.013196573851014193,0.21045367836951095,0.21084951626426124,-0.009912658433955288,0.17360362245956495,0.17387195142409517,0.16287705509890948,0.18498289853256902,0.28362725808077116
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,2.75,6000,6000,0.0,0.38912537719454354,-0.07629237681393986,0.27228195953430095,0.2827465932659683,-0.0184743489591249,0.20163827962078607,0.2024660985085135,0.0024746733331355722,0.17458338412610241,0.17458637440540944,0.15295551890605488,0.17479796594835786,0.26228397020623273
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,3.0,6000,6000,0.0,0.3762017580854253,-0.09431363584739072,0.25354285600340426,0.2704964468167351,-0.023001997032621384,0.19552970968332847,0.19686184815357352,0.011139899106996682,0.17171390366823386,0.17206059336072682,0.14126644711043934,0.15982585699335333,0.2324784192157825
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,3.25,6000,6000,0.0,0.3667356553764237,-0.11121843954486808,0.23682952888177708,0.26162648758781076,-0.03642906670645222,0.1891831198878409,0.19264310189949335,0.020979603051814285,0.1688190257062571,0.1701036660609686,0.13407204639267004,0.15061207082263853,0.21151971515575685
fixed_density,center_w5_0.5_5.5,"[0.5, 5.5]",0.5,5.5,5.0,16500,3.5,6000,6000,0.0,0.3607774389497994,-0.1315684989431086,0.22044205228249825,0.256703855078688,-0.04493110910389743,0.1821834548937924,0.18762751397508837,0.03542164715956766,0.1667613535758661,0.170468200091525,0.1257741584458535,0.142185607750457,0.19737649712458077
