beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,200,1000,10,95,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,96,14.146803,1227.772831,0.000543,12.646803,1027.772831,-999.999457,0.699907
1.5,200,1000,10,97,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,98,17.340164,1167.887992,0.000179,15.840164,967.887992,-999.999821,0.918437
1.5,200,1000,10,99,1.316747,155.539734,1014.306154,-0.183253,-44.460266,14.306154,0.761122
1.5,200,1000,10,100,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,101,16.527668,1141.373077,6.2e-05,15.027668,941.373077,-999.999938,0.919885
1.5,200,1000,10,102,17.117614,1178.781369,4.6e-05,15.617614,978.781369,-999.999954,0.911393
1.5,200,1000,10,103,1.624016,152.36222,1008.084629,0.124016,-47.63778,8.084629,0.859531
1.5,200,1000,10,104,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,105,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,106,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,107,12.681561,1249.638047,4.2e-05,11.181561,1049.638047,-999.999958,0.966075
1.5,200,1000,10,108,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,109,11.04746,1183.144723,0.00017,9.54746,983.144723,-999.99983,0.721594
1.5,200,1000,10,110,12.784973,1240.556341,8e-05,11.284973,1040.556341,-999.99992,0.932383
1.5,200,1000,10,111,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,112,15.409956,1126.716926,0.000981,13.909956,926.716926,-999.999019,0.774831
1.5,200,1000,10,113,23.64586,1208.269838,0.000103,22.14586,1008.269838,-999.999897,0.950218
1.5,200,1000,10,114,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,115,12.06018,1207.719035,6.7e-05,10.56018,1007.719035,-999.999933,0.896881
1.5,200,1000,10,116,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,117,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,118,14.69819,1165.02306,7.7e-05,13.19819,965.02306,-999.999923,0.822608
1.5,200,1000,10,119,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,120,28.203495,1128.364281,6.1e-05,26.703495,928.364281,-999.999939,0.962389
1.5,200,1000,10,121,2.754394,317.190128,907.334879,1.254394,117.190128,-92.665121,0.882652
1.5,200,1000,10,122,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,123,21.107859,1222.985792,0.000181,19.607859,1022.985792,-999.999819,0.871234
1.5,200,1000,10,124,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,125,16.712021,1292.235949,7.5e-05,15.212021,1092.235949,-999.999925,0.968396
1.5,200,1000,10,126,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,127,11.771493,1232.918849,8.3e-05,10.271493,1032.918849,-999.999917,0.921562
1.5,200,1000,10,128,18.984585,1099.574283,0.000401,17.484585,899.574283,-999.999599,0.841681
1.5,200,1000,10,129,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,130,9.391301,1273.85859,5.7e-05,7.891301,1073.85859,-999.999943,0.898011
1.5,200,1000,10,131,1.484439,205.347848,985.866787,-0.015561,5.347848,-14.133213,0.815031
1.5,200,1000,10,132,2.3017,265.772137,1001.03971,0.8017,65.772137,1.03971,0.871482
1.5,200,1000,10,133,14.328472,1266.783071,5.5e-05,12.828472,1066.783071,-999.999945,0.82476
1.5,200,1000,10,134,9.167379,1222.936206,0.000101,7.667379,1022.936206,-999.999899,0.66966
1.5,200,1000,10,135,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,136,1.285855,171.914863,1075.484243,-0.214145,-28.085137,75.484243,0.715349
1.5,200,1000,10,137,14.724946,1237.842321,6.6e-05,13.224946,1037.842321,-999.999934,0.880938
1.5,200,1000,10,138,12.332679,1243.949277,7.1e-05,10.832679,1043.949277,-999.999929,0.938008
1.5,200,1000,10,139,18.612953,1188.613579,0.000685,17.112953,988.613579,-999.999315,0.906576
1.5,200,1000,10,140,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,141,13.824607,1198.876884,0.000135,12.324607,998.876884,-999.999865,0.875539
1.5,200,1000,10,142,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,143,0.0,0.0,0.0,-1.5,-200.0,-1000.0,0.0
1.5,200,1000,10,144,1.567321,168.07234,996.78365,0.067321,-31.92766,-3.21635,0.814563
