beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
7,5000,1000,10,119,1.325972,1265.969855,4550.095116,-5.674028,-3734.030145,3550.095116,0.759575
7,5000,1000,10,120,9.424572,5947.108404,0.000125,2.424572,947.108404,-999.999875,0.939364
7,5000,1000,10,121,2.863867,1653.515269,4158.539026,-4.136133,-3346.484731,3158.539026,0.884949
7,5000,1000,10,122,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,123,8.13472,5697.697992,0.0,1.13472,697.697992,-1000.0,0.886803
7,5000,1000,10,124,2.572796,2160.878441,3808.307287,-4.427204,-2839.121559,2808.307287,0.871619
7,5000,1000,10,125,15.546167,6051.820605,7.4e-05,8.546167,1051.820605,-999.999926,0.915589
7,5000,1000,10,126,11.315607,6171.787161,4.8e-05,4.315607,1171.787161,-999.999952,0.872256
7,5000,1000,10,127,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,128,8.90797,5790.700707,0.0,1.90797,790.700707,-1000.0,0.812029
7,5000,1000,10,129,1.727443,1251.61469,4615.909739,-5.272557,-3748.38531,3615.909739,0.83352
7,5000,1000,10,130,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,131,1.671412,1721.290325,4067.904271,-5.328588,-3278.709675,3067.904271,0.802186
7,5000,1000,10,132,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,133,3.714598,3559.593702,2502.762285,-3.285402,-1440.406298,1502.762285,0.889799
7,5000,1000,10,134,8.756018,5252.431909,0.000111,1.756018,252.431909,-999.999889,0.905999
7,5000,1000,10,135,0.0,0.0,0.0,-7.0,-5000.0,-1000.0,0.0
7,5000,1000,10,136,1.514255,1022.69485,4667.609712,-5.485745,-3977.30515,3667.609712,0.69279
7,5000,1000,10,137,2.058249,1649.523363,4344.400502,-4.941751,-3350.476637,3344.400502,0.892992
7,5000,1000,10,138,3.884077,3297.039081,2820.992874,-3.115923,-1702.960919,1820.992874,0.89222
7,5000,1000,10,139,10.521875,6199.074965,0.000152,3.521875,1199.074965,-999.999848,0.936458
7,5000,1000,10,140,7.88354,6066.009417,0.0,0.88354,1066.009417,-1000.0,0.812961
7,5000,1000,10,141,11.070437,5781.941634,0.00016,4.070437,781.941634,-999.99984,0.918079
7,5000,1000,10,142,2.377241,2030.380548,4153.459612,-4.622759,-2969.619452,3153.459612,0.902045
