sim_id,est_beta,est_eta,est_gamma,r_squared,has_intersection,gradient_type,grad_min,grad_max,sigma_min_min,sigma_min_max
216,1.635325,1021.385390,961.738821,0.979133,True,normal,-0.042304,1.632439,89.119523,282.200808
217,2.331584,888.316313,1053.840508,0.939040,True,normal,0.010414,0.785614,48.973658,230.214622
218,1.578732,786.710391,1229.579763,0.979283,True,normal,-0.024314,1.856800,67.196036,213.360782
219,1.827818,964.534859,884.447249,0.945291,True,normal,-0.026581,1.099007,118.791467,274.344804
220,1.312853,318.131080,1460.415560,0.938123,True,normal,-0.114207,0.736893,63.349676,97.440450
221,1.127681,979.205528,1128.530229,0.966292,True,normal,-0.064152,3.517010,164.078148,330.774880
222,2.242462,1198.316450,836.057502,0.906928,True,normal,0.029470,0.770377,115.426644,346.536692
223,4.786364,1253.704983,943.423328,-3.398192,False,below_offset,0.056652,0.173586,278.501339,418.855827
224,2.725140,1016.391065,836.710854,0.837981,True,normal,0.024692,0.489106,91.823633,265.346301
225,1.167367,479.508612,1445.436523,0.976582,True,normal,-0.148172,1.691897,66.045011,127.929102
226,1.091988,575.924193,1541.765088,0.946770,True,normal,-0.025740,1.321778,118.293897,167.526946
227,1.951683,813.835250,1111.050722,0.830859,True,normal,0.009957,0.957223,116.462714,292.023330
228,1.751845,356.581061,1562.649897,0.972986,True,normal,-0.006997,1.011604,29.504478,78.569797
229,1.895397,852.644795,1092.979026,0.969122,True,normal,-0.000944,1.327488,55.397180,225.957985
230,2.160289,1489.239010,636.600570,0.962718,True,normal,0.031156,0.990785,88.734385,388.604662
231,2.291170,1318.768343,789.889889,0.955966,True,normal,0.027066,0.875631,66.612211,334.531708
232,1.501499,505.630342,1303.918080,0.892095,True,normal,-0.067829,1.046753,112.118798,164.472154
233,4.625450,1982.222000,0.000000,0.745328,False,below_offset,-0.634804,-0.004876,153.562173,232.093444
234,1.653038,1339.210585,873.928621,0.954724,True,normal,0.000653,1.546018,149.225004,407.511292
235,2.077527,1331.682609,906.863578,0.956175,True,normal,0.008985,1.015695,90.973196,353.302697
236,1.523868,1144.646873,1027.721586,0.900528,True,normal,0.012861,2.100252,204.080676,445.127057
237,1.272999,1315.012175,914.618172,0.979770,True,normal,-0.075133,2.718569,149.451607,404.771142
238,1.307863,1148.357811,1038.363934,0.842331,True,normal,0.017000,3.213757,283.054205,515.682918
239,2.215753,722.964704,1157.894813,0.946507,True,normal,-0.001613,0.862779,52.261827,184.581294
240,0.810543,414.734766,1505.805218,0.958066,True,normal,-0.130546,0.259890,113.137484,133.405801
241,1.673670,1104.800642,734.552679,0.857420,True,normal,0.028426,1.576088,192.216016,434.949309
242,1.846850,852.000450,1016.265685,0.883673,True,normal,0.013056,1.085372,119.894692,292.586863
243,1.754743,596.561159,1337.228231,0.975624,True,normal,-0.020835,1.368633,48.721917,149.934020
244,0.750968,451.862715,1255.333694,0.947734,True,normal,-0.832044,0.370008,149.849014,371.885120
245,1.502759,1150.593001,1017.193426,0.675911,True,normal,0.025627,1.929643,348.796992,581.317518
246,2.915989,1334.615275,678.864745,0.712648,True,normal,0.046458,0.390111,174.551016,367.140518
247,2.027150,1164.993536,979.916676,0.944172,True,normal,0.007661,0.995491,100.673580,323.075563
248,1.638317,1299.616163,879.072160,0.980728,True,normal,-0.057191,1.644526,109.138577,366.307357
249,2.033359,904.540797,1227.808956,0.981502,True,normal,-0.022161,1.179400,47.226863,220.598344
250,1.544834,518.567576,1379.801324,0.935128,True,normal,0.002283,1.436969,70.966445,162.653552
251,1.181526,612.971480,1195.304595,0.963985,True,normal,-0.072990,2.600276,90.807323,185.159795
252,2.775175,1010.269554,758.495520,0.812846,True,normal,0.025448,0.460870,103.217222,267.796506
253,1.767978,785.760075,1023.226602,0.942813,True,normal,0.007570,1.439782,78.955851,242.940087
254,2.691220,796.339294,1161.815526,0.873120,True,normal,0.011024,0.528052,51.380579,200.333470
255,2.279024,792.430322,955.154116,0.895730,True,normal,-0.004701,0.683054,93.585191,216.339941
256,1.078471,445.942915,1108.381057,0.972026,True,normal,-0.031520,1.649719,75.573831,116.967541
257,2.155695,1136.930637,1052.586953,0.936305,True,normal,0.013635,0.898077,89.087927,319.558224
258,1.815801,1229.031733,820.999885,0.940143,True,normal,0.022412,1.427233,122.547105,390.499005
259,2.248726,1228.489290,961.590340,0.875311,True,normal,0.025601,0.698269,144.585474,373.257382
260,1.214719,487.683312,1248.591774,0.985196,True,normal,-0.200578,2.096035,51.910352,118.886148
261,2.687932,1417.423243,810.035297,0.875410,True,normal,0.040233,0.536350,115.633376,361.268210
262,1.863901,1107.727007,957.521595,0.991112,True,normal,-0.035979,1.595474,42.510714,281.180411
263,1.714425,1033.554372,1253.882084,0.930560,True,normal,-0.035630,1.122524,161.014736,311.101316
264,1.796073,876.637721,984.058405,0.935069,True,normal,0.009801,1.357673,94.347567,280.288907
265,1.660378,901.053625,937.148684,0.943949,True,normal,0.003913,1.502881,110.064784,281.876117
266,1.069191,1239.583106,911.241794,0.995322,True,normal,-0.482262,4.004922,84.253050,364.494570
267,1.624549,1126.586678,1180.458301,0.989956,True,normal,-0.051302,1.955536,67.388396,304.348659
268,1.496829,1110.515079,905.261992,0.954643,True,normal,-0.032688,1.713792,160.659877,352.149462
269,1.169721,675.058644,1170.186387,0.983362,True,normal,-0.124216,2.855233,80.142531,188.772503
270,1.089972,706.414605,1140.961721,0.945572,True,normal,-0.100253,2.364198,157.421012,240.268323
271,2.310241,811.061160,1059.741405,0.909893,True,normal,0.008002,0.716108,65.420332,216.036223
272,5.092614,2006.514167,0.000000,0.653418,False,below_offset,-0.830768,-0.010578,107.679146,249.447355
273,1.095812,710.160757,989.004196,0.908737,True,normal,-0.130184,2.191064,183.970478,264.778884
274,1.111829,727.731947,1074.608200,0.991053,True,normal,-0.335167,3.272803,65.517576,197.625904
275,0.770061,685.810171,1290.898139,0.948976,True,normal,-0.254137,0.715607,179.220992,262.937152
276,2.273365,2203.832911,461.723411,0.844859,True,normal,0.092435,0.643215,356.061912,695.097567
277,1.983035,958.934956,965.221333,0.976723,True,normal,0.001253,1.309446,40.946144,248.560357
278,1.616500,817.772039,1271.576384,0.960171,True,normal,-0.001971,1.995623,79.047204,248.058737
279,2.322192,1442.370787,696.833690,0.970416,True,normal,0.033200,0.923703,51.988026,354.756783
280,2.040651,434.274788,1260.165741,0.928413,True,normal,-0.000140,0.864477,45.714790,115.011635
281,1.664998,581.077601,1160.437236,0.953420,True,normal,-0.000374,1.712944,57.652042,173.834516
282,1.180789,784.030914,1262.689847,0.880231,True,normal,-0.168364,1.593081,221.019981,318.888529
283,1.266477,658.434605,1311.558831,0.888454,True,normal,-0.006311,2.049403,143.566857,244.595996
284,1.063925,687.918053,1079.753211,0.918454,True,normal,-0.118606,2.173787,184.062041,256.161700
285,1.894715,829.789327,1026.973330,0.934882,True,normal,0.007350,1.107510,86.638025,248.065118
286,6.654455,1797.702599,0.000000,0.650268,False,below_offset,-0.547158,-0.012572,62.113208,179.262406
287,1.543200,1238.348788,873.893266,0.961395,True,normal,0.002001,1.890553,145.147233,391.820318
288,2.339471,1329.521131,748.391518,0.894218,True,normal,0.038514,0.686728,132.388810,374.524864
289,2.118645,841.154542,1202.556432,0.950769,True,normal,-0.005543,0.920702,70.852230,217.960144
290,1.150228,761.586407,1061.702233,0.966369,True,normal,-0.192665,2.634908,127.411890,242.737924
291,2.607991,936.646664,1035.416278,0.836129,True,normal,0.016846,0.508935,90.183192,253.760002
292,1.483855,444.060760,1448.434308,0.986394,True,normal,-0.066238,1.544941,35.759208,101.190152
293,3.006790,1472.277231,626.812912,0.673182,True,normal,0.063126,0.355008,202.638773,404.576339
294,1.764029,776.466480,1070.069243,0.938219,True,normal,0.005400,1.425251,79.451563,238.524517
295,2.233517,656.047272,1434.163078,0.949895,True,normal,0.000601,0.885784,37.475523,165.941506
296,2.027229,1268.380842,687.127304,0.978374,True,normal,-0.001445,1.225765,63.606565,331.000830
297,0.805070,687.444334,1178.795314,0.806094,True,normal,-0.042011,0.729380,302.302788,323.204398
298,1.530669,589.238878,1212.342108,0.937579,True,normal,-0.015259,1.402026,94.455851,177.229461
299,1.059083,687.775047,1522.316030,0.971621,True,normal,-0.250283,2.171240,120.396991,220.892549
300,7.038126,1912.361129,0.000000,0.718790,False,below_offset,-0.984692,-0.004253,66.759431,156.523903
301,1.601244,538.234905,1522.781410,0.987174,True,normal,-0.088209,1.544079,37.369044,125.740730
302,1.914157,516.545192,1508.426397,0.972974,True,normal,-0.021214,1.109811,39.169702,122.467733
