comparison,seed,test_n,point_estimate_J1,ci_low_J1,ci_high_J1,bootstrap_mean_J1,point_estimate_regret,ci_low_regret,ci_high_regret,bootstrap_mean_regret,representation,train_n
L_minus_S,2026,10,0.05124196343143517,0.03510867228772607,0.06725100825587385,0.051230972245464204,0.057625411723722195,0.03858350054491987,0.07686583456820296,0.057608097654723245,RAW,"7,20"
T_minus_S,2026,10,0.050199842700632935,0.03267105515307799,0.0667442900032813,0.04997221771177359,0.0554233656315205,0.033092588494429004,0.0799048478376201,0.05554748447577358,F13,7
T_minus_S,2026,10,0.13917541215959628,0.09529989444424984,0.18701710901038152,0.13890288504495357,0.1660404610580993,0.11253387876903605,0.2227784599985331,0.16557868716391944,F13,20
T_minus_S,2026,10,0.01646620761138362,0.005737983255237544,0.027020026253176652,0.016469015900501066,0.017772234039938398,0.006127282722133939,0.029875345916305657,0.01781214324631734,F12,7
T_minus_S,2026,10,0.023693970390350594,0.010437080181694442,0.0374628397637454,0.023778076009430032,0.025744525246935504,0.011493614446426248,0.03967146373121222,0.02571846534032461,F12,20
T_minus_S,2026,10,0.047766789166479584,0.024765914028727982,0.07509892642377888,0.04794084179235199,0.053551321017331996,0.028516292547549393,0.08151069430364259,0.05346420859144039,RAW,7
T_minus_S,2026,10,0.12734248110522695,0.08204235320584985,0.1734634399134404,0.12707531478700143,0.1528969514546202,0.0920416458038114,0.21823151121185827,0.15313190531027676,RAW,20
RAW_minus_F13,2026,20,0.005781756458302478,-0.0001864721383383422,0.011675827180577426,0.005836310171645476,0.0045895815337822984,-0.00015410164742268574,0.008862186375614142,0.004570466550797552,,
F12_minus_F13,2026,20,0.016293752738862077,0.008078747137274352,0.023840584139645012,0.01621708686990681,0.013105326334103502,0.005850969357054188,0.020803488894216942,0.013184237479665666,,
J_minus_S,2026,20,0.006842831600403498,0.0016145456685683513,0.01242883943568532,0.0067462216685347616,0.005345479319658699,0.0011512622921552621,0.010360940545357975,0.005346295445880493,F13,"7,10,20"
J_minus_S,2026,20,0.022862210011130202,0.01267689356596759,0.032385888766085086,0.022735411706372877,0.018238272287332102,0.009068399196344503,0.028276034044041626,0.018314653080600315,F12,"7,10,20"
J_minus_S,2026,20,0.012281387948202493,0.00758574885512959,0.0173027011199782,0.012296842710086648,0.009669190659459297,0.006158987048592349,0.013381327641116457,0.009637699964579804,RAW,"7,10,20"
L_minus_S,2026,20,0.0649985215223094,0.043334534899742726,0.0894201296233771,0.06508352122491486,0.05455554214609799,0.03669820720663172,0.0737178343659528,0.05448310225686619,F13,"7,10"
L_minus_S,2026,20,0.02195954288013041,0.013651308902644993,0.03042371558481517,0.0218601131814025,0.0174983496271433,0.009976333457948402,0.026135585927772004,0.017531705582253237,F12,"7,10"
L_minus_S,2026,20,0.09804748445636718,0.05701879344002941,0.14263887996456173,0.09802219701819824,0.0856023650553857,0.050077511709336574,0.12361833912671397,0.08541276209414876,RAW,"7,10"
T_minus_S,2026,20,0.0686267924352908,0.04981343425892963,0.08779770054940161,0.06847086775490159,0.0578498739589544,0.03922618149078304,0.07867852428646704,0.05790647462728562,F13,7
T_minus_S,2026,20,0.06905830208826019,0.04037448999998401,0.0992721329510825,0.06855408441900045,0.05824342012508969,0.030897119528281676,0.091197831117467,0.05832288877611722,F13,10
T_minus_S,2026,20,0.0604884655441682,0.03963842673413383,0.08198351032837699,0.06032527085148366,0.0505304803492993,0.030411685562232654,0.07353203147304724,0.05067240729159564,F12,7
