run_id,phase,seed,representation,family,train_n,test_n,J1,J1_hindsight,J1_minus_hindsight,mean_curve_rmse,mean_regret,median_regret,p95_regret,near5_hit,n_samples
RAW_T_7to10-20_seed2026,confirm,2026,RAW,T,7,20,0.5139360502272646,0.3599815345588963,0.15395451566836832,,0.13454355849982358,0.03359734816169875,0.5955846850481656,0.25166666666666665,3000.0
RAW_T_10to7-20_seed2026,confirm,2026,RAW,T,10,"7,20",0.6225541451773378,0.4865809990244663,0.13597314615287148,0.810908803052872,0.15081259506583805,0.04330452001848325,0.6303136348495949,0.25433333333333336,
RAW_T_10to7-20_seed2026,confirm,2026,RAW,T,10,7,0.7487549907299765,0.5864600855982591,0.1622949051317174,,0.2166986041431298,0.09788961222810018,0.7386265936161461,0.21066666666666667,3000.0
RAW_T_10to7-20_seed2026,confirm,2026,RAW,T,10,20,0.4631557958310833,0.3599815345588963,0.10317426127218698,,0.08492658598854629,0.018738944914044903,0.3736283750047364,0.298,3000.0
RAW_T_20to7-10_seed2026,confirm,2026,RAW,T,20,"7,10",0.7175491667516152,0.541724066083185,0.17582510066843016,0.7450799558856235,0.2214118429322383,0.05662658144271915,0.8964451575842101,0.309,
RAW_T_20to7-10_seed2026,confirm,2026,RAW,T,20,7,0.7673629599252043,0.5864600855982591,0.18090287432694518,,0.2449104802652534,0.06106890017799465,0.9322393287681003,0.32966666666666666,3000.0
RAW_T_20to7-10_seed2026,confirm,2026,RAW,T,20,10,0.664008811045986,0.4929447185511582,0.1710640924948278,,0.19791320559922324,0.052633622160736394,0.8601426302012457,0.28833333333333333,3000.0
RAW_L_hold7_seed2026,confirm,2026,RAW,L,"10,20",7,0.767617827640035,0.5864600855982591,0.18115774204177593,1.0135537577789246,0.2453016973108892,0.07119427929840025,0.9742777554633903,0.26366666666666666,
RAW_L_hold7_seed2026,confirm,2026,RAW,L,"10,20",7,0.767617827640035,0.5864600855982591,0.18115774204177593,,0.2453016973108892,0.07119427929840025,0.9742777554633903,0.26366666666666666,3000.0
RAW_L_hold10_seed2026,confirm,2026,RAW,L,"7,20",10,0.5879082933721942,0.4929447185511582,0.09496357482103601,0.578104459196955,0.10264166586832528,0.03966404173140904,0.3731674830354717,0.25233333333333335,
RAW_L_hold10_seed2026,confirm,2026,RAW,L,"7,20",10,0.5879082933721942,0.4929447185511582,0.09496357482103601,,0.10264166586832528,0.03966404173140904,0.3731674830354717,0.25233333333333335,3000.0
RAW_L_hold20_seed2026,confirm,2026,RAW,L,"7,10",20,0.4855589859930571,0.3599815345588963,0.12557745143416077,0.5338022938387719,0.10618082365522796,0.017753186251528056,0.4942704514320577,0.33666666666666667,
RAW_L_hold20_seed2026,confirm,2026,RAW,L,"7,10",20,0.4855589859930571,0.3599815345588963,0.12557745143416077,,0.10618082365522796,0.017753186251528056,0.4942704514320577,0.33666666666666667,3000.0
F13_J_seed3407,confirm,3407,F13,J,"7,10,20","7,10,20",0.5387363404629099,0.4887114461420549,0.05002489432085494,0.19347047896548716,0.05139796694510969,0.012805451167486485,0.20887690805809087,0.39544444444444443,
F13_J_seed3407,confirm,3407,F13,J,"7,10,20",7,0.6486818076453545,0.5864600855982591,0.06222172204709542,,0.07685265557012726,0.020371854911888178,0.2956162800136919,0.39266666666666666,3000.0
F13_J_seed3407,confirm,3407,F13,J,"7,10,20",10,0.5391694269220254,0.4929447185511582,0.04622470837086723,,0.04770917537994471,0.0123571282722371,0.1964456085264532,0.4043333333333333,3000.0
F13_J_seed3407,confirm,3407,F13,J,"7,10,20",20,0.3990222739505089,0.3599815345588963,0.03904073939161257,,0.029632069885257104,0.007723820090253099,0.12546616934292248,0.3893333333333333,3000.0
F13_S_7to7_seed3407,confirm,3407,F13,S,7,7,0.6403301942510442,0.5864600855982591,0.053870108652785076,0.2386872348604411,0.0660873256696626,0.01652497388303311,0.2676342587299422,0.43733333333333335,
F13_S_7to7_seed3407,confirm,3407,F13,S,7,7,0.6403301942510442,0.5864600855982591,0.053870108652785076,,0.0660873256696626,0.01652497388303311,0.2676342587299422,0.43733333333333335,3000.0
F13_S_10to10_seed3407,confirm,3407,F13,S,10,10,0.5315015814611542,0.4929447185511582,0.03855686290999605,0.1632636173932792,0.039499435548227345,0.005932889094678373,0.1884142253893682,0.48433333333333334,
F13_S_10to10_seed3407,confirm,3407,F13,S,10,10,0.5315015814611542,0.4929447185511582,0.03855686290999605,,0.039499435548227345,0.005932889094678373,0.1884142253893682,0.48433333333333334,3000.0
F13_S_20to20_seed3407,confirm,3407,F13,S,20,20,0.3864457200598382,0.3599815345588963,0.026464185500941872,0.08477805286891112,0.01975358932918898,0.0010314649696873998,0.09048636863840591,0.5333333333333333,
F13_S_20to20_seed3407,confirm,3407,F13,S,20,20,0.3864457200598382,0.3599815345588963,0.026464185500941872,,0.01975358932918898,0.0010314649696873998,0.09048636863840591,0.5333333333333333,3000.0
F13_T_7to10-20_seed3407,confirm,3407,F13,T,7,"10,20",0.5416109618531117,0.4316139483212159,0.10999701353189584,0.5995130516865119,0.10705183361402357,0.0143167228600905,0.5387937180833091,0.4005,
F13_T_7to10-20_seed3407,confirm,3407,F13,T,7,10,0.5663337421558701,0.4929447185511582,0.07338902360471189,,0.07773941195679102,0.011728196556152592,0.3428362169550822,0.43766666666666665,3000.0
F13_T_7to10-20_seed3407,confirm,3407,F13,T,7,20,0.5157043343764274,0.3599815345588963,0.15572279981753107,,0.13636425527125612,0.01713898611941555,0.7489060260770563,0.36333333333333334,3000.0
F13_T_10to7-20_seed3407,confirm,3407,F13,T,10,"7,20",0.5735326442294119,0.4865809990244663,0.08695164520494558,0.3771394415097998,0.09217862538513344,0.029478053958830734,0.33521501417608984,0.306,
F13_T_10to7-20_seed3407,confirm,3407,F13,T,10,7,0.6817011785944549,0.5864600855982591,0.09524109299619576,,0.12078106489715143,0.03369413611764106,0.47530925621593045,0.348,3000.0
F13_T_10to7-20_seed3407,confirm,3407,F13,T,10,20,0.43950300465013126,0.3599815345588963,0.07952147009123495,,0.06357618587311545,0.0263670774324914,0.2418676693931236,0.264,3000.0
F13_T_20to7-10_seed3407,confirm,3407,F13,T,20,"7,10",0.7331307418820848,0.541724066083185,0.1914066757988998,0.4543814996979136,0.244015720918877,0.0932361725210005,0.9369137007806599,0.2165,
F13_T_20to7-10_seed3407,confirm,3407,F13,T,20,7,0.8027681443965736,0.5864600855982591,0.2163080587983145,,0.3005012616580005,0.12861028678429154,1.0563630791589989,0.207,3000.0
F13_T_20to7-10_seed3407,confirm,3407,F13,T,20,10,0.6561437919596848,0.4929447185511582,0.16319907340852657,,0.18753018017975343,0.07305144477468664,0.7468006289461472,0.226,3000.0
F13_L_hold7_seed3407,confirm,3407,F13,L,"10,20",7,0.6494847715281892,0.5864600855982591,0.06302468592993005,0.27459047964442695,0.07789503644710656,0.008989922868100849,0.3254415372199177,0.5016666666666667,
F13_L_hold7_seed3407,confirm,3407,F13,L,"10,20",7,0.6494847715281892,0.5864600855982591,0.06302468592993005,,0.07789503644710656,0.008989922868100849,0.3254415372199177,0.5016666666666667,3000.0
F13_L_hold10_seed3407,confirm,3407,F13,L,"7,20",10,0.5408550408095997,0.4929447185511582,0.047910322258441496,0.20311194972932112,0.04952967962167311,0.012742453140843348,0.20072421086350678,0.4103333333333333,
F13_L_hold10_seed3407,confirm,3407,F13,L,"7,20",10,0.5408550408095997,0.4929447185511582,0.047910322258441496,,0.04952967962167311,0.012742453140843348,0.20072421086350678,0.4103333333333333,3000.0
F13_L_hold20_seed3407,confirm,3407,F13,L,"7,10",20,0.44843753134618025,0.3599815345588963,0.08845599678728394,0.17543415481996885,0.07150951429647853,0.0174928233020533,0.3131417954505142,0.3243333333333333,
F13_L_hold20_seed3407,confirm,3407,F13,L,"7,10",20,0.44843753134618025,0.3599815345588963,0.08845599678728394,,0.07150951429647853,0.0174928233020533,0.3131417954505142,0.3243333333333333,3000.0
F12_J_seed3407,confirm,3407,F12,J,"7,10,20","7,10,20",0.5329697623322387,0.4887114461420549,0.04425831619018378,0.16715612855808124,0.04521788997022445,0.009425650504931542,0.18298383717816355,0.446,
F12_J_seed3407,confirm,3407,F12,J,"7,10,20",7,0.6395147379247859,0.5864600855982591,0.05305465232652673,,0.06504366802309011,0.012505185758453483,0.28633917679746096,0.48433333333333334,3000.0
F12_J_seed3407,confirm,3407,F12,J,"7,10,20",10,0.5354896054688578,0.4929447185511582,0.04254488691769964,,0.04375462201771235,0.010635371381855864,0.1874624883996358,0.4523333333333333,3000.0
F12_J_seed3407,confirm,3407,F12,J,"7,10,20",20,0.39552760345296856,0.3599815345588963,0.03554606889407225,,0.02685537986987088,0.00668091242116105,0.11487339022345358,0.4013333333333333,3000.0
F12_S_7to7_seed3407,confirm,3407,F12,S,7,7,0.6523855769111793,0.5864600855982591,0.06592549131292014,0.25993778540452095,0.08167150896181483,0.028431547387976243,0.2956162800136919,0.3626666666666667,
F12_S_7to7_seed3407,confirm,3407,F12,S,7,7,0.6523855769111793,0.5864600855982591,0.06592549131292014,,0.08167150896181483,0.028431547387976243,0.2956162800136919,0.3626666666666667,3000.0
F12_S_10to10_seed3407,confirm,3407,F12,S,10,10,0.5297217071997694,0.4929447185511582,0.03677698864861123,0.15807717802248486,0.03761059153115759,0.006022145059029349,0.176126394402514,0.49,
F12_S_10to10_seed3407,confirm,3407,F12,S,10,10,0.5297217071997694,0.4929447185511582,0.03677698864861123,,0.03761059153115759,0.006022145059029349,0.176126394402514,0.49,3000.0
F12_S_20to20_seed3407,confirm,3407,F12,S,20,20,0.3865264714316008,0.3599815345588963,0.026544936872704483,0.08663766113940025,0.01981600789398627,0.0035503307253703514,0.09406015638404244,0.471,
F12_S_20to20_seed3407,confirm,3407,F12,S,20,20,0.3865264714316008,0.3599815345588963,0.026544936872704483,,0.01981600789398627,0.0035503307253703514,0.09406015638404244,0.471,3000.0
F12_T_7to10-20_seed3407,confirm,3407,F12,T,7,"10,20",0.511566524170926,0.4316139483212159,0.07995257584971005,0.5438209404670513,0.07540970826689333,0.03056777631448071,0.26953242032283775,0.24,
F12_T_7to10-20_seed3407,confirm,3407,F12,T,7,10,0.5637937871791373,0.4929447185511582,0.07084906862797913,,0.07486893891431377,0.030745604086897405,0.2687820319299124,0.2826666666666667,3000.0
F12_T_7to10-20_seed3407,confirm,3407,F12,T,7,20,0.4533620880078646,0.3599815345588963,0.09338055344896828,,0.0759504776194729,0.030379263338579765,0.2700762100340086,0.19733333333333333,3000.0
F12_T_10to7-20_seed3407,confirm,3407,F12,T,10,"7,20",0.5412442939025383,0.4865809990244663,0.05466329487807198,0.21917753320322822,0.056184317070409634,0.009991559813217907,0.2155340206399469,0.41433333333333333,
F12_T_10to7-20_seed3407,confirm,3407,F12,T,10,7,0.645890372652917,0.5864600855982591,0.059430287054657915,,0.07323894148580666,0.006652125121528435,0.33568504000732274,0.5233333333333333,3000.0
