scope,scope_value,contrast,n_cells,n_samples,J1_direct,J1_comparator,delta_J1,ci95_low,ci95_high,relative_change_percent,bootstrap_reps,bootstrap_seed
beta,1.0,Direct-P minus MDM-0.1,20,6000,0.7625059572765402,0.6063050265414928,0.15620093073504748,0.14545893498358645,0.1664037039386705,25.76276360861702,3000,20260830
beta,1.25,Direct-P minus Adaptive-MDM,20,6000,0.5520784345749052,0.5131235228977428,0.038954911677162474,0.03247514437909374,0.04532971499342886,7.591722058886308,3000,20260830
beta,1.25,Direct-P minus MDM-0.1,20,6000,0.5520784345749052,0.5532062639712462,-0.0011278293963409292,-0.0096029461233156,0.007389418853621428,-0.2038714074285229,3000,20260830
beta,1.5,Direct-P minus Adaptive-MDM,20,6000,0.4450998961604461,0.4869063524869603,-0.041806456326514196,-0.04862396108319879,-0.03533890574418572,-8.586139020980179,3000,20260830
beta,1.5,Direct-P minus MDM-0.1,20,6000,0.4450998961604461,0.53133094115803,-0.08623104499758394,-0.09420230421285387,-0.07834606516509007,-16.22925343094914,3000,20260830
beta,1.75,Direct-P minus Adaptive-MDM,20,6000,0.3908307681901788,0.4832707140333245,-0.09243994584314569,-0.0999264792401041,-0.08541500401334513,-19.127984204060706,3000,20260830
beta,1.75,Direct-P minus MDM-0.1,20,6000,0.3908307681901788,0.5195907033002727,-0.12875993511009387,-0.13559596909458393,-0.12181948334211218,-24.781031356460435,3000,20260830
beta,2.0,Direct-P minus Adaptive-MDM,20,6000,0.3682532590134253,0.489874088429476,-0.12162082941605068,-0.128710538198648,-0.1148082979609011,-24.826957026031728,3000,20260830
beta,2.0,Direct-P minus MDM-0.1,20,6000,0.3682532590134253,0.520154159381418,-0.15190090036799264,-0.15814532657303254,-0.14529824544416864,-29.20305406163386,3000,20260830
beta,2.25,Direct-P minus Adaptive-MDM,20,6000,0.35004684702927197,0.4901461550890201,-0.14009930805974813,-0.14692831472202258,-0.13296048546814532,-28.58316985763223,3000,20260830
beta,2.25,Direct-P minus MDM-0.1,20,6000,0.35004684702927197,0.5182453664281059,-0.16819851939883396,-0.1743403826223511,-0.16176202217419572,-32.455383163019064,3000,20260830
beta,2.5,Direct-P minus Adaptive-MDM,20,6000,0.3443399563187655,0.5026530696456684,-0.15831311332690284,-0.16480917414288035,-0.15165279591687061,-31.49550313867602,3000,20260830
beta,2.5,Direct-P minus MDM-0.1,20,6000,0.3443399563187655,0.5286324106965696,-0.18429245437780412,-0.1906469535861209,-0.17805679500107918,-34.86211791951334,3000,20260830
beta,2.75,Direct-P minus Adaptive-MDM,20,6000,0.3367301297097068,0.5187630880944682,-0.18203295838476147,-0.18853084026903805,-0.1752891999163605,-35.08980545501201,3000,20260830
beta,2.75,Direct-P minus MDM-0.1,20,6000,0.3367301297097068,0.5484503352162897,-0.21172020550658294,-0.21829212543644821,-0.20517849884985903,-38.60335055189415,3000,20260830
beta,3.0,Direct-P minus Adaptive-MDM,20,6000,0.32977031844582166,0.5365018836926303,-0.20673156524680864,-0.21398455118965765,-0.19931349158073217,-38.533241267284744,3000,20260830
beta,3.0,Direct-P minus MDM-0.1,20,6000,0.32977031844582166,0.5713356176137547,-0.24156529916793307,-0.248524809444413,-0.23449991957960842,-42.28080513811773,3000,20260830
beta,3.25,Direct-P minus Adaptive-MDM,20,6000,0.3274150651077497,0.546780967180875,-0.21936590207312529,-0.22639478189205048,-0.21186192872958595,-40.11952047346211,3000,20260830
beta,3.25,Direct-P minus MDM-0.1,20,6000,0.3274150651077497,0.5893742895777081,-0.2619592244699584,-0.26896549093281114,-0.2549445289769103,-44.44700576566625,3000,20260830
beta,3.5,Direct-P minus Adaptive-MDM,20,6000,0.3277523208940426,0.5737914132483465,-0.24603909235430388,-0.2538039920554457,-0.237776477263711,-42.879535432820084,3000,20260830
beta,3.5,Direct-P minus MDM-0.1,20,6000,0.3277523208940426,0.6264311190775319,-0.2986787981834893,-0.3062522228327341,-0.2909848301439778,-47.67943179823455,3000,20260830
beta,3.75,Direct-P minus Adaptive-MDM,20,6000,0.3326245030465473,0.5899921684854008,-0.25736766543885353,-0.26495462900649047,-0.2492992164487426,-43.62221724053647,3000,20260830
beta,3.75,Direct-P minus MDM-0.1,20,6000,0.3326245030465473,0.652307460979141,-0.31968295793259377,-0.3272445704635158,-0.31217123099145955,-49.00801800622304,3000,20260830
beta,4.0,Direct-P minus Adaptive-MDM,20,6000,0.3384674670780622,0.6034909403411356,-0.2650234732630734,-0.272779904096257,-0.25702680463481364,-43.91507072388916,3000,20260830
beta,4.0,Direct-P minus MDM-0.1,20,6000,0.3384674670780622,0.675448654726592,-0.3369811876485298,-0.34423511672829116,-0.32950985637210173,-49.88997835593188,3000,20260830
beta,4.25,Direct-P minus Adaptive-MDM,20,6000,0.3512063249689799,0.6262284507349708,-0.2750221257659909,-0.28274686991393455,-0.2666404228645537,-43.917219896862264,3000,20260830
beta,4.25,Direct-P minus MDM-0.1,20,6000,0.3512063249689799,0.7052744280699682,-0.3540681031009883,-0.3611548227368135,-0.3464339113879274,-50.202884013520794,3000,20260830
beta,4.5,Direct-P minus Adaptive-MDM,20,6000,0.3627223329269027,0.6438739986628024,-0.28115166573589967,-0.2896274305331073,-0.27268837472683416,-43.66563431972645,3000,20260830
