window_id,beta_center,beta_lower,beta_upper,beta_levels,delta,mean_loss,J1,excess_J1_pct
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.2,0.30006919830147855,0.5477857229806912,1.990555413500683
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.22,0.30626723665324623,0.5534141637627702,3.03849766061266
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.24,0.31186498510929717,0.5584487309586236,3.975868393419746
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.26,0.31811753435513695,0.5640190904172809,5.012996655817603
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.28,0.32429685496686395,0.5694706796375595,6.0280114492609504
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.3,0.33078972529756595,0.5751432215523069,7.0841647519490625
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.32,0.3370584533249121,0.5805673546841159,8.094067579901143
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.34,0.3432819765382908,0.5859027022793893,9.08743969921284
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.36,0.3495374233790775,0.5912169004511606,10.076874071775821
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.38,0.35558034720474896,0.5963055820674069,11.024320203703809
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.4,0.36147479421579476,0.6012277390604951,11.940761623217044
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.42,0.3672538704599854,0.606014744424577,12.832039572546394
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.44,0.3730088724662257,0.6107445230750954,13.71266265436828
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.46,0.37850898250979514,0.6152308367676276,14.547955737164964
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.48,0.3838519536227637,0.6195578694704504,15.353592777597358
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.5,0.3889699798549298,0.6236745784902009,16.120070292044943
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.0,0.8834740539400513,0.9399330050275133,69.78327007590828
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.02,0.49630358020188803,0.7044881689580657,27.254074934828143
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.04,0.37707118779607274,0.6140612247944603,10.919950905829845
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.06,0.33075078457328977,0.5751093674887323,3.8839454953133012
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.08,0.3136296620118545,0.5600264833129363,1.1594732362847138
4,2.75,2.25,3.25,2.25;2.50;2.75;3.00;3.25,0.1,0.3064813215366964,0.5536075519144373,0.0
