route,n,beta,gamma_over_eta,count,relative_bias,within_cell_variance,cell_mse,identity_residual
P,15,2.5,0.5,3000,-0.011184908773420224,0.015011007523641932,0.015136109707911662,-3.469446951953614e-18
P,15,2.5,0.75,3000,-0.012655180136888097,0.009518524871927779,0.009678678456224865,-1.734723475976807e-18
P,15,2.5,1.0,3000,-0.015978323172200666,0.0052501584105472945,0.005505465221942579,0.0
P,15,3.0,0.1,3000,0.01162853528971679,0.0309108272436216,0.03104605007660579,0.0
P,15,3.0,0.25,3000,-0.026980539622857274,0.02141551883196785,0.02214346835030842,0.0
P,15,3.0,0.5,3000,-0.023268165772648446,0.014312344479416296,0.014853752017839743,-1.734723475976807e-18
P,15,3.0,0.75,3000,-0.0035159910879968568,0.008884167617480843,0.008896529810811717,0.0
P,15,3.0,1.0,3000,-0.022293903551922994,0.0036050681214351097,0.0041020862570175535,-8.673617379884035e-19
P,15,3.5,0.1,3000,-0.002215294013310389,0.022768808419942,0.022773715947507413,3.469446951953614e-18
P,15,3.5,0.25,3000,-0.03748935281832898,0.016385207882534402,0.017790659457271554,0.0
P,15,3.5,0.5,3000,-0.006425990406277076,0.010845588296048028,0.010886881648749593,0.0
P,15,3.5,0.75,3000,-0.025063849529939945,0.005366242093071622,0.0059944386463310914,-8.673617379884035e-19
P,15,3.5,1.0,3000,-0.034128488826555746,0.002640995921023326,0.003805749670607666,-4.336808689942018e-19
P,15,4.0,0.1,3000,-0.007246433178828435,0.014236622394370655,0.014289133188185884,3.469446951953614e-18
P,15,4.0,0.25,3000,-0.04050077227300547,0.011646408029839286,0.013286720584549135,0.0
P,15,4.0,0.5,3000,-0.032102289917354934,0.0068681126778161105,0.00789866969575402,8.673617379884035e-19
P,15,4.0,0.75,3000,-0.018296546620145515,0.0032398663843036506,0.003574630002526809,0.0
P,15,4.0,1.0,3000,-0.02912570994615332,0.001780032011165968,0.0026283389910334225,0.0
P,15,4.5,0.1,3000,-0.029549682261337997,0.009327594622187928,0.010200778343933962,0.0
P,15,4.5,0.25,3000,-0.06736240810542343,0.006183312777887662,0.010721006803649277,-1.734723475976807e-18
P,15,4.5,0.5,3000,-0.041964790639640946,0.004465035235889649,0.006226078889318546,8.673617379884035e-19
P,15,4.5,0.75,3000,-0.03559008273568422,0.0037180907497613176,0.004984744738894166,0.0
P,15,4.5,1.0,3000,-0.0355117423649505,0.001092821418543734,0.0023539052643383545,2.168404344971009e-19
P,15,5.0,0.1,3000,-0.05965825048769814,0.006625919632939594,0.01018502648419253,0.0
P,15,5.0,0.25,3000,-0.07054651758583229,0.005971966650612719,0.010948777794100863,0.0
P,15,5.0,0.5,3000,-0.06271948146238719,0.00355610579298386,0.0074898391478945905,4.336808689942018e-19
P,15,5.0,0.75,3000,-0.04139557732359511,0.00250844716945886,0.004222040991412602,0.0
P,15,5.0,1.0,3000,-0.04827712051200918,0.0011403456222315313,0.003471025987162589,2.168404344971009e-19
P,20,1.5,0.1,3000,0.1758927644314972,0.07206472059230883,0.103002985171663,0.0
P,20,1.5,0.25,3000,0.025365991244978736,0.03566106858798157,0.03630450209982191,0.0
P,20,1.5,0.5,3000,0.015472279458956715,0.017072601311253845,0.0173119927429099,0.0
P,20,1.5,0.75,3000,-0.0008478251213948624,0.0073255693060932,0.0073262881135296685,0.0
P,20,1.5,1.0,3000,-0.02262954778794089,0.0030099398928764825,0.0035220363259631828,0.0
P,20,2.0,0.1,3000,0.05271639449311048,0.059779741822199486,0.06255876007055274,0.0
P,20,2.0,0.25,3000,-0.028509828785254893,0.02811454930462298,0.028927359641987525,-3.469446951953614e-18
P,20,2.0,0.5,3000,-0.007935216385812965,0.01729125439656728,0.017354222055656954,-3.469446951953614e-18
P,20,2.0,0.75,3000,-0.013163792170621946,0.00841009444134689,0.008583379865658216,-1.734723475976807e-18
P,20,2.0,1.0,3000,-0.012731468420364005,0.004545412796206172,0.004707503084344897,0.0
P,20,2.5,0.1,3000,0.03163253419173149,0.035721808283579425,0.03672242550297049,0.0
P,20,2.5,0.25,3000,-0.0214235047904743,0.024583343289974247,0.025042309847481722,0.0
P,20,2.5,0.5,3000,-0.011908325992288155,0.012380802937501942,0.012522611165440546,-1.734723475976807e-18
P,20,2.5,0.75,3000,-0.008282820196990845,0.007690040583458452,0.0077586456938741315,0.0
P,20,2.5,1.0,3000,-0.017951960999280345,0.003434243925738252,0.0037565168294579343,-4.336808689942018e-19
P,20,3.0,0.1,3000,0.05862779724410696,0.029163879268927606,0.03260109787862372,-3.469446951953614e-18
