n,fold,seed,route,reliability,mse
7,3,12011,QP,0.95,0.041417844425554004
7,3,12011,QP,0.99,0.07127743558602509
7,3,12011,QCP,0.9,0.02898026680789737
7,3,12011,QCP,0.95,0.040948978236749776
7,3,12011,QCP,0.99,0.06890988348230397
7,4,42,P,0.9,0.02912630944881777
7,4,42,P,0.95,0.04228163182290631
7,4,42,P,0.99,0.0755888720733753
7,4,42,Q,0.9,0.0455980598336674
7,4,42,Q,0.95,0.04109136832696681
7,4,42,Q,0.99,0.16607053932206658
7,4,42,QP,0.9,0.028240060542174397
7,4,42,QP,0.95,0.039824835171694134
7,4,42,QP,0.99,0.06806954437225966
7,4,42,QCP,0.9,0.028458085209008815
7,4,42,QCP,0.95,0.03981974126195098
7,4,42,QCP,0.99,0.06715514902725558
7,4,2026,P,0.9,0.0297520046804979
7,4,2026,P,0.95,0.04307172320527026
7,4,2026,P,0.99,0.0770062966011716
7,4,2026,Q,0.9,0.048057637148190314
7,4,2026,Q,0.95,0.04129301698525738
7,4,2026,Q,0.99,0.15499285263162232
7,4,2026,QP,0.9,0.02839514675189801
7,4,2026,QP,0.95,0.039877202839571746
7,4,2026,QP,0.99,0.06612115939076811
7,4,2026,QCP,0.9,0.028197098161254198
7,4,2026,QCP,0.95,0.03994392548787886
7,4,2026,QCP,0.99,0.06793490541448906
7,4,3407,P,0.9,0.02938296992376022
7,4,3407,P,0.95,0.04234817658587495
7,4,3407,P,0.99,0.07472146584125591
7,4,3407,Q,0.9,0.04807368664656392
7,4,3407,Q,0.95,0.04115226341083891
7,4,3407,Q,0.99,0.15613072535089104
7,4,3407,QP,0.9,0.028260895250909492
7,4,3407,QP,0.95,0.03996613899162089
7,4,3407,QP,0.99,0.0677702047808874
7,4,3407,QCP,0.9,0.028128227722408857
7,4,3407,QCP,0.95,0.03967171882679026
7,4,3407,QCP,0.99,0.06703583481276938
7,4,17,P,0.9,0.029259045272644973
7,4,17,P,0.95,0.04193801229270699
7,4,17,P,0.99,0.07333871836600696
7,4,17,Q,0.9,0.047447426569095195
7,4,17,Q,0.95,0.0418212713863489
7,4,17,Q,0.99,0.1623677557243946
7,4,17,QP,0.9,0.028096128995151227
7,4,17,QP,0.95,0.03956565745486136
7,4,17,QP,0.99,0.06674922290374505
7,4,17,QCP,0.9,0.02829762197767534
7,4,17,QCP,0.95,0.039550458892223986
7,4,17,QCP,0.99,0.06619509181609272
7,4,73,P,0.9,0.02921180666303624
7,4,73,P,0.95,0.04215925901762848
7,4,73,P,0.99,0.07455560480028736
7,4,73,Q,0.9,0.04802459015633233
7,4,73,Q,0.95,0.04136741650790773
7,4,73,Q,0.99,0.15904431626608997
7,4,73,QP,0.9,0.02806108219138308
7,4,73,QP,0.95,0.03970953702752003
7,4,73,QP,0.99,0.06729738486990755
7,4,73,QCP,0.9,0.028334922375158295
7,4,73,QCP,0.95,0.03981054323767038
7,4,73,QCP,0.99,0.06726727488079903
7,4,314,P,0.9,0.029206698452394982
7,4,314,P,0.95,0.04223035735696617
7,4,314,P,0.99,0.0751273671540339
7,4,314,Q,0.9,0.04817055151560872
7,4,314,Q,0.95,0.041481652884870976
7,4,314,Q,0.99,0.15801336270352184
7,4,314,QP,0.9,0.028318668090034926
7,4,314,QP,0.95,0.039803972316195126
7,4,314,QP,0.99,0.06621345032332918
7,4,314,QCP,0.9,0.028358931144609016
7,4,314,QCP,0.95,0.03984479212798804
7,4,314,QCP,0.99,0.06697231012849217
7,4,2718,P,0.9,0.02908992374763453
7,4,2718,P,0.95,0.04188566035039029
7,4,2718,P,0.99,0.07401142595535912
7,4,2718,Q,0.9,0.04491010009624875
7,4,2718,Q,0.95,0.04062208101160901
7,4,2718,Q,0.99,0.16452753748367352
7,4,2718,QP,0.9,0.02841153837259944
7,4,2718,QP,0.95,0.0398872454170134
7,4,2718,QP,0.99,0.06725003198471381
7,4,2718,QCP,0.9,0.028287423702784267
7,4,2718,QCP,0.95,0.03980710548761536
7,4,2718,QCP,0.99,0.06658411293626058
7,4,4099,P,0.9,0.028932683529406897
7,4,4099,P,0.95,0.04179693465670805
7,4,4099,P,0.99,0.07428902588591725
7,4,4099,Q,0.9,0.04643793519307043
7,4,4099,Q,0.95,0.04118499930726989
7,4,4099,Q,0.99,0.16146896237862546
7,4,4099,QP,0.9,0.028429599531167447
7,4,4099,QP,0.95,0.040019277732326976
7,4,4099,QP,0.99,0.06756671948694168
7,4,4099,QCP,0.9,0.028689188704600462
7,4,4099,QCP,0.95,0.04013711535174647
7,4,4099,QCP,0.99,0.06692932861284975
7,4,8128,P,0.9,0.028924799628485053
7,4,8128,P,0.95,0.04161640669279063
7,4,8128,P,0.99,0.07312454571437696
7,4,8128,Q,0.9,0.04532770692718002
7,4,8128,Q,0.95,0.04117327102113181
7,4,8128,Q,0.99,0.16711854581986263
7,4,8128,QP,0.9,0.028347586350154958
7,4,8128,QP,0.95,0.03986299802130623
7,4,8128,QP,0.99,0.06694901607490214
7,4,8128,QCP,0.9,0.02835208971475865
7,4,8128,QCP,0.95,0.03982739961181048
7,4,8128,QCP,0.99,0.06685774632557291
7,4,12011,P,0.9,0.02871002697135527
7,4,12011,P,0.95,0.04130947782710591
7,4,12011,P,0.99,0.07250611690827952
7,4,12011,Q,0.9,0.0453212984970207
7,4,12011,Q,0.95,0.04140502348143588
7,4,12011,Q,0.99,0.16736283230708304
7,4,12011,QP,0.9,0.028069510213025724
7,4,12011,QP,0.95,0.03973638900455312
7,4,12011,QP,0.99,0.06716433332637675
7,4,12011,QCP,0.9,0.02822174974429875
7,4,12011,QCP,0.95,0.03971356236987393
7,4,12011,QCP,0.99,0.06659462215618923
7,5,42,P,0.9,0.0287837999789663
7,5,42,P,0.95,0.04165674494087479
7,5,42,P,0.99,0.07386061518223648
7,5,42,Q,0.9,0.04601023658675725
7,5,42,Q,0.95,0.04081773386921298
7,5,42,Q,0.99,0.1606021057480228
7,5,42,QP,0.9,0.02725983282960102
7,5,42,QP,0.95,0.03844077835286414
7,5,42,QP,0.99,0.06468205058153555
7,5,42,QCP,0.9,0.02744454263707762
7,5,42,QCP,0.95,0.03848549807220686
7,5,42,QCP,0.99,0.06391151960895455
7,5,2026,P,0.9,0.029070693335694363
7,5,2026,P,0.95,0.041988496295273355
7,5,2026,P,0.99,0.07449602230993198
7,5,2026,Q,0.9,0.04730709836838815
7,5,2026,Q,0.95,0.04013280149821224
7,5,2026,Q,0.99,0.1512065634939882
7,5,2026,QP,0.9,0.02742924107601135
7,5,2026,QP,0.95,0.038376441278306986
7,5,2026,QP,0.99,0.0639182719044252
7,5,2026,QCP,0.9,0.027458146405186536
7,5,2026,QCP,0.95,0.0384999204809372
7,5,2026,QCP,0.99,0.06436506727874072
7,5,3407,P,0.9,0.02905226057411109
7,5,3407,P,0.95,0.04186793798074305
7,5,3407,P,0.99,0.07400923722385479
7,5,3407,Q,0.9,0.0470912183833115
7,5,3407,Q,0.95,0.04015144621029716
7,5,3407,Q,0.99,0.1531221253180475
7,5,3407,QP,0.9,0.027380934260918467
7,5,3407,QP,0.95,0.03833153472973616
7,5,3407,QP,0.99,0.06333637452219278
7,5,3407,QCP,0.9,0.02757575633766925
7,5,3407,QCP,0.95,0.0384250213810735
7,5,3407,QCP,0.99,0.06362915435711973
7,5,17,P,0.9,0.029066528103746745
7,5,17,P,0.95,0.04185323919561495
7,5,17,P,0.99,0.07385433761495594
7,5,17,Q,0.9,0.04879262957403692
7,5,17,Q,0.95,0.0402914018945536
7,5,17,Q,0.99,0.14857439162912817
7,5,17,QP,0.9,0.02741761856240159
7,5,17,QP,0.95,0.03844168485923233
7,5,17,QP,0.99,0.06468538782603994
7,5,17,QCP,0.9,0.027415761204622982
