beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
2.0,1000,1000,30,106,2.409545,1027.255654,988.527399,0.409545,27.255654,-11.472601,0.961006
2.0,1000,1000,30,107,3.469944,2186.876474,3.2e-05,1.469944,1186.876474,-999.999968,0.811015
2.0,1000,1000,30,108,2.540261,895.633177,1030.80955,0.540261,-104.366823,30.80955,0.975264
2.0,1000,1000,30,109,2.120762,1004.834812,923.61396,0.120762,4.834812,-76.38604,0.973318
2.0,1000,1000,30,110,1.940896,927.180709,1147.252886,-0.059104,-72.819291,147.252886,0.977355
2.0,1000,1000,30,111,1.965116,947.311973,1076.714388,-0.034884,-52.688027,76.714388,0.95424
2.0,1000,1000,30,112,1.964166,888.74681,1078.9978,-0.035834,-111.25319,78.9978,0.94315
2.0,1000,1000,30,113,3.848514,2106.685103,3e-06,1.848514,1106.685103,-999.999997,0.858743
2.0,1000,1000,30,114,3.832308,1898.144569,4e-06,1.832308,898.144569,-999.999996,0.856696
2.0,1000,1000,30,115,2.190666,1022.647524,1070.133807,0.190666,22.647524,70.133807,0.89588
2.0,1000,1000,30,116,1.905177,1019.473116,1098.06064,-0.094823,19.473116,98.06064,0.949154
2.0,1000,1000,30,117,3.984583,2196.821121,9.8e-05,1.984583,1196.821121,-999.999902,0.888875
2.0,1000,1000,30,118,2.115586,1004.48836,904.340854,0.115586,4.48836,-95.659146,0.969325
2.0,1000,1000,30,119,2.83717,1343.58043,704.871011,0.83717,343.58043,-295.128989,0.922214
2.0,1000,1000,30,120,2.012684,986.800716,976.532376,0.012684,-13.199284,-23.467624,0.961833
2.0,1000,1000,30,121,2.50753,1225.1591,877.424086,0.50753,225.1591,-122.575914,0.963536
2.0,1000,1000,30,122,2.44425,959.839014,1019.206094,0.44425,-40.160986,19.206094,0.978134
2.0,1000,1000,30,123,2.434567,923.140402,988.107048,0.434567,-76.859598,-11.892952,0.966539
2.0,1000,1000,30,124,1.842796,1119.979026,935.081183,-0.157204,119.979026,-64.918817,0.911104
2.0,1000,1000,30,125,1.547806,678.62507,1211.451948,-0.452194,-321.37493,211.451948,0.78883
2.0,1000,1000,30,126,2.050161,924.394614,964.948468,0.050161,-75.605386,-35.051532,0.980288
2.0,1000,1000,30,127,1.714777,867.547443,1059.042502,-0.285223,-132.452557,59.042502,0.979108
2.0,1000,1000,30,128,2.314767,1158.81385,875.964261,0.314767,158.81385,-124.035739,0.958616
