beta_true,eta_true,gamma,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,5000,1000,10,135,1.817028,6980.780867,1e-06,0.317028,1980.780867,-999.999999,0.844382
1.5,5000,1000,10,136,1.390416,5465.767004,1875.82675,-0.109584,465.767004,875.82675,0.942818
1.5,5000,1000,10,137,2.226599,6953.195144,3.9e-05,0.726599,1953.195144,-999.999961,0.886821
1.5,5000,1000,10,138,1.349206,4878.423701,1161.102948,-0.150794,-121.576299,161.102948,0.919801
1.5,5000,1000,10,139,2.980314,5322.788637,6e-06,1.480314,322.788637,-999.999994,0.816751
1.5,5000,1000,10,140,3.496378,7813.155719,0.000317,1.996378,2813.155719,-999.999683,0.825374
1.5,5000,1000,10,141,2.044314,6117.657258,254.403771,0.544314,1117.657258,-745.596229,0.894896
1.5,5000,1000,10,142,1.699294,5344.708206,4.2e-05,0.199294,344.708206,-999.999958,0.746137
1.5,5000,1000,10,143,2.311153,9224.405297,8.2e-05,0.811153,4224.405297,-999.999918,0.936933
1.5,5000,1000,10,144,1.860846,6402.451056,1e-06,0.360846,1402.451056,-999.999999,0.832607
1.5,5000,1000,10,145,2.208091,4398.900151,2.9e-05,0.708091,-601.099849,-999.999971,0.929795
1.5,5000,1000,10,146,1.226114,4073.404508,1426.182246,-0.273886,-926.595492,426.182246,0.894667
1.5,5000,1000,10,147,2.135475,5073.264771,3e-06,0.635475,73.264771,-999.999997,0.896695
1.5,5000,1000,10,148,2.337427,6500.71558,8e-06,0.837427,1500.71558,-999.999992,0.895123
1.5,5000,1000,10,149,2.649759,5415.081934,2.6e-05,1.149759,415.081934,-999.999974,0.970931
1.5,5000,1000,10,150,1.663828,4041.566292,517.009669,0.163828,-958.433708,-482.990331,0.952879
1.5,5000,1000,10,151,2.31754,5879.272674,6e-06,0.81754,879.272674,-999.999994,0.892645
1.5,5000,1000,10,152,1.6,6271.993955,11.562784,0.1,1271.993955,-988.437216,0.917061
1.5,5000,1000,10,153,2.229716,6025.782694,1030.019872,0.729716,1025.782694,30.019872,0.912334
1.5,5000,1000,10,154,1.469859,4709.260882,695.951407,-0.030141,-290.739118,-304.048593,0.9227
1.5,5000,1000,10,155,1.689811,6058.627058,1054.735444,0.189811,1058.627058,54.735444,0.920011
1.5,5000,1000,10,156,1.841052,8753.651946,2e-06,0.341052,3753.651946,-999.999998,0.845057
1.5,5000,1000,10,157,1.839519,5448.591358,1.8e-05,0.339519,448.591358,-999.999982,0.922296
1.5,5000,1000,10,158,2.240829,5373.636114,0.00013,0.740829,373.636114,-999.99987,0.939184
1.5,5000,1000,10,159,1.4,6195.048909,78.049335,-0.1,1195.048909,-921.950665,0.929494
1.5,5000,1000,10,160,1.527329,5100.885149,873.562713,0.027329,100.885149,-126.437287,0.934561
1.5,5000,1000,10,161,1.744444,3230.848353,1686.162061,0.244444,-1769.151647,686.162061,0.937027
1.5,5000,1000,10,162,2.662713,7202.661151,3.4e-05,1.162713,2202.661151,-999.999966,0.742125
1.5,5000,1000,10,163,1.821286,5564.259465,82.496485,0.321286,564.259465,-917.503515,0.944765
