n,beta,gamma_over_eta,qcp_vs_q_relative_rmsre_improvement,p_rmsre,p_signed_relative_bias,p_relative_error_sd,p_mae,p_mdape,p_p95_absolute_error,p_within_10pct,p_within_20pct,p_q025_signed_error,p_q975_signed_error,q_rmsre,q_signed_relative_bias,q_relative_error_sd,q_mae,q_mdape,q_p95_absolute_error,q_within_10pct,q_within_20pct,q_q025_signed_error,q_q975_signed_error,qcp_rmsre,qcp_signed_relative_bias,qcp_relative_error_sd,qcp_mae,qcp_mdape,qcp_p95_absolute_error,qcp_within_10pct,qcp_within_20pct,qcp_q025_signed_error,qcp_q975_signed_error
7,4.5,0.25,0.018468527438511715,0.16450658980947241,-0.12188823448393184,0.11047930297178768,0.14016741796854573,0.13218382745981216,0.29426938444375983,0.36533333333333334,0.7666666666666667,-0.33602183386683465,0.10539149977266789,0.17635166972448837,-0.1381094836813912,0.10966167029493291,0.15401057357333775,0.14788933843374252,0.30905322581529615,0.28933333333333333,0.7283333333333334,-0.3408299513161182,0.10701708551496274,0.1730947140733543,-0.13534589101971262,0.10790398428332643,0.15047983823175795,0.14613613486289978,0.30041280090808864,0.303,0.7363333333333333,-0.3346211276948452,0.09336378779262307
7,4.5,0.5,-0.00034438350662037556,0.14532361961374393,-0.09913867081049527,0.10625666269730284,0.11730278115924132,0.09781820699572563,0.27535284161567686,0.5066666666666667,0.8283333333333334,-0.3183096870779991,0.09000520575791598,0.15620503872752872,-0.10097630397556047,0.11917969692570947,0.12267912660321174,0.09686017408967018,0.30822939425706863,0.51,0.8033333333333333,-0.35854158103466033,0.09840398188680413,0.15625883316651748,-0.1036339245204581,0.11694799113729805,0.12449510718609479,0.10088363662362099,0.2997087448835371,0.49766666666666665,0.8036666666666666,-0.343361409753561,0.09909156914800406
7,4.5,0.75,0.016023419532145,0.10155329875349609,-0.06248773877241668,0.08005220166133498,0.08268918616137913,0.07461956515908241,0.19374794289469713,0.6483333333333333,0.956,-0.21297827251255513,0.09697468429803852,0.10167157770065433,-0.0583678586729402,0.0832484401419983,0.08193672911170749,0.06946345046162605,0.19708294942975044,0.6636666666666666,0.9543333333333334,-0.21832132451236247,0.09985045790672308,0.10004245135666166,-0.058756970804795854,0.08096981199987056,0.08067686879034348,0.06944466009736061,0.19422717615962026,0.673,0.9613333333333334,-0.21241559758782386,0.09480476081371315
7,4.5,1.0,0.021792009541660797,0.09758573393084231,-0.08472289936337135,0.04842525983704372,0.084806863303922,0.07776178792119026,0.1852463148534298,0.6766666666666666,0.9706666666666667,-0.20592833273112773,-0.011673454148694865,0.09791836210760697,-0.07951059560929813,0.05714954788702272,0.08182000114387483,0.07514293491840363,0.19253238365054123,0.6786666666666666,0.9586666666666667,-0.21224711872637272,0.02095524282194676,0.0957845242262542,-0.08199519692689743,0.049512248607482864,0.08236032094573117,0.07487612590193748,0.18242921158671374,0.692,0.9716666666666667,-0.20368121191859245,-0.0035728820075746604
7,5.0,0.1,0.04848147512333589,0.14941329509928727,-0.10908869247366723,0.10209794281381168,0.12279637427398363,0.11354301869869232,0.28657397180795663,0.462,0.8316666666666667,-0.32688060998916624,0.07326646596193315,0.14317246529832586,-0.10879611021562474,0.09306858342937188,0.11844076412744349,0.10932082310318947,0.2654413223266599,0.46166666666666667,0.8453333333333334,-0.31049290001392366,0.0581147624179721,0.1362312529836184,-0.10465755649808246,0.08721095204925419,0.11378116567490239,0.10758830606937408,0.257681955397129,0.4673333333333333,0.8673333333333333,-0.2817656651139259,0.04895004257559779
7,5.0,0.25,0.01432304863790778,0.1754634905932343,-0.14718290329103,0.09552292661966198,0.1516576293242318,0.14562129974365234,0.3027092784643171,0.311,0.6906666666666667,-0.3407180026173592,0.0350087206810713,0.18702529779165003,-0.16257365321377196,0.09245685098889962,0.16606324196359976,0.16432371735572815,0.3115071192383766,0.23366666666666666,0.6703333333333333,-0.3534561090171337,0.016325322631746585,0.18434652535486104,-0.15917709939309863,0.09298544208213472,0.1626370918311101,0.16229788213968277,0.3042998626828193,0.266,0.6626666666666666,-0.3487066440284252,0.022990478063002244
7,5.0,0.5,-0.0084826848404396,0.14225069999637208,-0.10827161883773169,0.09226330908717073,0.11681979925376709,0.10185513645410538,0.27439299076795576,0.4876666666666667,0.8376666666666667,-0.2997555658221245,0.05483584636822343,0.1481884537731034,-0.10746152432838184,0.10203841737641664,0.11719729427701289,0.09721514955163002,0.30296511948108656,0.5133333333333333,0.8113333333333334,-0.3258398659527302,0.060922288242727524,0.1494454897234527,-0.11001981666210296,0.10114145708026881,0.12028958631977783,0.10169805213809013,0.29693684130907055,0.49033333333333334,0.8106666666666666,-0.32482137754559515,0.06251084003597498
7,5.0,0.75,0.007070374841627955,0.10249896920044291,-0.07261273145259717,0.07234244893661226,0.08315939544043552,0.07375204563140869,0.20703768208622925,0.6636666666666666,0.942,-0.2202904611825943,0.06010783631354574,0.10010490643169725,-0.0666273817714482,0.07471133976834142,0.08012857062200358,0.06658218801021576,0.199719151109457,0.685,0.9506666666666667,-0.21506133936345578,0.06536914929747581,0.09939712721973906,-0.0685386996075625,0.0719877458713725,0.0799804694660185,0.06928057596087456,0.202638117223978,0.6823333333333333,0.946,-0.21762316152453423,0.059824529569596156
7,5.0,1.0,0.0006887472716835196,0.1017772965771506,-0.09277090477958942,0.04185901724753728,0.09277090477958942,0.08591561019420624,0.17032791078090626,0.6256666666666667,0.98,-0.19546427242457867,-0.03039772068150341,0.10015900434928095,-0.08653941757862534,0.05042574101975688,0.08711149140199026,0.08373888954520226,0.17576397880911826,0.632,0.977,-0.19565202519297598,-0.0019721612741704863,0.10009002010830084,-0.09058540693724838,0.042571072047731875,0.09062125902196082,0.08441481366753578,0.16988995000720014,0.634,0.9826666666666667,-0.1927514921873808,-0.023653421876952036
10,1.5,0.1,0.013692806802464718,0.5376577314749486,0.3324476466498072,0.42255697657451213,0.38352697357793475,0.25786787271499634,1.1697622776031487,0.23266666666666666,0.41233333333333333,-0.2261185884475708,1.4468983620405202,0.4571293467971449,0.29111002823057847,0.3524516862873211,0.33237601005356493,0.2508808821439743,0.9568976104259488,0.244,0.43833333333333335,-0.18885394111275672,1.178978949785233,0.4508699629677147,0.2898506280827011,0.34535537770037994,0.31853907873749027,0.22499042004346848,1.004051673412322,0.287,0.4736666666666667,-0.14160212203860284,1.2135266840457917
