method,n,repeat_id,scale,scale_factor,beta_hat,eta_hat,gamma_hat,e_beta,e_eta,e_gamma,L_i,converged
wmle,10,0,display,1000.000000000000,3.207137946561,2315.728383783964,0.000004814585,-0.998396431027,1.315728383784,-0.999999995185,3.727936603752,True
wmle,10,1,norm,1.000000000000,3.940398766159,2.629070514276,0.000000183531,0.970199383080,1.629070514276,-0.999999816469,4.595157216349,True
wmle,10,1,display,1000.000000000000,3.940230115623,2629.057372383334,0.000143963112,-0.998029884942,1.629057372383,-0.999999856037,4.649891285828,True
wmle,10,2,norm,1.000000000000,1.737511284016,1.033525103607,1.068589814005,-0.131244357992,0.033525103607,0.068589814005,0.023053576662,True
wmle,10,2,display,1000.000000000000,1.737486806705,1033.516449653699,1068.596351016659,-0.999131256597,0.033516449654,0.068596351017,1.004092079679,True
wmle,10,3,norm,1.000000000000,4.182804237402,2.195114619160,0.000001867565,1.091402118701,1.195114619160,-0.999998132435,3.619453802508,True
wmle,10,3,display,1000.000000000000,4.182685881103,2195.109730495822,0.000079594785,-0.997908657059,1.195109730496,-0.999999920405,3.424108796570,True
wmle,10,4,norm,1.000000000000,2.744278937703,1.091593641469,1.003962689860,0.372139468852,0.091593641469,0.003962689860,0.146892882346,True
wmle,10,4,display,1000.000000000000,2.744277847613,1091.594962722888,1003.961208908316,-0.998627861076,0.091594962723,0.003961208908,1.005662933290,True
wmle,20,0,norm,1.000000000000,1.903536075310,0.931242832405,0.993602644827,-0.048231962345,-0.068757167595,-0.006397355173,0.007094796441,True
wmle,20,0,display,1000.000000000000,1.903512020127,931.235681651623,993.608128061839,-0.999048243990,-0.068764318348,-0.006391871938,1.002866781324,True
wmle,20,1,norm,1.000000000000,1.804342551408,0.954278619246,0.949881865146,-0.097828724296,-0.045721380754,-0.050118134854,0.014172731397,True
wmle,20,1,display,1000.000000000000,1.804340639299,954.277776170601,949.882558480929,-0.999097829680,-0.045722223829,-0.050117441519,1.002798752968,True
wmle,20,2,norm,1.000000000000,1.934576422265,1.020745680122,1.103708516391,-0.032711788868,0.020745680122,0.103708516391,0.012255900747,True
wmle,20,2,display,1000.000000000000,1.934629088113,1020.764319910439,1103.693399996450,-0.999032685456,0.020764319910,0.103693399996,1.009249784793,True
wmle,20,3,norm,1.000000000000,2.112976333431,0.972085101059,1.074241004648,0.056488166716,-0.027914898941,0.074241004648,0.009481881333,True
