sample_id,gamma,objective,beta,eta
Sample-1-3,1078.7526052104208,8.591679871049933e-09,0.9997697701174115,620.7123048386223
Sample-1-3,1081.2789579158316,1.470630313870052e-09,0.9997816838408834,618.1875952493048
Sample-1-3,1082.542134268537,3.077332596916355e-10,0.9997832775920813,616.924576795329
Sample-1-3,1083.8053106212424,2.0907104416852465e-11,0.9997848635100677,615.6615580615239
Sample-1-3,1086.3316633266531,8.468707853932127e-09,0.9997880305412639,613.1355227813629
Sample-1-3,1090.1211923847695,3.445852287347175e-09,0.9997927646915326,609.3464714209177
Sample-1-3,1091.384368737475,4.179666593948431e-09,0.9997943254211972,608.0834533316935
Sample-1-3,1092.6475450901803,3.663509860057923e-11,0.999795903549228,606.8204383098471
Sample-1-3,1095.173897795591,8.695894507265321e-09,0.9997990211424604,604.2944059910714
Sample-1-3,1096.4370741482965,5.479051727835631e-09,0.9998005804662813,603.0313904287922
Sample-1-3,1100.2266032064126,3.8630091687323967e-10,0.9998023732071627,599.2418889447902
Sample-1-3,1101.4897795591182,9.338232300870174e-09,0.9998042501300096,597.978927123132
Sample-1-3,1102.7529559118236,7.60470398675564e-11,0.9998061094072037,596.7159619902071
Sample-1-3,1106.5424849699398,9.161517833131344e-09,0.9998116736895499,592.927074117805
Sample-1-3,1107.8056613226452,6.667085452428468e-09,0.9998135117801711,591.6641105175707
Sample-1-3,1109.0688376753506,2.2493612900032975e-09,0.9998153499369297,590.4011478681768
Sample-1-3,1110.332014028056,7.369269622965139e-09,0.9998171731789094,589.1381847038742
Sample-1-3,1111.5951903807613,2.935136235080425e-11,0.9998189926411669,587.8752209770674
Sample-1-3,1112.858366733467,5.79240429574154e-10,0.9998208735755112,586.6122691153668
Sample-1-3,1114.1215430861723,9.0518557609024e-09,0.9998227598024207,585.3493199643509
Sample-1-3,1117.9110721442885,2.731928341480252e-09,0.9998283584173716,581.5604671413589
Sample-1-3,1119.1742484969939,8.173367846409357e-09,0.9998302047783556,580.2975159431851
Sample-1-3,1124.2269539078156,3.993151341812225e-11,0.999837507679549,575.2457069806042
Sample-1-3,1128.0164829659318,9.624224072448924e-09,0.9998428875309617,571.4568479732735
Sample-1-3,1129.2796593186372,7.425794778235552e-09,0.9998446531237295,570.1938922768064
Sample-1-3,1131.806012024048,9.524846013606947e-09,0.9998481615634531,567.6679812032171
Sample-1-3,1133.0691883767533,6.519579150089834e-11,0.9998498946275413,566.4050230210245
Sample-1-3,1134.3323647294587,7.656699878072146e-11,0.9998516180395979,565.1420651808257
Sample-1-3,1136.8587174348695,1.0533006068204603e-08,0.9998550322588896,562.6161484078534
Sample-1-3,1138.1218937875751,1.0205440350517228e-08,0.9998567176664257,561.353187645176
Sample-1-3,1140.648246492986,1.0722655234286218e-08,0.999860062246387,558.827265322535
Sample-1-3,1141.9114228456913,1.0380906452072411e-08,0.9998617154880232,557.5643026240534
Sample-1-3,1143.1745991983967,4.6267293734312057e-11,0.9998633592312131,556.3013386845345
Sample-1-3,1145.7009519038074,5.5952351037168255e-09,0.9998666071726363,553.7754096253898
Sample-1-3,1148.2273046092182,9.993308214495617e-09,0.999869807216869,551.2494768828477
Sample-1-3,1149.4904809619238,1.0951247714436133e-08,0.9998713896722942,549.9865091229393
Sample-1-3,1152.0168336673346,9.678490278235705e-09,0.999874525487524,547.4605718264443
Sample-1-3,1154.5431863727454,2.1449948070805013e-08,0.9998776140117196,544.9346319491922
Sample-1-3,1155.8063627254508,9.842012102355283e-09,0.9998791553502457,543.6716619750517
Sample-1-3,1160.8590681362725,3.2705606090662094e-09,0.9998843343249315,538.6196161028182
Sample-1-3,1162.1222444889777,1.0551207740632992e-08,0.9998866571791597,537.3567978951137
Sample-1-3,1164.6485971943887,8.699447966495745e-09,0.9998895927174472,534.8308487922459
Sample-1-3,1165.911773547094,7.121366808288078e-09,0.999891044353588,533.5678730670006
Sample-1-3,1168.4381262525048,4.453765923499286e-09,0.9998939703293327,531.0419297161602
Sample-1-3,1169.7013026052105,3.5918722048587388e-09,0.9998955581192429,529.7789835808538
Sample-1-3,1172.2276553106212,1.232380828606488e-08,0.9998987010249183,527.2530903603076
Sample-1-3,1174.754008016032,4.378756765055329e-09,0.9999018343227786,524.7272000427388
Sample-1-3,1176.0171843687374,1.8413039972950407e-11,0.9999033890789447,523.464254856441
Sample-1-3,1177.2803607214428,1.6561200982096423e-08,0.9999049402556304,522.2013120803578
Sample-1-3,1178.5435370741482,5.276253212550125e-10,0.9999064907335324,520.9383682060762
Sample-1-3,1181.0698897795592,1.4429102353317059e-09,0.9999095790295516,518.4124851947961
Sample-1-3,1182.3330661322643,2.463521221870643e-12,0.9999111081715818,517.149543283103
Sample-1-3,1184.859418837675,1.647986261492959e-08,0.9999141751161789,514.6236669831121
Sample-1-3,1186.1225951903807,4.450346612495243e-13,0.9999184455953272,513.3612709108561
Sample-1-3,1187.385771543086,1.1944849897551051e-08,0.9999196366305375,512.0982712040861
Sample-1-3,1188.6489478957915,3.739813574652525e-10,0.9999208293426369,510.83527130933686
Sample-1-3,1201.2807114228456,1.023138749754965e-08,0.9999339244375279,498.20559336650894
Sample-1-3,1205.0702404809617,1.4171766224579008e-08,0.9999399510072103,494.4171605362833
Sample-1-3,1206.3334168336673,1.1918838635992766e-08,0.9999411844514497,493.15419172395144
Sample-1-3,1207.5965931863725,2.2676643785809287e-09,0.9999424260500069,491.8912257082628
Sample-1-3,1210.1229458917835,8.697234959306678e-09,0.9999449188435634,489.36530244803305
Sample-1-3,1215.175651302605,2.1537056046991992e-10,0.999950230021237,484.3135456095177
Sample-1-3,1216.4388276553104,1.7951448223291156e-09,0.9999516416100749,483.05062949846035
Sample-1-3,1218.9651803607212,3.199837973527544e-11,0.99995446162269,480.52480348374354
Sample-1-3,1220.2283567134268,2.7736883669173635e-09,0.9999558729112265,479.2618938242286
Sample-1-3,1221.4915330661322,5.7623039505108956e-11,0.9999572799575335,477.9989858761824
Sample-1-3,1222.7547094188376,2.3758468445638642e-11,0.9999586844989401,476.73607947190044
Sample-1-3,1224.017885771543,6.741724122591528e-10,0.9999598274183733,475.4731168545329
Sample-1-3,1225.2810621242484,1.0387646859756454e-10,0.999961489165414,474.2102727102141
Sample-1-3,1230.33376753507,1.7080613591157097e-08,0.9999670812137346,469.15868573771206
Sample-1-3,1234.1232965931863,1.9124864574491564e-11,0.9999711228611753,465.3699851061538
Sample-1-3,1235.3864729458917,1.9482092204197864e-09,0.9999724204288406,464.1070787289154
Sample-1-3,1237.9128256513025,1.8700961866715366e-09,0.9999750174849968,461.58127469119097
Sample-1-3,1240.4391783567135,7.391058705547623e-11,0.9999775648468214,459.05546911666113
Sample-1-3,1241.7023547094186,2.588194104179056e-09,0.9999788578145523,457.79257525407735
Sample-1-3,1242.9655310621242,3.7149017253628206e-09,0.9999801149532099,456.5296754866637
Sample-1-3,1244.2287074148294,4.702716925802182e-09,0.9999813585828484,455.2667746283091
Sample-1-3,1249.2814128256512,1.9247424290485545e-08,0.999989420134574,450.2159683695932
Sample-1-3,1251.8077655310622,3.442071237098074e-08,0.9999900161267982,447.689736485881
Sample-1-3,1254.334118236473,1.7934581991440468e-08,0.9999926961833346,445.1640328922078
Sample-1-3,1256.8604709418837,4.879833550317045e-13,0.999995498443,442.6383754681863
Sample-1-3,1258.123647294589,1.6924628950180995e-08,0.9999968511555152,441.37554203416545
Sample-1-3,1260.6499999999999,2.4418920361709488e-11,0.9999979662882768,438.849469359665
Sample-1-4,632.6352705410821,2.213005616330196e-09,1.0000569722898995,1170.7844415021857
Sample-1-4,633.9005410821643,1.6359208214186476e-09,1.0000567019024333,1169.5191513209065
Sample-1-4,635.1658116232466,2.855556133352354e-09,1.0000564234278961,1168.253860623539
Sample-1-4,636.4310821643287,1.360733196991348e-11,1.000056154934545,1166.9885701518845
Sample-1-4,638.961623246493,2.457288329172719e-09,1.000055623430791,1164.4579909701754
Sample-1-4,640.2268937875751,2.7376480578339022e-09,1.0000553540946557,1163.192700810624
Sample-1-4,641.4921643286573,2.791886536417283e-09,1.0000550822479444,1161.9274103276616
Sample-1-4,642.7574348697394,2.4578904547032797e-09,1.0000548102128015,1160.6621197167462
Sample-1-4,644.0227054108217,2.7569497518863746e-09,1.0000545362956097,1159.3968289840275
Sample-1-4,649.0837875751503,2.9270495277478774e-09,1.000053418896685,1154.335663317768
Sample-1-4,650.3490581162325,9.446950760282926e-10,1.00005313931528,1153.0703714252518
Sample-1-4,654.144869739479,1.0893259623598762e-09,1.0000522569343735,1149.2744922223267
Sample-1-4,657.9406813627254,4.0128380693750347e-13,1.0000514198861048,1145.4786167663533
Sample-1-4,659.2059519038077,7.358735704934751e-10,1.000051195695395,1144.2133303799103
Sample-1-4,660.4712224448898,1.6250132879260968e-09,1.0000507297332513,1142.9480203571907
Sample-1-4,665.5323046092185,4.5692833875289954e-11,1.0000495395252642,1137.8868446169704
Sample-1-4,668.0628456913828,2.1726288150692883e-12,1.0000489396664913,1135.356256094936
Sample-1-4,669.3281162324649,3.277181676162425e-09,1.0000486503124948,1134.0909633190058
Sample-1-4,670.5933867735471,2.7847622656614995e-09,1.000048385051995,1132.8256722554054
Sample-1-4,671.8586573146292,1.619745168755286e-09,1.000047960405839,1131.5603652936813
Sample-1-4,676.9197394789579,1.0783178463746868e-09,1.0000467975201872,1126.4991904134924
Sample-1-4,678.1850100200401,1.2951498268731103e-09,1.0000464270227947,1125.2338886865625
Sample-1-4,679.4502805611222,3.002545850496499e-09,1.0000460461512752,1123.9685860924787
Sample-1-4,680.7155511022045,2.1503514411336526e-11,1.0000456926815795,1122.7032853908906
Sample-1-4,681.9808216432866,1.1113904419740638e-10,1.0000453314258524,1121.437984313209
Sample-1-4,684.5113627254509,2.234836664374005e-09,1.0000446281769473,1118.9073842676803
Sample-1-4,687.0419038076152,2.409387075095009e-09,1.000043911111355,1116.3767822046473
Sample-1-4,688.3071743486973,1.412228141333793e-11,1.0000435574376054,1115.1114811504954
Sample-1-4,689.5724448897796,1.722379088854066e-13,1.000043202326555,1113.8461802681115
Sample-1-4,690.8377154308617,3.162370920026757e-09,1.0000428440866902,1112.5808794982793
