budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,5.75,6000,6000,0.0,0.5829304595411333,-0.47385640100716775,0.04598777959653919,0.4760823585981458,-0.1885728787221289,0.1556753148576146,0.2445209502509458,0.17195029359530917,0.15427273444376643,0.2310043579260742,-0.09637275383156403,0.07916069481956668,0.1247119837176648
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,0.75,6000,6000,0.0,1.8792622399440426,1.2737406756276657,0.4714342409424064,1.3581710166890286,0.9403526674148828,0.7905117838107201,1.2284412350527127,-0.3578835239553192,0.22328878354205026,0.4218177188402081,0.10405649297470565,0.738983075950642,0.7462122514900907
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,1.0,6000,6000,0.0,1.1983751806639118,0.928253491013688,0.2588595072545824,0.9636657200681339,0.47008405303870826,0.4385552001384479,0.6428667244298607,-0.25877626248640717,0.16496426802847355,0.3068775459652426,0.12478998768889304,0.4714073358078447,0.48760678810027713
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,1.25,6000,6000,0.0,0.8214482637164461,0.6462566583244752,0.16377913401482555,0.6666834350473797,0.28342235635719387,0.30715215686968644,0.41791740309721453,-0.18448331668200604,0.1470544171985777,0.23591416147546207,0.13124555418812947,0.38664845541024023,0.40828606073919366
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,1.5,6000,6000,0.0,0.5731655949949069,0.43559066471142016,0.11773731972505845,0.45121945136895586,0.16911424157444957,0.24650918860519952,0.2989252063199377,-0.12293919424396799,0.1430136019840402,0.18858294466559486,0.12229935410201688,0.31695698228112906,0.33970887096025965
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,1.75,6000,5998,0.0003333333333332966,0.3982037997871415,0.2718174666323273,0.09483400527102345,0.28788317822963666,0.09206333018767889,0.20411262921586126,0.22389880793436784,-0.07755962580002834,0.1367805579657189,0.15723007790628513,0.09165213653047272,0.2588312768269663,0.27455887286043296
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,2.0,6000,6000,0.0,0.2887861006816719,0.1459285425111859,0.08216014898328974,0.1674643381500925,0.03850831776600497,0.18219059772413904,0.18620089205102328,-0.033843892051262064,0.13978620411988302,0.14381354315320713,0.07631866849667024,0.2323854782209343,0.24457830882424747
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,2.25,6000,6000,0.0,0.2321656882911122,0.042384279946439306,0.07142222609906504,0.0830464410944901,-0.004367133433829539,0.16850478892582804,0.16854733292080964,-0.003403830621544421,0.13633599620392636,0.13636712216112443,0.04715742467866416,0.19917787995072636,0.2046681181637227
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,2.5,6000,6000,0.0,0.22877105491511893,-0.040983052577753275,0.06556612012817181,0.0773162998418486,-0.041311228810038014,0.15851918745837223,0.16380098401045232,0.02824642901427329,0.13686812769336507,0.13974127158055089,0.029280177960770003,0.17850535482821406,0.1808761450002291
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",2.0,3.0,1.0,4500,2.75,6000,6000,0.0,0.2598493391368393,-0.11178033767995108,0.05893645765508322,0.12636364593940705,-0.06754681699239022,0.1553649288861672,0.16940132989467926,0.05667163632845068,0.1401738131160838,0.15118563908211113,0.018328022371998376,0.1673480019175939,0.1683347931680253
