estimator,family,mapping,variant,err_bin,err_low,err_high,n,mean_selected_delta,mean_loss,J1
WMLE,PG-beta,nearest_grid,one_step,q2,0.41399556702646256,0.9621631568814522,12000,0.13970000000000002,0.3473882014896559,0.5893964722405928
WMLE,PG-beta,nearest_grid,one_step,q3,0.9621734346215485,1.7022977484047228,11999,0.12553546128844073,0.4199438471383206,0.648030745519316
WMLE,PG-beta,nearest_grid,one_step,q4,1.702314675974712,3.994654040947622,12000,0.1802566666666667,0.6363272318954041,0.797701217183103
WMLE,PG-beta,nearest_grid,terminal,q1,9.769962616701378e-15,0.4139627416428526,12000,0.23808166666666672,0.3973960505692053,0.6303935679947926
WMLE,PG-beta,nearest_grid,terminal,q2,0.41399556702646256,0.9621631568814522,12000,0.2291716666666667,0.4274186635846903,0.6537726390609279
WMLE,PG-beta,nearest_grid,terminal,q3,0.9621734346215485,1.7022977484047228,11999,0.216579714976248,0.48237484162047123,0.6945321026565088
WMLE,PG-beta,nearest_grid,terminal,q4,1.702314675974712,3.994654040947622,12000,0.20704833333333336,0.5960866131479603,0.7720664564323205
WMLE,PG-beta,interpolated,one_step,q1,9.769962616701378e-15,0.4139627416428526,12000,0.15464333333333333,0.3003182533183889,0.5480130046982361
WMLE,PG-beta,interpolated,one_step,q2,0.41399556702646256,0.9621631568814522,12000,0.13749666666666668,0.3424569072129995,0.5851981777252895
WMLE,PG-beta,interpolated,one_step,q3,0.9621734346215485,1.7022977484047228,11999,0.12490374197849821,0.4206739350053288,0.6485938135731244
WMLE,PG-beta,interpolated,one_step,q4,1.702314675974712,3.994654040947622,12000,0.174825,0.6301941525846223,0.793847688530125
WMLE,PG-beta,interpolated,terminal,q1,9.769962616701378e-15,0.4139627416428526,12000,0.24103833333333333,0.4046483752828407,0.6361197806096276
WMLE,PG-beta,interpolated,terminal,q2,0.41399556702646256,0.9621631568814522,12000,0.23280000000000003,0.4324347242823343,0.6575976918164588
WMLE,PG-beta,interpolated,terminal,q3,0.9621734346215485,1.7022977484047228,11999,0.2198416534711226,0.48387308413584784,0.6956098648925616
WMLE,PG-beta,interpolated,terminal,q4,1.702314675974712,3.994654040947622,12000,0.20691166666666666,0.5889383702800091,0.7674232015517963
WMLE,PG-beta-n,nearest_grid,one_step,q1,9.769962616701378e-15,0.4139627416428526,12000,0.17422833333333335,0.2989893285124284,0.5467991665249943
WMLE,PG-beta-n,nearest_grid,one_step,q2,0.41399556702646256,0.9621631568814522,12000,0.15076166666666668,0.3462183659958963,0.5884032341820499
WMLE,PG-beta-n,nearest_grid,one_step,q3,0.9621734346215485,1.7022977484047228,11999,0.1320660055004584,0.4318137127943075,0.6571253402466743
