estimator,family,mapping,variant,true_beta,n,PG_J1,Default_J1,J1_diff
WMLE,PG-beta-n,nearest_grid,one_step,1.5,6000,0.543468070789909,0.5476987191772456,-0.004230648387336555
WMLE,PG-beta-n,nearest_grid,one_step,2.0,6000,0.5384740753749481,0.5204978344244865,0.017976240950461575
WMLE,PG-beta-n,nearest_grid,one_step,2.5,6000,0.57386195358484,0.5318700939484555,0.04199185963638452
WMLE,PG-beta-n,nearest_grid,one_step,3.0,6000,0.6215492024124729,0.5723656222089817,0.04918358020349123
WMLE,PG-beta-n,nearest_grid,one_step,3.5,6000,0.6614190432863338,0.6136100743597206,0.04780896892661324
WMLE,PG-beta-n,nearest_grid,one_step,4.0,6000,0.7169846931737616,0.6811755452846217,0.035809147889139914
WMLE,PG-beta-n,nearest_grid,one_step,4.5,6000,0.7527034251440192,0.7305429111984516,0.022160513945567617
WMLE,PG-beta-n,nearest_grid,one_step,5.0,6000,0.7984305548649003,0.789769332128496,0.00866122273640435
WMLE,PG-beta-n,nearest_grid,terminal,1.5,6000,0.5523685555051958,0.5476987191772456,0.004669836327950261
WMLE,PG-beta-n,nearest_grid,terminal,2.0,6000,0.5956709149056126,0.5204978344244865,0.07517308048112614
WMLE,PG-beta-n,nearest_grid,terminal,2.5,6000,0.6417652771416981,0.5318700939484555,0.10989518319324254
WMLE,PG-beta-n,nearest_grid,terminal,3.0,6000,0.6952606089458432,0.5723656222089817,0.1228949867368615
WMLE,PG-beta-n,nearest_grid,terminal,3.5,6000,0.7275350744669594,0.6136100743597206,0.11392500010723883
WMLE,PG-beta-n,nearest_grid,terminal,4.0,6000,0.7709288232226367,0.6811755452846217,0.08975327793801502
WMLE,PG-beta-n,nearest_grid,terminal,4.5,6000,0.795718169022945,0.7305429111984516,0.0651752578244934
WMLE,PG-beta-n,nearest_grid,terminal,5.0,6000,0.8272045981579861,0.789769332128496,0.0374352660294901
WMLE,PG-beta-n,interpolated,one_step,1.5,6000,0.5425009532845791,0.5476987191772456,-0.005197765892666406
WMLE,PG-beta-n,interpolated,one_step,2.0,6000,0.5375340726076026,0.5204978344244865,0.01703623818311606
WMLE,PG-beta-n,interpolated,one_step,2.5,6000,0.5712770792780975,0.5318700939484555,0.03940698532964193
WMLE,PG-beta-n,interpolated,one_step,3.0,6000,0.6197660009579072,0.5723656222089817,0.047400378748925553
WMLE,PG-beta-n,interpolated,one_step,3.5,6000,0.6586008109994425,0.6136100743597206,0.04499073663972186
WMLE,PG-beta-n,interpolated,one_step,4.0,6000,0.7150153553024212,0.6811755452846217,0.033839810017799565
WMLE,PG-beta-n,interpolated,one_step,4.5,6000,0.7512032992206454,0.7305429111984516,0.020660388022193832
WMLE,PG-beta-n,interpolated,one_step,5.0,6000,0.7978149388465704,0.789769332128496,0.008045606718074416
WMLE,PG-beta-n,interpolated,terminal,1.5,6000,0.5530284728729582,0.5476987191772456,0.005329753695712647
WMLE,PG-beta-n,interpolated,terminal,2.0,6000,0.5980289955957275,0.5204978344244865,0.07753116117124104
WMLE,PG-beta-n,interpolated,terminal,2.5,6000,0.6436806304748047,0.5318700939484555,0.1118105365263492
WMLE,PG-beta-n,interpolated,terminal,3.0,6000,0.6968722193649735,0.5723656222089817,0.12450659715599177
WMLE,PG-beta-n,interpolated,terminal,3.5,6000,0.7279227419404413,0.6136100743597206,0.11431266758072067
WMLE,PG-beta-n,interpolated,terminal,4.0,6000,0.7712137889975454,0.6811755452846217,0.0900382437129238
WMLE,PG-beta-n,interpolated,terminal,4.5,6000,0.7961957001362001,0.7305429111984516,0.06565278893774851
WMLE,PG-beta-n,interpolated,terminal,5.0,6000,0.8269897332214264,0.789769332128496,0.037220401092930455
WMLE,PG-full,nearest_grid,one_step,1.5,6000,0.6398804750691313,0.5476987191772456,0.09218175589188571
WMLE,PG-full,nearest_grid,one_step,2.0,6000,0.6310949527528815,0.5204978344244865,0.11059711832839503
WMLE,PG-full,nearest_grid,one_step,2.5,6000,0.6397142643235153,0.5318700939484555,0.10784417037505978
WMLE,PG-full,nearest_grid,one_step,3.0,6000,0.6516896943820395,0.5723656222089817,0.07932407217305781
WMLE,PG-full,nearest_grid,one_step,3.5,6000,0.6798961748607687,0.6136100743597206,0.0662861005010481
WMLE,PG-full,nearest_grid,one_step,4.0,6000,0.7259349776590759,0.6811755452846217,0.04475943237445423
WMLE,PG-full,nearest_grid,one_step,4.5,6000,0.757515441558546,0.7305429111984516,0.026972530360094393
WMLE,PG-full,nearest_grid,one_step,5.0,6000,0.8052617437213483,0.789769332128496,0.015492411592852307
WMLE,PG-full,nearest_grid,terminal,1.5,6000,0.6449788846102048,0.5476987191772456,0.09728016543295925
WMLE,PG-full,nearest_grid,terminal,2.0,6000,0.6940299602037078,0.5204978344244865,0.17353212577922128
WMLE,PG-full,nearest_grid,terminal,2.5,6000,0.7207695978120667,0.5318700939484555,0.1888995038636112
WMLE,PG-full,nearest_grid,terminal,3.0,6000,0.7541590724228093,0.5723656222089817,0.18179345021382765
WMLE,PG-full,nearest_grid,terminal,3.5,6000,0.7748184542781666,0.6136100743597206,0.16120837991844605
WMLE,PG-full,nearest_grid,terminal,4.0,6000,0.8018403177442683,0.6811755452846217,0.12066477245964669
WMLE,PG-full,nearest_grid,terminal,4.5,6000,0.8211634004385185,0.7305429111984516,0.09062048924006694
WMLE,PG-full,nearest_grid,terminal,5.0,6000,0.8515325730059691,0.789769332128496,0.06176324087747309
WMLE,PG-full,interpolated,one_step,1.5,6000,0.6414980503761315,0.5476987191772456,0.09379933119888595
WMLE,PG-full,interpolated,one_step,2.0,6000,0.6325963538930167,0.5204978344244865,0.11209851946853022
WMLE,PG-full,interpolated,one_step,2.5,6000,0.6344530431997136,0.5318700939484555,0.1025829492512581
WMLE,PG-full,interpolated,one_step,3.0,6000,0.6550823576062857,0.5723656222089817,0.08271673539730406
WMLE,PG-full,interpolated,one_step,3.5,6000,0.6802464679821872,0.6136100743597206,0.06663639362246665
WMLE,PG-full,interpolated,one_step,4.0,6000,0.7258367217352933,0.6811755452846217,0.04466117645067169
WMLE,PG-full,interpolated,one_step,4.5,6000,0.7580291082208731,0.7305429111984516,0.0274861970224215
WMLE,PG-full,interpolated,one_step,5.0,6000,0.8054405302325025,0.789769332128496,0.015671198104006523
WMLE,PG-full,interpolated,terminal,1.5,6000,0.6465515559676945,0.5476987191772456,0.09885283679044898
WMLE,PG-full,interpolated,terminal,2.0,6000,0.7038908890477017,0.5204978344244865,0.1833930546232152
WMLE,PG-full,interpolated,terminal,2.5,6000,0.7267540734124048,0.5318700939484555,0.1948839794639493
WMLE,PG-full,interpolated,terminal,3.0,6000,0.7625457423105866,0.5723656222089817,0.1901801201016049
WMLE,PG-full,interpolated,terminal,3.5,6000,0.7822659243557721,0.6136100743597206,0.16865584999605154
WMLE,PG-full,interpolated,terminal,4.0,6000,0.8078432397288475,0.6811755452846217,0.12666769444422588
WMLE,PG-full,interpolated,terminal,4.5,6000,0.8260934028348392,0.7305429111984516,0.09555049163638762
WMLE,PG-full,interpolated,terminal,5.0,6000,0.8570137963649458,0.789769332128496,0.06724446423644981
