estimator,family,mapping,variant,PG_J1,default_J1,l2_J1,oracle_layer,oracle_J1,oracle_gain,pg_gain,recovery_pct,PG_J1_n7,oracle_J1_n7,PG_J1_n10,oracle_J1_n10,PG_J1_n15,oracle_J1_n15,PG_J1_n20,oracle_J1_n20
MDM-0.1,PG-full,interpolated,one_step,0.6826723282585097,0.6304091999323667,0.6230353862087367,L5,0.5812940624817639,0.04911513745060281,-0.052263128326142994,-106.40941070093972,0.8031239592949249,0.7127128984938877,0.7202480058987403,0.6029732383224465,0.624193925004157,0.5161545481882651,0.5574788705169142,0.4622328729960283
MDM-0.1,PG-full,interpolated,terminal,0.7414550888003528,0.6304091999323667,0.6230353862087367,L5,0.5812940624817639,0.04911513745060281,-0.11104588886798616,-226.0930023450912,0.8636709723645745,0.7127128984938877,0.7800104518158474,0.6029732383224465,0.686576497321352,0.5161545481882651,0.6109758217070198,0.4622328729960283
WMLE,PG-beta,nearest_grid,one_step,0.652977998320305,0.6304091999323667,0.6230353862087367,L3,0.5905262652903408,0.03988293464202586,-0.02256879838793835,-56.5876071821378,0.796057714775616,0.7199227172431429,0.68365438619344,0.6119094097463817,0.5806676444094471,0.5271957729071228,0.5169670655682502,0.47352703458300816
WMLE,PG-beta,nearest_grid,terminal,0.6897916543344086,0.6304091999323667,0.6230353862087367,L3,0.5905262652903408,0.03988293464202586,-0.05938245440204193,-148.89188805948305,0.8214060526955074,0.7199227172431429,0.7263298668353898,0.6119094097463817,0.6248442318056773,0.5271957729071228,0.5572762444917638,0.47352703458300816
WMLE,PG-beta,interpolated,one_step,0.6506962283775033,0.6304091999323667,0.6230353862087367,L3,0.5905262652903408,0.03988293464202586,-0.020287028445136635,-50.866438558810515,0.7922323930475956,0.7199227172431429,0.6821122989455437,0.6119094097463817,0.5789919811736911,0.5271957729071228,0.515248735339254,0.47352703458300816
WMLE,PG-beta,interpolated,terminal,0.6909899358461675,0.6304091999323667,0.6230353862087367,L3,0.5905262652903408,0.03988293464202586,-0.060580735913800865,-151.8963849013385,0.82391010219866,0.7199227172431429,0.7275416625569647,0.6119094097463817,0.6254170383769189,0.5271957729071228,0.5572945061719592,0.47352703458300816
WMLE,PG-beta-n,nearest_grid,one_step,0.6573192550849525,0.6304091999323667,0.6230353862087367,L4,0.588513945288772,0.04189525464359467,-0.02691005515258582,-64.23174982825908,0.7906972059542421,0.7166286779028069,0.692770972722675,0.6121563594352502,0.5888400176477904,0.5249890805769349,0.5257453317789238,0.4706262318259186
WMLE,PG-beta-n,nearest_grid,terminal,0.7067759751199384,0.6304091999323667,0.6230353862087367,L4,0.588513945288772,0.04189525464359467,-0.07636677518757173,-182.2802506804846,0.8351639093233852,0.7166286779028069,0.7574118210408707,0.6121563594352502,0.634690560127889,0.5249890805769349,0.5693202849211837,0.4706262318259186
WMLE,PG-beta-n,interpolated,one_step,0.6556994948864507,0.6304091999323667,0.6230353862087367,L4,0.588513945288772,0.04189525464359467,-0.02529029495408408,-60.36553583270962,0.7910748800740532,0.7166286779028069,0.6888431573241712,0.6121563594352502,0.5867164677930664,0.5249890805769349,0.524620563380148,0.4706262318259186
WMLE,PG-beta-n,interpolated,terminal,0.7076295512038412,0.6304091999323667,0.6230353862087367,L4,0.588513945288772,0.04189525464359467,-0.07722035127147453,-184.31765585003,0.8378932055605218,0.7166286779028069,0.7544871319100329,0.6121563594352502,0.6372067376267779,0.5249890805769349,0.5706225059779215,0.4706262318259186
WMLE,PG-full,nearest_grid,one_step,0.6940081213490557,0.6304091999323667,0.6230353862087367,L5,0.5812940624817639,0.04911513745060281,-0.06359892141668899,-129.4894501326666,0.8233058875259608,0.7127128984938877,0.7351032715401448,0.6029732383224465,0.63036501474418,0.5161545481882651,0.5576913428738323,0.4622328729960283
WMLE,PG-full,nearest_grid,terminal,0.7606451745279578,0.6304091999323667,0.6230353862087367,L5,0.5812940624817639,0.04911513745060281,-0.1302359745955911,-265.16463427711057,0.8859183503085073,0.7127128984938877,0.8012587779900529,0.6029732383224465,0.7032312378033824,0.5161545481882651,0.6268358633555774,0.4622328729960283
WMLE,PG-full,interpolated,one_step,0.6942872456106091,0.6304091999323667,0.6230353862087367,L5,0.5812940624817639,0.04911513745060281,-0.0638780456782424,-130.0577561092795,0.8262046077464803,0.7127128984938877,0.7346900457412618,0.6029732383224465,0.6292636826046387,0.5161545481882651,0.556581367144374,0.4622328729960283
WMLE,PG-full,interpolated,terminal,0.766859865319035,0.6304091999323667,0.6230353862087367,L5,0.5812940624817639,0.04911513745060281,-0.1364506653866684,-277.81794466910054,0.8910664429294389,0.7127128984938877,0.8116864603383088,0.6029732383224465,0.7097309687704217,0.5161545481882651,0.6290817502560833,0.4622328729960283
