n,fold,seed,route,best_epoch,stopped_epoch,runtime_s
15,2,3407,P,143,203,29.614315032958984
15,2,4099,P,164,224,59.19724440574646
15,2,42,P,153,213,36.91126799583435
15,2,73,P,316,376,76.87353110313416
15,2,8128,P,280,340,59.18026876449585
15,3,12011,P,114,174,27.46320629119873
15,3,17,P,161,221,38.50406002998352
15,3,2026,P,99,159,42.29459357261658
15,3,2718,P,116,176,31.30262804031372
15,3,314,P,262,322,47.69829964637756
15,3,3407,P,182,242,36.09779715538025
15,3,4099,P,177,237,62.11535429954529
15,3,42,P,147,207,35.979692697525024
15,3,73,P,169,229,60.79924273490906
15,3,8128,P,131,191,34.22359848022461
15,4,12011,P,209,269,70.04156613349915
15,4,17,P,103,163,29.22057294845581
15,4,2026,P,164,224,57.531718254089355
15,4,2718,P,150,210,37.55803442001343
15,4,314,P,138,198,29.209800481796265
15,4,3407,P,215,275,40.45367789268494
15,4,4099,P,150,210,53.30241537094116
15,4,42,P,127,187,33.085692405700684
15,4,73,P,113,173,43.21270155906677
15,4,8128,P,196,256,45.70913529396057
15,5,12011,P,149,209,55.518208503723145
15,5,17,P,142,202,35.27612018585205
15,5,2026,P,132,192,49.55165457725525
15,5,2718,P,206,266,43.79931616783142
15,5,314,P,204,264,38.55112147331238
15,5,3407,P,219,279,40.86520767211914
15,5,4099,P,147,207,53.29698157310486
15,5,42,P,165,225,39.813485860824585
15,5,73,P,118,178,45.68944239616394
15,5,8128,P,121,181,31.816885232925415
20,1,12011,P,184,244,64.20430207252502
20,1,17,P,184,244,42.3446900844574
20,1,2026,P,149,209,56.02955222129822
20,1,2718,P,195,255,45.15791440010071
20,1,314,P,212,272,41.3591423034668
20,1,3407,P,132,192,28.43927264213562
20,1,4099,P,186,246,63.58365821838379
20,1,42,P,169,229,40.23985695838928
20,1,73,P,254,314,81.5354630947113
20,1,8128,P,226,286,51.7449164390564
20,2,12011,P,117,177,47.56742572784424
20,2,17,P,367,427,74.59884905815125
20,2,2026,P,220,280,72.58760809898376
20,2,2718,P,296,356,62.338958740234375
20,2,314,P,301,361,54.83826231956482
20,2,3407,P,198,258,39.2932243347168
20,2,4099,P,214,274,71.3525185585022
20,2,42,P,263,323,57.57413291931152
20,2,73,P,168,228,59.95621705055237
20,2,8128,P,130,190,32.539591789245605
20,3,12011,P,288,348,92.89187860488892
20,3,17,P,160,220,39.468212366104126
20,3,2026,P,120,180,47.70841407775879
20,3,2718,P,258,318,55.97699737548828
20,3,314,P,211,271,41.480921506881714
20,3,3407,P,169,229,34.58034086227417
20,3,4099,P,271,331,87.6087110042572
20,3,42,P,250,310,53.6990008354187
20,3,73,P,241,301,79.92507743835449
20,3,8128,P,208,268,47.75384521484375
20,4,12011,P,215,275,73.58745574951172
20,4,17,P,185,245,43.389241218566895
20,4,2026,P,200,260,53.52927565574646
20,4,2718,P,202,262,46.79849171638489
20,4,314,P,172,232,35.67077922821045
20,4,3407,P,194,254,38.566296339035034
20,4,4099,P,244,304,61.055630922317505
20,4,42,P,240,300,53.642388343811035
20,4,73,P,193,253,68.26302695274353
20,4,8128,P,136,196,34.98752784729004
20,5,12011,P,197,257,67.73415660858154
20,5,17,P,178,238,42.48045825958252
20,5,2026,P,164,224,43.69110131263733
20,5,2718,P,150,210,33.79952883720398
20,5,314,P,185,245,36.71042728424072
20,5,3407,P,171,231,34.89592504501343
20,5,4099,P,239,299,59.154128074645996
20,5,42,P,243,303,54.28988814353943
20,5,73,P,120,180,35.45037341117859
20,5,8128,P,129,189,33.79625630378723
7,1,12011,P,352,412,70.07007837295532
7,1,17,P,188,248,73.0984034538269
7,1,2026,P,268,328,55.94300723075867
7,1,2718,P,217,277,80.76241612434387
7,1,314,P,166,226,43.25375461578369
7,1,3407,P,211,271,51.7612783908844
7,1,4099,P,176,236,39.761112689971924
7,1,42,P,186,246,72.09488606452942
7,1,73,P,206,266,41.150893449783325
7,1,8128,P,286,346,101.18405318260193
7,2,12011,P,107,167,29.040886640548706
7,2,17,P,152,212,61.30573010444641
7,2,2026,P,247,307,49.330106258392334
7,2,2718,P,159,219,62.681456327438354
7,2,314,P,136,196,36.88328289985657
7,2,3407,P,168,228,32.56978964805603
7,2,4099,P,212,272,43.17240381240845
7,2,42,P,140,200,58.45775008201599
7,2,73,P,138,198,31.01999545097351
7,2,8128,P,97,157,46.071451902389526
7,3,12011,P,86,146,23.520570039749146
7,3,17,P,135,195,34.37257981300354
7,3,2026,P,99,159,25.147619247436523
7,3,2718,P,71,131,23.18213176727295
7,3,314,P,62,122,18.330573797225952
7,3,3407,P,110,170,24.65737819671631
7,3,4099,P,64,124,19.826740026474
7,3,42,P,121,181,31.564939975738525
7,3,73,P,199,259,42.005918979644775
7,3,8128,P,134,194,47.01955270767212
7,4,12011,P,113,173,28.51029348373413
7,4,17,P,181,241,41.33609867095947
7,4,2026,P,90,150,26.28138279914856
7,4,2718,P,115,175,30.327227115631104
7,4,314,P,200,260,37.98719882965088
7,4,3407,P,81,141,20.575504302978516
7,4,4099,P,269,329,54.92316222190857
7,4,42,P,173,233,40.475963830947876
7,4,73,P,160,220,36.97074270248413
7,4,8128,P,184,244,42.5060019493103
7,5,12011,P,191,251,39.85571050643921
7,5,17,P,94,154,27.345250368118286
7,5,2026,P,164,224,38.67856812477112
7,5,2718,P,229,289,48.012603998184204
7,5,314,P,280,340,49.53951597213745
7,5,3407,P,172,232,34.3907790184021
7,5,4099,P,194,254,42.904147148132324
7,5,42,P,242,302,52.043461561203
7,5,73,P,163,223,36.47786831855774
7,5,8128,P,105,165,28.491774320602417
10,1,12011,Q,82,142,25.131600856781006
10,1,17,Q,56,116,20.78829264640808
10,1,2026,Q,47,107,17.554484128952026
10,1,2718,Q,91,151,27.062442302703857
10,1,314,Q,60,120,17.158242225646973
10,1,3407,Q,70,130,19.110769271850586
10,1,4099,Q,109,169,27.943798542022705
10,1,42,Q,44,104,18.081663846969604
10,1,73,Q,106,166,29.0952787399292
10,1,8128,Q,61,121,20.50277328491211
10,2,12011,Q,113,173,28.077447414398193
10,2,17,Q,34,94,16.7016499042511
10,2,2026,Q,92,152,24.04147958755493
10,2,2718,Q,104,164,29.67550539970398
10,2,314,Q,41,101,15.603439807891846
10,2,3407,Q,50,110,17.019524574279785
10,2,4099,Q,109,169,26.865838766098022
10,2,42,Q,54,114,20.315231800079346
10,2,73,Q,85,145,22.955632209777832
10,2,8128,Q,83,143,24.93740439414978
10,3,12011,Q,82,142,25.17709183692932
10,3,17,Q,114,174,31.49004340171814
10,3,2026,Q,68,128,20.4422504901886
10,3,2718,Q,91,151,26.758876085281372
10,3,314,Q,111,171,26.091219902038574
10,3,3407,Q,108,168,25.16037678718567
10,3,4099,Q,70,130,20.71864914894104
10,3,42,Q,70,130,23.69071078300476
10,3,73,Q,61,121,20.202006340026855
10,3,8128,Q,47,107,18.9499192237854
10,4,12011,Q,95,155,25.344246864318848
10,4,17,Q,66,126,22.14212155342102
10,4,2026,Q,83,143,22.688917636871338
10,4,2718,Q,66,126,21.374217748641968
10,4,314,Q,118,178,26.311321020126343
10,4,3407,Q,55,115,16.697800874710083
10,4,4099,Q,70,130,20.818866968154907
10,4,42,Q,84,144,25.86273980140686
10,4,73,Q,67,127,20.37615942955017
10,4,8128,Q,78,138,24.05101728439331
10,5,12011,Q,148,208,33.843146085739136
10,5,17,Q,107,167,29.504037141799927
10,5,2026,Q,71,131,21.85474419593811
10,5,2718,Q,214,274,47.59617805480957
10,5,314,Q,77,137,20.463181734085083
10,5,3407,Q,47,107,15.830956220626831
10,5,4099,Q,90,150,39.40460753440857
10,5,42,Q,137,197,34.65905833244324
10,5,73,Q,63,123,19.474796533584595
10,5,8128,Q,80,140,24.84032940864563
15,1,12011,Q,178,238,38.31255316734314
15,1,17,Q,97,157,27.96429204940796
15,1,2026,Q,247,307,79.88964653015137
15,1,2718,Q,120,180,32.46716833114624
15,1,314,Q,227,287,41.77501130104065
15,1,3407,Q,99,159,24.37988781929016
15,1,4099,Q,106,166,43.16123962402344
15,1,42,Q,99,159,28.461241006851196
15,1,73,Q,72,132,21.046466827392578
15,1,8128,Q,86,146,26.00833225250244
15,2,12011,Q,77,137,22.194268703460693
15,2,17,Q,128,188,33.02699899673462
15,2,2026,Q,167,227,59.624714851379395
15,2,2718,Q,126,186,32.62779211997986
15,2,314,Q,73,133,19.525100469589233
15,2,3407,Q,125,185,26.788010835647583
15,2,4099,Q,116,176,46.52206063270569
15,2,42,Q,105,165,30.140819311141968
15,2,73,Q,138,198,53.27047777175903
15,2,8128,Q,167,227,41.01241683959961
15,3,12011,Q,201,261,48.3064227104187
15,3,17,Q,198,258,46.51264142990112
15,3,2026,Q,206,266,69.26981258392334
15,3,2718,Q,280,340,60.71902680397034
15,3,314,Q,222,282,42.61136603355408
15,3,3407,Q,305,365,54.64573526382446
15,3,4099,Q,259,319,84.281569480896
15,3,42,Q,371,431,76.24731159210205
15,3,73,Q,371,431,115.6692066192627
15,3,8128,Q,247,307,53.844595432281494
15,4,12011,Q,98,158,41.59374785423279
15,4,17,Q,82,142,24.99520492553711
15,4,2026,Q,111,171,46.10096335411072
15,4,2718,Q,60,120,20.410919666290283
15,4,314,Q,71,131,19.983593702316284
15,4,3407,Q,99,159,23.82110333442688
15,4,4099,Q,90,150,39.817668199539185
15,4,42,Q,145,205,36.40115451812744
15,4,73,Q,71,131,35.52163577079773
15,4,8128,Q,64,124,21.751255989074707
15,5,12011,Q,89,149,40.99624180793762
15,5,17,Q,123,183,32.65921473503113
15,5,2026,Q,64,124,32.37946653366089
15,5,2718,Q,192,252,44.79092478752136
15,5,314,Q,193,253,38.47150230407715
15,5,3407,Q,112,172,26.137033224105835
15,5,4099,Q,90,150,38.06194257736206
15,5,42,Q,135,195,34.26142477989197
15,5,73,Q,125,185,50.45513081550598
15,5,8128,Q,123,183,32.34511089324951
20,1,12011,Q,166,226,60.841850996017456
20,1,17,Q,185,245,42.58888077735901
20,1,2026,Q,105,165,44.093993186950684
20,1,2718,Q,94,154,27.846959352493286
20,1,314,Q,149,209,31.37420153617859
20,1,3407,Q,94,154,23.65276074409485
20,1,4099,Q,147,207,55.9464430809021
20,1,42,Q,168,228,41.04051661491394
20,1,73,Q,180,240,64.23850750923157
20,1,8128,Q,114,174,31.970049142837524
20,2,12011,Q,187,247,65.08291530609131
20,2,17,Q,161,221,39.991291761398315
20,2,2026,Q,147,207,57.21635699272156
20,2,2718,Q,204,264,46.87759804725647
20,2,314,Q,179,239,35.92958116531372
20,2,3407,Q,196,256,38.21052575111389
20,2,4099,Q,131,191,49.94812321662903
20,2,42,Q,214,274,49.83053112030029
20,2,73,Q,241,301,81.07615923881531
20,2,8128,Q,180,240,43.496153831481934
20,3,12011,Q,154,214,55.73669123649597
20,3,17,Q,217,277,49.224159240722656
20,3,2026,Q,129,189,50.295833110809326
20,3,2718,Q,148,208,37.875821113586426
20,3,314,Q,129,189,28.69201421737671
20,3,3407,Q,136,196,29.384302377700806
20,3,4099,Q,256,316,78.31786894798279
20,3,42,Q,161,221,39.553117752075195
20,3,73,Q,93,153,39.56103825569153
20,3,8128,Q,163,223,40.494338512420654
20,4,12011,Q,121,181,46.167439699172974
20,4,17,Q,350,410,72.11517906188965
20,4,2026,Q,350,410,82.1142144203186
20,4,2718,Q,242,302,54.89520978927612
20,4,314,Q,233,293,44.45297312736511
20,4,3407,Q,145,205,31.06894874572754
20,4,4099,Q,176,236,48.2649302482605
20,4,42,Q,125,185,33.2314031124115
20,4,73,Q,259,319,85.48411726951599
20,4,8128,Q,118,178,31.877888679504395
20,5,12011,Q,289,349,94.86351037025452
20,5,17,Q,237,297,52.390016078948975
20,5,2026,Q,194,254,50.21643805503845
20,5,2718,Q,208,268,43.85119986534119
20,5,314,Q,122,182,27.947862148284912
20,5,3407,Q,204,264,39.432092905044556
20,5,4099,Q,214,274,52.04693055152893
20,5,42,Q,490,550,91.43852066993713
20,5,73,Q,263,323,65.403400182724
20,5,8128,Q,163,223,38.86042928695679
7,1,12011,Q,86,146,24.878018140792847
7,1,17,Q,68,128,38.34073567390442
7,1,2026,Q,66,126,20.613194465637207
7,1,2718,Q,78,138,41.62576985359192
7,1,314,Q,83,143,29.20301580429077
7,1,3407,Q,73,133,19.961246728897095
7,1,4099,Q,111,171,27.764534950256348
7,1,42,Q,87,147,44.14062142372131
7,1,73,Q,82,142,23.177001237869263
7,1,8128,Q,53,113,33.54720735549927
7,2,12011,Q,126,186,32.62839341163635
7,2,17,Q,144,204,55.650423526763916
7,2,2026,Q,75,135,23.433310985565186
7,2,2718,Q,144,204,59.90961265563965
7,2,314,Q,113,173,34.1583137512207
7,2,3407,Q,141,201,29.511513471603394
7,2,4099,Q,134,194,33.479387044906616
7,2,42,Q,169,229,67.83848690986633
7,2,73,Q,140,200,35.42109704017639
7,2,8128,Q,89,149,43.99165725708008
7,3,12011,Q,64,124,19.876317739486694
7,3,17,Q,64,124,20.722285509109497
7,3,2026,Q,71,131,20.940305471420288
7,3,2718,Q,77,137,23.62064242362976
7,3,314,Q,101,161,23.270970821380615
7,3,3407,Q,68,128,17.591202974319458
7,3,4099,Q,134,194,31.574808835983276
7,3,42,Q,97,157,28.127056121826172
7,3,73,Q,94,154,24.463903188705444
7,3,8128,Q,66,126,22.724517345428467
7,4,12011,Q,48,108,19.18899965286255
7,4,17,Q,46,106,18.811264991760254
7,4,2026,Q,59,119,20.082595348358154
7,4,2718,Q,82,142,24.127995491027832
7,4,314,Q,39,99,14.074811697006226
7,4,3407,Q,60,120,17.964965105056763
7,4,4099,Q,70,130,22.54908275604248
7,4,42,Q,75,135,23.98791813850403
7,4,73,Q,51,111,18.263220071792603
7,4,8128,Q,61,121,20.926437377929688
7,5,12011,Q,23,83,13.725149869918823
7,5,17,Q,38,98,17.107887268066406
7,5,2026,Q,87,147,25.043128728866577
7,5,2718,Q,22,82,14.999241590499878
7,5,314,Q,31,91,12.972196817398071
