train_n,method,model_id,n_repeats,n_failed,failure_rate,mean_D,median_D,std_D,mean_support_set_violation_rate,n_support_set_unknown,mean_param_dist_beta,mean_param_dist_eta,win_rate_vs_default,win_rate_vs_l2,tie_rate_vs_default,tie_rate_vs_l2
10,nn,fold_4_seed_42,500,0,0.0,0.18967044974116948,0.17740504186451372,0.08120628803450927,0.904,0,0.5669142724662911,0.505400398836143,0.23,0.23,0.022,0.022
20,nn,fold_0_seed_2026,500,0,0.0,0.14397785151487455,0.1313350717383351,0.059850198340351025,0.454,0,0.3015473143700332,0.2413325255991143,0.352,0.346,0.192,0.194
20,nn,fold_0_seed_3407,500,0,0.0,0.1470475843553864,0.13763115693270264,0.0596068401562721,0.802,0,0.48918753436375184,0.42921791218087274,0.362,0.346,0.008,0.038
20,nn,fold_0_seed_42,500,0,0.0,0.14631573652203522,0.1361249202941839,0.05996911319479888,0.802,0,0.49114971284540654,0.43020624052168305,0.33,0.336,0.004,0.004
20,nn,fold_1_seed_2026,500,0,0.0,0.14700657867701902,0.13669160858654716,0.05977505951771111,0.802,0,0.49723943524451664,0.4355485360520909,0.338,0.346,0.004,0.004
20,nn,fold_1_seed_3407,500,0,0.0,0.14413400865899775,0.1338179536848433,0.0597329573222686,0.802,0,0.4560786677936799,0.39753553836746464,0.214,0.382,0.404,0.006
20,nn,fold_1_seed_42,500,0,0.0,0.14633637483415085,0.13599306493384952,0.060070531945248085,0.802,0,0.4829001696389303,0.4221197337210751,0.358,0.362,0.006,0.006
20,nn,fold_2_seed_2026,500,0,0.0,0.14790859786053256,0.13738006794449686,0.060082014863274025,0.802,0,0.5019321502490158,0.4400653927096965,0.304,0.314,0.004,0.004
20,nn,fold_2_seed_3407,500,0,0.0,0.14531383136358783,0.1349596254364334,0.059961991307142797,0.802,0,0.4811400699819475,0.42241094098671295,0.344,0.362,0.046,0.006
20,nn,fold_2_seed_42,500,0,0.0,0.14586545819220662,0.1359772156793805,0.06028171469150707,0.798,0,0.4560932896347332,0.405666851991672,0.4,0.41,0.004,0.004
20,nn,fold_3_seed_2026,500,0,0.0,0.14776358435176948,0.13752547306144147,0.05993316047705354,0.802,0,0.5003752669989837,0.4389636248087553,0.308,0.318,0.006,0.006
20,nn,fold_3_seed_3407,500,0,0.0,0.14564764989655948,0.13583917245406027,0.05898288404124329,0.802,0,0.49739960313744563,0.4246595107683801,0.31,0.318,0.004,0.004
20,nn,fold_3_seed_42,500,0,0.0,0.14715600712355412,0.13690755183066783,0.05975580788420518,0.802,0,0.4972800339249957,0.4350094406907344,0.318,0.324,0.006,0.006
20,nn,fold_4_seed_2026,500,0,0.0,0.1459307149593507,0.13598476999661002,0.06030921767083598,0.802,0,0.4833323968905321,0.4247187643060249,0.35,0.354,0.014,0.014
20,nn,fold_4_seed_3407,500,0,0.0,0.14671272141401745,0.1366946407853033,0.05973984437150922,0.802,0,0.49248293550625327,0.4291264558718349,0.338,0.348,0.004,0.004
20,nn,fold_4_seed_42,500,0,0.0,0.1462988915112599,0.13725218635594408,0.059494682131826675,0.802,0,0.4935879607309062,0.42846815230249896,0.322,0.34,0.004,0.004
