route,n,fold,seed,mean_magnitude,mean_absolute_error,compensation,rmsre
Q,7,2,17,1.3147888156089016,0.1417694319632756,0.8684907894357017,0.20716111429287276
QCP,7,2,17,0.23684171341848137,0.1402627736241412,0.3823508082047953,0.20464549096826667
P,7,2,73,0.22282327249095688,0.14162941166585877,0.3371978945041695,0.21499840127977385
Q,7,2,73,1.3264406505253716,0.1412764966021557,0.8692871174344173,0.20660307348405393
QCP,7,2,73,0.2170298870178841,0.14119298312795198,0.3257185433528083,0.206028325411921
P,7,2,314,0.21984707759610145,0.14067916584414292,0.33595475178561096,0.21678142767055972
Q,7,2,314,1.405968249334847,0.13968055762638829,0.8877799613116508,0.20631389929390137
QCP,7,2,314,0.24500189633627475,0.14130767468951924,0.3897366076626302,0.20469264131924428
P,7,2,2718,0.21913255905180754,0.13987423109343045,0.3385088720001186,0.2147774271466014
Q,7,2,2718,1.3076337903318096,0.14127732603457843,0.8704650061206299,0.20582125304386562
QCP,7,2,2718,0.2220774207719969,0.14031707930280254,0.3415307367345508,0.20428477384220603
P,7,2,4099,0.2179409983555585,0.141380973049754,0.32237571339816734,0.21392877612255956
Q,7,2,4099,1.337495132319682,0.14319027987301206,0.8713362488129219,0.20837500613833712
QCP,7,2,4099,0.22570781468779605,0.1386685257925166,0.3664199038242365,0.20493141825651126
P,7,2,8128,0.22114383855771616,0.14204435700936513,0.3350785942436253,0.2145155659569078
Q,7,2,8128,1.3388170743983845,0.14063704295641616,0.8766545143821647,0.20655466992083707
QCP,7,2,8128,0.224576940225645,0.14470507805313632,0.34376155369744993,0.20539671936787712
P,7,2,12011,0.21963831126242694,0.14326665303480288,0.31725403351451,0.21245299659951916
Q,7,2,12011,1.3336137091402671,0.14264588616393556,0.8699677039227227,0.20625903813767094
QCP,7,2,12011,0.22829555163625703,0.14082365993860324,0.3571919618253814,0.20433439635869208
P,7,3,42,0.21738922933766971,0.14193158153445043,0.31823637705598173,0.21009479247642707
Q,7,3,42,1.2815729450699882,0.14749789128048602,0.8595966210245528,0.2079924088480674
QCP,7,3,42,0.21649137965843473,0.1400945688412475,0.3325613815305615,0.20208711459390988
P,7,3,2026,0.22025045081924716,0.14585818913175438,0.3062477431571405,0.21212724192661567
Q,7,3,2026,1.3392006132487841,0.14591353445249486,0.8739453871486668,0.20657414148761763
QCP,7,3,2026,0.2230577348832681,0.1430421035649124,0.3282392260094282,0.20316616129272447
P,7,3,3407,0.21873517971266665,0.14054842797891215,0.3263899047373017,0.2128644650789943
Q,7,3,3407,1.3539550062675225,0.1442461202129538,0.8763344536993022,0.20610627324191172
QCP,7,3,3407,0.2223162400636705,0.14348704215326533,0.32598543659326223,0.2026363378396615
P,7,3,17,0.21740723522273792,0.14156175706652357,0.31894517727352345,0.21179683668928936
Q,7,3,17,1.3281383678662,0.14260784475886606,0.8695835791355815,0.20585115118134012
QCP,7,3,17,0.2224134904535683,0.1408906125167218,0.3447049498514255,0.20217374455136616
P,7,3,73,0.22095534501334238,0.14036778716560355,0.33689279992835647,0.2135737908228163
Q,7,3,73,1.3450477501882172,0.14443153476700127,0.8758106724164262,0.20668965145865956
QCP,7,3,73,0.22033169544231693,0.14239825858434355,0.3300740500046619,0.20247610572786773
P,7,3,314,0.22396239395566245,0.14374942481574535,0.3314312893779474,0.21246563562344672
Q,7,3,314,1.3669813042471366,0.14430901476458136,0.8805540842856504,0.20640644361656738
QCP,7,3,314,0.22401127527782905,0.14074151172147634,0.3438566949465719,0.20268523472954117
P,7,3,2718,0.22071008419292942,0.144324776021785,0.3209795760494714,0.21231467289646247
Q,7,3,2718,1.3336253231887258,0.1436384498226729,0.8752786529749316,0.20580871458723946
QCP,7,3,2718,0.2231439332121506,0.1425461031967635,0.3330834635789792,0.20259583985144955
P,7,3,4099,0.22465893141042917,0.1426785203843542,0.3468967462986687,0.21657347244814223
Q,7,3,4099,1.2730760698805406,0.14665897688922216,0.8610433449645185,0.20646587430212862
QCP,7,3,4099,0.22602875774208997,0.14298358890919358,0.33650281522503617,0.20278930730662176
P,7,3,8128,0.22096756813363944,0.1443876501604518,0.31651111123403336,0.21235383647744427
Q,7,3,8128,1.340225289185252,0.144347439258598,0.8756742547032195,0.20738796880103497
QCP,7,3,8128,0.22892638982424718,0.14147122386538727,0.35345878809020775,0.20299098750494612
P,7,3,12011,0.2198361060270254,0.1388187963790951,0.3448483156257925,0.21397380023476054
Q,7,3,12011,1.3589281543278646,0.1434498449735761,0.8775573477420355,0.20669913118627142
QCP,7,3,12011,0.22183741171182272,0.14132885157782538,0.342536292261442,0.20235853882836222
P,7,4,42,0.21185208592661037,0.13727770382217286,0.3249414989229985,0.20562497859673157
Q,7,4,42,1.327845515716837,0.14332497065543665,0.8737533213048171,0.20271005975769138
QCP,7,4,42,0.22662963018665694,0.1413903767903758,0.3584645948973723,0.19954884430121608
P,7,4,2026,0.2174093537736916,0.13952870990318286,0.33662586633484326,0.20753728148279832
Q,7,4,2026,1.314599357759513,0.14506488991028724,0.8692724137713314,0.20320683301812806
QCP,7,4,2026,0.21522744723309947,0.1388118243208359,0.33948470466936453,0.19985976455474688
P,7,4,3407,0.21563251703947653,0.14059815316878368,0.32849453926183986,0.20578672597102796
Q,7,4,3407,1.288751533048557,0.14468658757998035,0.8682993658188206,0.20286020657299675
QCP,7,4,3407,0.21843089114881128,0.139717716851103,0.3388267380433663,0.19917760623822714
P,7,4,17,0.21465069325220104,0.14060043136694028,0.3231702833030771,0.20478772495612863
Q,7,4,17,1.2660244761995982,0.14490386151603166,0.8613867702043289,0.20450249726188896
QCP,7,4,17,0.22194652866525397,0.14256937084239196,0.3271419877439524,0.19887297174886281
P,7,4,73,0.21457520184168222,0.14050040793720034,0.31684721527228027,0.20532719989720913
Q,7,4,73,1.3011222706243777,0.14646667994168025,0.8652216930847313,0.2033898141695098
QCP,7,4,73,0.22249809409201618,0.14093699167656804,0.3439903330104149,0.19952579592040318
P,7,4,314,0.21560368290722304,0.1392549065860424,0.3267678172620995,0.20550026120899742
Q,7,4,314,1.3574252272695666,0.1459162223037158,0.8752179003375238,0.20367045167345943
QCP,7,4,314,0.21952471199317236,0.1403607908529484,0.3464012504575637,0.1996116031897646
P,7,4,2718,0.21386602784973852,0.13975153222876954,0.3282527176193786,0.20465986502094222
Q,7,4,2718,1.301402539850761,0.14169014637855254,0.8741032457148095,0.2015492024583799
QCP,7,4,2718,0.21685576359907746,0.1413161779840803,0.3306264411631769,0.19951718093341075
