beta,gamma_over_eta,n,adaptive_R,default_R,adaptive_J1,default_J1,delta_J1,relative_improvement
5.0,0.5,15,0.4211154568468773,0.5537185687040778,0.6489340928375371,0.7441226839064092,-0.09518859106887212,0.1279205608531675
5.0,0.5,20,0.3531022652029405,0.4710004468512442,0.5942240866903162,0.6862947230244775,-0.09207063633416124,0.1341561187129766
5.0,0.75,7,0.5770963669781721,0.8323824255408278,0.7596685902274571,0.91234994686295,-0.15268135663549287,0.16734955392991124
5.0,0.75,10,0.5048854840759923,0.6926017066282958,0.7105529424863374,0.8322269562014294,-0.12167401371509201,0.14620292314304995
5.0,0.75,15,0.3558640374520828,0.5424560460214068,0.5965434078523396,0.7365161546235133,-0.13997274677117366,0.19004708300352746
5.0,0.75,20,0.3224255450232051,0.45158177619873147,0.5678252768442112,0.6719983453839239,-0.10417306853971264,0.1550198289256156
5.0,1.0,7,0.5810302728862075,0.7700289288130931,0.7622534177596106,0.8775129223054742,-0.11525950454586353,0.13134792846473908
5.0,1.0,10,0.4577646231662185,0.6969120016299294,0.676583049718376,0.8348125547869589,-0.1582295050685829,0.1895389619636979
5.0,1.0,15,0.3188474346156208,0.49797376422481837,0.5646657724845918,0.7056725616210526,-0.1410067891364608,0.19981900502485694
5.0,1.0,20,0.3244000833197886,0.4927995514198676,0.5695613077797583,0.7019968314884816,-0.13243552370872325,0.18865544368329001
