method,delta,parameter,beta,gamma_over_eta,n,n_repeats,within_cell_normalized_sd
Default,0.1,beta,4.0,0.25,7,300,0.3539192748131777
No offset,0.0,beta,4.0,0.25,10,300,0.4835476808130052
Default,0.1,beta,4.0,0.25,10,300,0.22377645605783986
No offset,0.0,beta,4.0,0.25,15,300,0.4171219273643449
Default,0.1,beta,4.0,0.25,15,300,0.23372449057551944
No offset,0.0,beta,4.0,0.25,20,300,0.3841718696378607
Default,0.1,beta,4.0,0.25,20,300,0.21005206613214258
No offset,0.0,beta,4.0,0.5,7,300,0.732925622621163
Default,0.1,beta,4.0,0.5,7,300,0.25163530537504236
No offset,0.0,beta,4.0,0.5,10,300,0.5754176257397448
Default,0.1,beta,4.0,0.5,10,300,0.21131841345686084
No offset,0.0,beta,4.0,0.5,15,300,0.543542087945961
Default,0.1,beta,4.0,0.5,15,300,0.2143938578067628
No offset,0.0,beta,4.0,0.5,20,300,0.4878303196737685
Default,0.1,beta,4.0,0.5,20,300,0.19831136696134116
No offset,0.0,beta,4.0,0.75,7,300,0.8814380492214777
Default,0.1,beta,4.0,0.75,7,300,0.22446609424125344
No offset,0.0,beta,4.0,0.75,10,300,0.7488033788838429
Default,0.1,beta,4.0,0.75,10,300,0.2119682402853022
No offset,0.0,beta,4.0,0.75,15,300,0.621183964223162
Default,0.1,beta,4.0,0.75,15,300,0.21291783232153566
No offset,0.0,beta,4.0,0.75,20,300,0.5889920139333442
Default,0.1,beta,4.0,0.75,20,300,0.19870116528656814
No offset,0.0,beta,4.0,1.0,7,300,0.929270499545934
Default,0.1,beta,4.0,1.0,7,300,0.258393340076341
No offset,0.0,beta,4.0,1.0,10,300,0.8933411059458234
Default,0.1,beta,4.0,1.0,10,300,0.2238876877471185
No offset,0.0,beta,4.0,1.0,15,300,0.7882121590247965
Default,0.1,beta,4.0,1.0,15,300,0.22465438984444072
No offset,0.0,beta,4.0,1.0,20,300,0.7031382764360812
Default,0.1,beta,4.0,1.0,20,300,0.19841894204118266
No offset,0.0,beta,4.5,0.1,7,300,0.5102853188739396
Default,0.1,beta,4.5,0.1,7,300,0.2615110709236875
