method,delta,parameter,beta,gamma_over_eta,n,n_repeats,within_cell_normalized_sd
Default,0.1,gamma,4.0,0.75,20,300,0.20754398296414095
No offset,0.0,gamma,4.0,1.0,7,300,0.680119866629018
Default,0.1,gamma,4.0,1.0,7,300,0.2678568444903396
No offset,0.0,gamma,4.0,1.0,10,300,0.6761652944372976
Default,0.1,gamma,4.0,1.0,10,300,0.2611522831510299
No offset,0.0,gamma,4.0,1.0,15,300,0.6256917563339902
Default,0.1,gamma,4.0,1.0,15,300,0.22622864492304925
No offset,0.0,gamma,4.0,1.0,20,300,0.5714073976924219
Default,0.1,gamma,4.0,1.0,20,300,0.20306723323175022
No offset,0.0,gamma,4.5,0.1,7,300,0.3117851299658648
Default,0.1,gamma,4.5,0.1,7,300,0.24337599190190576
No offset,0.0,gamma,4.5,0.1,10,300,0.2823083972669916
Default,0.1,gamma,4.5,0.1,10,300,0.24438154671941506
No offset,0.0,gamma,4.5,0.1,15,300,0.24863978108103818
Default,0.1,gamma,4.5,0.1,15,300,0.20308832581423097
No offset,0.0,gamma,4.5,0.1,20,300,0.23124868060406004
Default,0.1,gamma,4.5,0.1,20,300,0.1983918410586987
No offset,0.0,gamma,4.5,0.25,7,300,0.386527687200581
Default,0.1,gamma,4.5,0.25,7,300,0.27526468107397795
No offset,0.0,gamma,4.5,0.25,10,300,0.3427304710884136
Default,0.1,gamma,4.5,0.25,10,300,0.24309956783582662
No offset,0.0,gamma,4.5,0.25,15,300,0.30418888169382036
Default,0.1,gamma,4.5,0.25,15,300,0.19970428257033748
No offset,0.0,gamma,4.5,0.25,20,300,0.286877055264258
Default,0.1,gamma,4.5,0.25,20,300,0.20101613567661136
No offset,0.0,gamma,4.5,0.5,7,300,0.4897105711129902
Default,0.1,gamma,4.5,0.5,7,300,0.25502677665410267
No offset,0.0,gamma,4.5,0.5,10,300,0.4665973997559289
Default,0.1,gamma,4.5,0.5,10,300,0.2429693647577214
No offset,0.0,gamma,4.5,0.5,15,300,0.4267842697685005
Default,0.1,gamma,4.5,0.5,15,300,0.21626091110136
No offset,0.0,gamma,4.5,0.5,20,300,0.4069279742880942
Default,0.1,gamma,4.5,0.5,20,300,0.20681689356516272
No offset,0.0,gamma,4.5,0.75,7,300,0.5941672391791772
Default,0.1,gamma,4.5,0.75,7,300,0.2590905376741661
No offset,0.0,gamma,4.5,0.75,10,300,0.5629031896654045
Default,0.1,gamma,4.5,0.75,10,300,0.22525658128938228
No offset,0.0,gamma,4.5,0.75,15,300,0.5473372566742831
Default,0.1,gamma,4.5,0.75,15,300,0.23744265325625555
No offset,0.0,gamma,4.5,0.75,20,300,0.5147832120957458
Default,0.1,gamma,4.5,0.75,20,300,0.2061716858011412
No offset,0.0,gamma,4.5,1.0,7,300,0.7063160645054583
Default,0.1,gamma,4.5,1.0,7,300,0.2682905555909117
No offset,0.0,gamma,4.5,1.0,10,300,0.6815326114440801
Default,0.1,gamma,4.5,1.0,10,300,0.23721254188883428
No offset,0.0,gamma,4.5,1.0,15,300,0.6397881741079332
Default,0.1,gamma,4.5,1.0,15,300,0.2182675129810038
No offset,0.0,gamma,4.5,1.0,20,300,0.60726548428193
Default,0.1,gamma,4.5,1.0,20,300,0.2050055661430987
No offset,0.0,gamma,5.0,0.1,7,300,0.3262932751586556
Default,0.1,gamma,5.0,0.1,7,300,0.2476658031584963
No offset,0.0,gamma,5.0,0.1,10,300,0.28592430732212276
Default,0.1,gamma,5.0,0.1,10,300,0.2232070396308721
No offset,0.0,gamma,5.0,0.1,15,300,0.2771956899200869
Default,0.1,gamma,5.0,0.1,15,300,0.21680320906913525
No offset,0.0,gamma,5.0,0.1,20,300,0.24469132512153807
Default,0.1,gamma,5.0,0.1,20,300,0.2085559528928724
No offset,0.0,gamma,5.0,0.25,7,300,0.4073217248432378
Default,0.1,gamma,5.0,0.25,7,300,0.26110238033424266
No offset,0.0,gamma,5.0,0.25,10,300,0.3813493763261018
Default,0.1,gamma,5.0,0.25,10,300,0.2331376680823517
No offset,0.0,gamma,5.0,0.25,15,300,0.33183221766579435
Default,0.1,gamma,5.0,0.25,15,300,0.1962437781085295
No offset,0.0,gamma,5.0,0.25,20,300,0.3036017480974811
Default,0.1,gamma,5.0,0.25,20,300,0.19747243297349168
No offset,0.0,gamma,5.0,0.5,7,300,0.5083270926804093
Default,0.1,gamma,5.0,0.5,7,300,0.26398165579931565
No offset,0.0,gamma,5.0,0.5,10,300,0.4740935406937442
Default,0.1,gamma,5.0,0.5,10,300,0.23189175486262967
No offset,0.0,gamma,5.0,0.5,15,300,0.44031930778650286
Default,0.1,gamma,5.0,0.5,15,300,0.21496861742229703
No offset,0.0,gamma,5.0,0.5,20,300,0.4241742508931014
Default,0.1,gamma,5.0,0.5,20,300,0.2005171623999506
No offset,0.0,gamma,5.0,0.75,7,300,0.6174368012451046
Default,0.1,gamma,5.0,0.75,7,300,0.2506414202950742
No offset,0.0,gamma,5.0,0.75,10,300,0.5961996997840666
Default,0.1,gamma,5.0,0.75,10,300,0.2551776792918096
No offset,0.0,gamma,5.0,0.75,15,300,0.5461449511308816
Default,0.1,gamma,5.0,0.75,15,300,0.20027492187975168
No offset,0.0,gamma,5.0,0.75,20,300,0.5322087727526571
Default,0.1,gamma,5.0,0.75,20,300,0.20370936182321137
No offset,0.0,gamma,5.0,1.0,7,300,0.702819144388974
Default,0.1,gamma,5.0,1.0,7,300,0.24816962048142296
No offset,0.0,gamma,5.0,1.0,10,300,0.6920610573326336
Default,0.1,gamma,5.0,1.0,10,300,0.22023806978571214
No offset,0.0,gamma,5.0,1.0,15,300,0.6405518666716227
Default,0.1,gamma,5.0,1.0,15,300,0.21980461513245125
No offset,0.0,gamma,5.0,1.0,20,300,0.6169321322169207
Default,0.1,gamma,5.0,1.0,20,300,0.18834327993854605
