beta,gamma_over_eta,n,count,l6_effective_delta_count,l6_delta_entropy_nats,l5_l6_delta_match_rate,paper_l6_delta_match_rate,z_reference_l6_delta_match_rate
2.5,1.0,15,100,12.332689561921471,2.5122534249317257,0.03,0.36,0.2
2.5,1.0,20,100,11.009989819172684,2.3988030260450315,0.03,0.33,0.27
3.0,0.1,7,100,4.269141537947431,1.4514127620511,0.05,0.09,0.12
3.0,0.1,10,100,7.303019437259511,1.9882878841789349,0.06,0.07,0.1
3.0,0.1,15,100,7.1373703277285605,1.965344407073284,0.09,0.05,0.03
3.0,0.1,20,100,7.003554495044793,1.9464178051825327,0.5,0.12,0.06
3.0,0.25,7,100,7.855631479656861,2.06123066053957,0.08,0.19,0.14
3.0,0.25,10,100,9.1932890738682,2.2184737693854064,0.04,0.17,0.14
3.0,0.25,15,100,7.907047552946881,2.0677544571021818,0.02,0.11,0.1
3.0,0.25,20,100,7.675535677605001,2.0380380861653817,0.04,0.07,0.08
3.0,0.5,7,100,6.563906056050717,1.8815858611282783,0.15,0.26,0.22
3.0,0.5,10,100,8.198803839475191,2.1039882703949395,0.06,0.25,0.28
3.0,0.5,15,100,7.161664226331622,1.968742387809192,0.02,0.26,0.2
3.0,0.5,20,100,9.784923395244514,2.280842772022761,0.04,0.34,0.21
3.0,0.75,7,100,6.541142111670056,1.8781117850341589,0.07,0.53,0.39
3.0,0.75,10,100,8.654067358265333,2.1580294252558008,0.01,0.31,0.42
3.0,0.75,15,100,8.315062632071697,2.11806864503645,0.04,0.35,0.21
3.0,0.75,20,100,6.784044866323391,1.9145735120177607,0.01,0.4,0.16
3.0,1.0,7,100,7.382455603258049,1.9991063208363544,0.04,0.16,0.32
3.0,1.0,10,100,8.99414138758759,2.1965734084370503,0.05,0.34,0.37
3.0,1.0,15,100,8.764103673594187,2.170664251146843,0.07,0.34,0.27
3.0,1.0,20,100,8.181849329714328,2.1019182044897327,0.02,0.29,0.19
3.5,0.1,7,100,5.734745781508327,1.7465434220501603,0.09,0.13,0.12
3.5,0.1,10,100,5.84741661627943,1.7659999596531804,0.11,0.16,0.16
3.5,0.1,15,100,6.338502228171122,1.8466424989263013,0.46,0.05,0.03
3.5,0.1,20,100,5.244704077097458,1.6572188202561078,0.52,0.06,0.05
3.5,0.25,7,100,6.238215579572993,1.8306941766735825,0.06,0.2,0.12
3.5,0.25,10,100,5.858447393498049,1.767884618568483,0.08,0.18,0.19
3.5,0.25,15,100,6.245734506902795,1.8318987518580203,0.1,0.05,0.04
3.5,0.25,20,100,7.68830845837453,2.039700792920164,0.08,0.18,0.1
3.5,0.5,7,100,6.185375655151944,1.822187740483808,0.16,0.38,0.34
3.5,0.5,10,100,7.759710136567426,2.048944979962341,0.06,0.24,0.29
3.5,0.5,15,100,5.878725870033722,1.7713400496603569,0.1,0.37,0.25
3.5,0.5,20,100,6.673589204655863,1.8981578268399388,0.03,0.32,0.19
3.5,0.75,7,100,6.405118057079871,1.8570973671975453,0.09,0.44,0.45
3.5,0.75,10,100,7.007408065471369,1.9469678845232063,0.05,0.46,0.38
3.5,0.75,15,100,5.812943094099722,1.7600869992509842,0.05,0.54,0.32
3.5,0.75,20,100,7.759357357172567,2.048899515968443,0.05,0.41,0.31
3.5,1.0,7,100,6.341698788136216,1.8471466802131276,0.07,0.25,0.46
3.5,1.0,10,100,7.400559099459293,2.0015555513370518,0.07,0.33,0.41
3.5,1.0,15,100,5.364996209112913,1.6798956694864966,0.04,0.36,0.31
3.5,1.0,20,100,6.174719163769158,1.8204634019282613,0.02,0.3,0.22
4.0,0.1,7,100,3.4471742152898552,1.237554827391846,0.11,0.23,0.19
4.0,0.1,10,100,3.990817226773832,1.3839960286695865,0.12,0.16,0.11
4.0,0.1,15,100,5.29783277849862,1.6672978272144583,0.51,0.1,0.02
4.0,0.1,20,100,5.8654851200541085,1.769085193101518,0.42,0.08,0.06
4.0,0.25,7,100,4.855728361084131,1.5801591133713375,0.2,0.18,0.2
4.0,0.25,10,100,5.822119068614237,1.7616642966110796,0.17,0.24,0.3
4.0,0.25,15,100,5.338750618754993,1.674991659072384,0.06,0.15,0.09
4.0,0.25,20,100,5.257766584102733,1.6597063327971566,0.14,0.18,0.12
4.0,0.5,7,100,5.221449682769931,1.652775080344052,0.13,0.32,0.25
4.0,0.5,10,100,5.504840494208626,1.7056277950425387,0.09,0.16,0.18
4.0,0.5,15,100,5.588627450384942,1.7207337204141937,0.1,0.29,0.23
4.0,0.5,20,100,5.90025701401731,1.7749959116607397,0.11,0.22,0.16
4.0,0.75,7,100,5.689465522596028,1.7386163109663568,0.12,0.44,0.44
