beta,gamma_over_eta,n,repeat_id,cohort_delta,orig_best_delta,orig_best_loss,extended_best_delta,extended_best_loss,migrated,loss_improvement,rel_improvement
1.5,0.1,10,77,0.5,0.5,0.2110433793589354,1.0,0.1579129196288794,True,0.053130459730056,0.2517513692750985
1.5,0.1,10,80,0.5,0.5,0.2172894760175016,1.0,0.1962061048307706,True,0.0210833711867309,0.0970289568236281
1.5,0.1,10,88,0.5,0.5,0.6031032660515294,1.0,0.4150741312730829,True,0.1880291347784465,0.3117693857130948
1.5,0.1,10,94,0.5,0.5,0.0232645533657823,0.72,0.0132782994103496,True,0.0099862539554326,0.4292476110940738
1.5,0.1,10,104,0.5,0.5,0.04304213364737,0.6,0.0387694264112249,True,0.004272707236145,0.0992680165706921
1.5,0.1,10,112,0.5,0.5,0.0652242254762031,1.0,0.028877238201814,True,0.0363469872743891,0.5572620756937959
1.5,0.1,10,114,0.5,0.5,0.017177613209789,0.72,0.0119984210000636,True,0.0051791922097253,0.3015082565006116
1.5,0.1,10,120,0.5,0.5,0.0324073456479938,0.68,0.0289944261271584,True,0.0034129195208354,0.1053131459116178
1.5,0.1,10,132,0.5,0.5,0.013016540436663,0.64,0.0115978167185746,True,0.0014187237180884,0.1089939162400154
1.5,0.1,10,134,0.5,0.5,0.0233402945248215,0.68,0.016765903921982,True,0.0065743906028394,0.2816755630845984
1.5,0.1,10,136,0.5,0.5,0.0382213033327304,1.0,0.0282090093305508,True,0.0100122940021795,0.2619558499881302
1.5,0.1,10,158,0.5,0.5,0.2903495535633982,0.86,0.1180240367601229,True,0.1723255168032753,0.5935105278735957
1.5,0.1,10,167,0.5,0.5,0.1916431694114056,1.0,0.1403430425280134,True,0.0513001268833922,0.2676856526687097
1.5,0.1,10,179,0.5,0.5,0.0938702100021345,0.56,0.0881863648537417,True,0.0056838451483928,0.0605500418957575
1.5,0.1,10,184,0.5,0.5,0.0984218802537068,1.0,0.076629665306675,True,0.0217922149470318,0.2214163648454689
1.5,0.1,10,185,0.5,0.5,0.0243734070451616,0.7,0.0110889749324008,True,0.0132844321127608,0.545037962404929
1.5,0.1,10,200,0.5,0.5,0.0307029001400735,0.68,0.0245996725114997,True,0.0061032276285738,0.1987834243908391
1.5,0.1,10,202,0.5,0.5,0.0673399161740342,0.62,0.0669811184917166,True,0.0003587976823175,0.0053281575431466
1.5,0.1,10,206,0.5,0.5,0.0656166699647732,0.96,0.0061583812917062,True,0.0594582886730669,0.906146086123962
1.5,0.1,10,219,0.5,0.5,0.1303881861751013,1.0,0.0517306982298712,True,0.0786574879452301,0.6032562477677167
1.5,0.1,10,220,0.5,0.5,0.2281901855223938,1.0,0.2247512565749041,True,0.0034389289474896,0.0150704507278301
1.5,0.1,10,238,0.5,0.5,0.1230554020154173,1.0,0.0956983369778438,True,0.0273570650375735,0.2223150271301869
1.5,0.1,10,245,0.5,0.5,0.0145533797927355,0.9,0.0025937503502984,True,0.0119596294424371,0.8217767702597057
1.5,0.1,10,250,0.5,0.5,0.0558208086790562,0.5,0.0558208086790562,False,0.0,0.0
1.5,0.1,10,269,0.5,0.5,0.0259017866303162,0.82,0.0141025127631937,True,0.0117992738671224,0.4555389956502937
1.5,0.1,10,270,0.5,0.5,0.1483335373408444,1.0,0.0940228820348663,True,0.0543106553059781,0.3661387456916217
1.5,0.1,10,271,0.5,0.5,0.0871531085911268,0.92,0.0348391185416632,True,0.0523139900494635,0.6002538623710053
1.5,0.1,10,294,0.5,0.5,0.2033244905484963,1.0,0.0482699759281853,True,0.155054514620311,0.7625963512906375
1.5,0.1,10,301,0.5,0.5,0.2202427715239,1.0,0.1776770095708757,True,0.0425657619530242,0.193267464164676
1.5,0.1,10,302,0.5,0.5,0.0166622024917417,0.8,0.0020445062970567,True,0.014617696194685,0.8772967560519047
1.5,0.1,10,316,0.5,0.5,0.0461332264985837,0.7,0.0284176940981844,True,0.0177155324003992,0.3840080944900554
1.5,0.1,10,321,0.5,0.5,0.047173738092721,0.64,0.039356842454625,True,0.007816895638096,0.1657043930402924
1.5,0.1,10,332,0.5,0.5,0.128370410937191,0.58,0.1253221433618723,True,0.0030482675753186,0.0237458737809145
