beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status,cohort
1.5,1.0,0.1,0.1,7,14,0.72,1.325206152370218,1.2605487704175486,0.26364883735865996,0.9012115316823534,True,40.32130000086909,success,0.5
1.5,1.0,0.1,0.1,7,14,0.74,1.3204018485541074,1.255464565229324,0.2669986908520794,0.8988058355292577,True,41.9835000011517,success,0.5
1.5,1.0,0.1,0.1,7,14,0.76,1.3158166567009126,1.2504351412672527,0.2702721619734653,0.8962783641682766,True,38.44790000039211,success,0.5
1.5,1.0,0.1,0.1,7,14,0.78,1.3114518969026203,1.2454494091406658,0.2734753277449672,0.8936168850078429,True,38.86349999993399,success,0.5
1.5,1.0,0.1,0.1,7,14,0.8,1.3072912311885454,1.2405025545457786,0.2766139376859539,0.8908140530783,True,35.06770000058168,success,0.5
1.5,1.0,0.1,0.1,7,14,0.82,1.3033340353480845,1.235585147871496,0.27969345933438755,0.8878565125721326,True,35.390600000027916,success,0.5
1.5,1.0,0.1,0.1,7,14,0.84,1.2995734209154268,1.2306901691874967,0.28271913054549136,0.8847318788072459,True,38.04169999966689,success,0.5
1.5,1.0,0.1,0.1,7,14,0.86,1.2960048401804076,1.2258101475365666,0.2856960042419453,0.8814256832005699,True,36.842800000158604,success,0.5
1.5,1.0,0.1,0.1,7,14,0.88,1.2926245630840436,1.220937575920251,0.2886289935836139,0.8779216170984201,True,40.07629999978235,success,0.5
1.5,1.0,0.1,0.1,7,14,0.9,1.2894296331608888,1.216064849704862,0.2915229159843698,0.8742012421134595,True,37.299899999197805,success,0.5
1.5,1.0,0.1,0.1,7,14,0.92,1.2864181085458406,1.211184101026428,0.2943825441016831,0.8702435101902315,True,36.51250000075379,success,0.5
1.5,1.0,0.1,0.1,7,14,0.94,1.2835888439437009,1.2062872141865861,0.29721263980242485,0.8660244230474579,True,36.91699999944831,success,0.5
1.5,1.0,0.1,0.1,7,14,0.96,1.2809399401780857,1.2013661742629504,0.30001802615854095,0.8615171713762241,True,37.61350000058883,success,0.5
1.5,1.0,0.1,0.1,7,14,0.98,1.2784758800160148,1.1964107847349237,0.3028036306981962,0.856688187962799,True,36.95760000118753,success,0.5
1.5,1.0,0.1,0.1,7,14,1.0,1.2761974793565325,1.1914116691492274,0.30557455668190775,0.8515008249826528,True,35.240900000644615,success,0.5
1.5,1.0,0.1,0.1,7,16,0.52,1.5251741895300834,1.2761802599146836,0.2844873717504661,0.8971089504947285,True,35.845899999912945,success,0.5
1.5,1.0,0.1,0.1,7,16,0.54,1.5131415949725966,1.268644668427884,0.2905866849024018,0.8944527108912979,True,34.195599999293336,success,0.5
1.5,1.0,0.1,0.1,7,16,0.56,1.5018906649634636,1.2613599280844927,0.29639911550995357,0.891685259182715,True,33.774800000173855,success,0.5
1.5,1.0,0.1,0.1,7,16,0.58,1.4913566693230746,1.2542973276165719,0.3019527488776524,0.8887973320660574,True,33.472400000391644,success,0.5
1.5,1.0,0.1,0.1,7,16,0.6,1.4814944099172747,1.247427847323472,0.3072726424623551,0.8857757204432398,True,32.81279999828257,success,0.5
1.5,1.0,0.1,0.1,7,16,0.62,1.4722614435784178,1.2407258204423501,0.31238130978137757,0.8826065043584526,True,32.023099998696125,success,0.5
1.5,1.0,0.1,0.1,7,16,0.64,1.463623023817556,1.2341669650683744,0.31729912812743416,0.87927343191243,True,34.26220000073954,success,0.5
1.5,1.0,0.1,0.1,7,16,0.66,1.455546171485538,1.227729414886038,0.3220446859137654,0.8757589951932714,True,34.972399998878245,success,0.5
1.5,1.0,0.1,0.1,7,16,0.68,1.448004880701535,1.221391813743463,0.32663509748036307,0.8720425118110888,True,35.872200000085286,success,0.5
1.5,1.0,0.1,0.1,7,16,0.7,1.4409761860131503,1.215133942917376,0.3310862683850984,0.8681005926476233,True,41.846199999781675,success,0.5
1.5,1.0,0.1,0.1,7,16,0.72,1.4344450748314936,1.2089350022271197,0.33541314425527735,0.8639048683658923,True,35.120099999403465,success,0.5
1.5,1.0,0.1,0.1,7,16,0.74,1.4283946134906964,1.202775875207229,0.33962994835858723,0.8594242460175953,True,35.99229999963427,success,0.5
1.5,1.0,0.1,0.1,7,16,0.76,1.4228159768803548,1.1966360706312063,0.34375041104393456,0.8546206325491621,True,32.339700001102756,success,0.5
1.5,1.0,0.1,0.1,7,16,0.78,1.417703583121086,1.1904946399086485,0.3477880116496346,0.8494490813429991,True,34.56729999925301,success,0.5
1.5,1.0,0.1,0.1,7,16,0.8,1.413056387475971,1.1843294148795869,0.3517562392654777,0.8438555631741371,True,34.61809999862453,success,0.5
1.5,1.0,0.1,0.1,7,16,0.82,1.4088784220523485,1.1781163852699426,0.3556688945114451,0.8377743574658912,True,35.06990000096266,success,0.5
1.5,1.0,0.1,0.1,7,16,0.84,1.405179622106109,1.1718289015593581,0.3595404557870671,0.8311244467853126,True,35.18170000097598,success,0.5
1.5,1.0,0.1,0.1,7,16,0.86,1.4019770656446184,1.1654366071653997,0.36338655050141666,0.8238044107367667,True,34.85009999894828,success,0.5
1.5,1.0,0.1,0.1,7,16,0.88,1.8435935772291634,0.9073475757589129,0.4846153489422546,-633.883228486102,True,40.06499999923108,success,0.5
1.5,1.0,0.1,0.1,7,16,0.9,1.8435935772291634,0.9073475757589129,0.4846153489422546,-633.883228486102,True,44.08779999903345,success,0.5
1.5,1.0,0.1,0.1,7,16,0.92,1.8435935772291634,0.9073475757589129,0.4846153489422546,-633.883228486102,True,41.008899999724235,success,0.5
1.5,1.0,0.1,0.1,7,16,0.94,1.8435935772291634,0.9073475757589129,0.4846153489422546,-633.883228486102,True,49.59659999985888,success,0.5
1.5,1.0,0.1,0.1,7,16,0.96,1.8435935772291634,0.9073475757589129,0.4846153489422546,-633.883228486102,True,41.688900000735885,success,0.5
1.5,1.0,0.1,0.1,7,16,0.98,1.8435935772291634,0.9073475757589129,0.4846153489422546,-633.883228486102,True,42.52559999986261,success,0.5
1.5,1.0,0.1,0.1,7,16,1.0,1.8435935772291634,0.9073475757589129,0.4846153489422546,-633.883228486102,True,45.3600999990158,success,0.5
1.5,1.0,0.1,0.1,7,35,0.52,1.517477289759532,0.8864656863393173,0.016222552304384935,0.9677648048566552,True,32.86699999989651,success,0.5
1.5,1.0,0.1,0.1,7,35,0.54,1.5056743963609671,0.8816702672626776,0.020221054985439777,0.9665235009839352,True,34.9543000011181,success,0.5
1.5,1.0,0.1,0.1,7,35,0.56,1.4943948696616096,0.8770315338626913,0.024059823416665804,0.9652466523691737,True,33.150499999464955,success,0.5
1.5,1.0,0.1,0.1,7,35,0.58,1.4836032968755306,0.8725386857449717,0.02774975246453905,0.9639333065498535,True,33.69439999914903,success,0.5
1.5,1.0,0.1,0.1,7,35,0.6,1.473275657392312,0.8681801385010139,0.03130084230995466,0.9625815356754228,True,36.559300000590156,success,0.5
1.5,1.0,0.1,0.1,7,35,0.62,1.4633852012450215,0.8639460883783362,0.0347222972683403,0.9611896844857903,True,33.515999999508495,success,0.5
1.5,1.0,0.1,0.1,7,35,0.64,1.4539084269841291,0.8598272404669786,0.03802260272906644,0.959755798438224,True,33.032299999831594,success,0.5
1.5,1.0,0.1,0.1,7,35,0.66,1.444822763825986,0.8558151111871873,0.04120961781339909,0.9582778192477993,True,34.096299999873736,success,0.5
1.5,1.0,0.1,0.1,7,35,0.68,1.4361114761951899,0.8519009939715673,0.04429061560742564,0.9567529749444904,True,33.150500001283945,success,0.5
1.5,1.0,0.1,0.1,7,35,0.7,1.4277531600419529,0.8480779383982302,0.0472723509690522,0.9551790047198144,True,35.82679999999527,success,0.5
1.5,1.0,0.1,0.1,7,35,0.72,1.4197318563848373,0.8443386531411996,0.0501611140044882,0.9535529047944343,True,33.75840000080643,success,0.5
1.5,1.0,0.1,0.1,7,35,0.74,1.412032027658042,0.8406764462421136,0.0529627679067196,0.9518715021339407,True,33.566699999937555,success,0.5
1.5,1.0,0.1,0.1,7,35,0.76,1.4046393179010197,0.8370849753263038,0.055682807722682776,0.9501313077763862,True,35.58280000106606,success,0.5
