budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,n_train_per_n,n,beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,0.75,1500,1500,0.0,1.3421788023617702,0.9474089694046048,0.35832880102758574,1.0128660746948395,0.5509604388048571,0.61927661815998,0.8287371512776751,-0.2572314492100616,0.15029313542331008,0.297894253609746,-0.10723552164436292,0.3997210494397497,0.4137267897086715
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,1.0,1500,1500,0.0,0.8395771934292177,0.6446188413245636,0.22542646072225364,0.6828738256258782,0.24283606931501006,0.3667740260565192,0.43977592092558465,-0.17326963410688523,0.1231181573090906,0.21253315359165434,0.017101858912027163,0.3459576368474404,0.3462648826360878
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,1.25,1500,1500,0.0,0.5649226069563962,0.41021108089543307,0.1860828675222402,0.4504185608064743,0.12650595134784573,0.26093541408913923,0.28990628576388294,-0.12242604116226302,0.13129498886386146,0.17948542393750283,0.046199173938545814,0.34953871098075134,0.3524630797776884
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,1.5,1500,1500,0.0,0.42019472174805916,0.25508729000342145,0.17212612020297358,0.307696563478666,0.06102337731007042,0.22994141547466437,0.23782695058757697,-0.07722174591714075,0.13919227301104597,0.15913758381527082,0.05713139025604731,0.2959554432509588,0.30132246358267695
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,1.75,1500,1500,0.0,0.33530123205445916,0.13514720171661124,0.1706968466641411,0.21767580171117853,0.014671242442127039,0.2051267863885055,0.20558256861062382,-0.04790023822327267,0.1431754251369788,0.150930345027407,0.03934799708106836,0.2640788823650216,0.26690715467126375
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,2.0,1500,1500,0.0,0.2975949603822596,0.046786500530646105,0.16359558576527738,0.1701018811477417,-0.01225037863717615,0.19089781638529346,0.19122696835582656,-0.01634207546594533,0.15102483002477646,0.15185636979843137,0.032291320014450446,0.23788923246894864,0.23999226810113006
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,2.25,1500,1500,0.0,0.2843448831628754,-0.028973940093813464,0.1489969385514755,0.15173917372849674,-0.041965832650372355,0.18328616640926795,0.18796955611972627,0.001130968140092127,0.15002802480138624,0.14998227131649727,0.004724866050848206,0.20939731102957648,0.20938081749857454
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,2.5,1500,1500,0.0,0.2907227210464289,-0.08508578896884816,0.13760296703924704,0.16174530896267172,-0.06210631762526133,0.1744430146095286,0.1851142164308278,0.026982887214063698,0.15289994057734527,0.15521237848963665,-0.0013762771097959644,0.1922387632083929,0.19217960104337012
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,2.75,1500,1500,0.0,0.31377828694001475,-0.13760931316413577,0.12896648530218455,0.1885672006592954,-0.078943907346159,0.17218338846247483,0.18936603450282075,0.0509656306547661,0.15639226116425045,0.16443761481851946,-0.006199490478340491,0.18250474332071961,0.18254919801484498
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,3.0,1500,1500,0.0,0.33220732499427985,-0.18184377784238373,0.11447486605421284,0.21485557513862208,-0.09250619471545646,0.1678763003516913,0.19162739882132032,0.06562609293164912,0.1522708184802611,0.16576407521740544,-0.020014933945496225,0.16175679856279407,0.1629368465209943
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,3.25,1500,1500,0.0,0.35814280969904344,-0.22482762072012535,0.10360865342269496,0.24753798819715314,-0.11156575776825318,0.16363568744016488,0.19800430656499335,0.07698935823575245,0.14789432598886568,0.16668986507927658,-0.03992010963011186,0.14353158046887093,0.1489335272362949
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,3.5,1500,1500,0.0,0.3860061203922539,-0.25899186487419484,0.09188962313882074,0.2747996720820108,-0.12109348833348721,0.16168833198339555,0.20196366225605722,0.09883387304100609,0.1514717982844258,0.18082185800400297,-0.03538797367018768,0.13824008729889245,0.14265304133595036
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,3.75,1500,1500,0.0,0.4126698749961529,-0.294352099636235,0.08022871691442983,0.30508279938400973,-0.12963279900237726,0.1603525120490641,0.2061563696458484,0.10649489005957055,0.15295390643370205,0.1863342762451418,-0.04995192126071047,0.12746774780750134,0.1368663185408749
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,4.0,1500,1500,0.0,0.4392623213712808,-0.3261311727400866,0.0730488120895221,0.33420669257394603,-0.14165530641461044,0.1581809221515735,0.21229872624531734,0.11528456536125971,0.1513646841828153,0.1902275596486643,-0.06211379421506966,0.12103360805496229,0.13600548379045255
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,4.25,1500,1500,0.0,0.46623477859311185,-0.3560996321286686,0.06430898564378905,0.36185609921571926,-0.14982838532765896,0.15650862209663594,0.21662678475807337,0.12629090033351248,0.1535388972773126,0.19876586315444336,-0.06760374367687894,0.11408852970067726,0.13258122531735766
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,4.5,1500,1500,0.0,0.48921702227240366,-0.38073315835643023,0.0566396154453253,0.3849203102104361,-0.15569317786862263,0.1578825089079311,0.22169942338553975,0.13821587845642494,0.1514287733464657,0.2049854027463867,-0.07167359186919443,0.10734847167145513,0.12904695145068557
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,4.75,1500,1500,0.0,0.5153770323649959,-0.4075695129388467,0.05334566687698194,0.4110435145800369,-0.16639700900168558,0.1560634874988698,0.22809546143430837,0.14495232887138962,0.15373273325608852,0.21125618354053188,-0.08159922269400158,0.10203848438267789,0.1306267361779963
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,5.0,1500,1500,0.0,0.5362150244673701,-0.42919749990055894,0.044950467750455185,0.4315433830360215,-0.17264645677917306,0.15536597226527427,0.23222681151432872,0.15300024447255917,0.15483693749361563,0.21764091765165952,-0.08565864138041877,0.09451991904348198,0.12753612009568732
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,5.25,1500,1500,0.0,0.5578682442190793,-0.4514052435795552,0.040406226020859186,0.4532088575814674,-0.17905057244124123,0.15533215106611767,0.23700442878054723,0.15863676449139255,0.15651938928037723,0.22281743660716055,-0.093410015672697,0.0894119520628421,0.12928495092190873
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,5.5,1500,1500,0.0,0.5773176720391369,-0.47245863145365075,0.03667053743347759,0.47387866618489266,-0.1835108665450871,0.15585208765395908,0.24072789227135422,0.16278560850717094,0.15589045176348718,0.2253548004061744,-0.1015356539389409,0.081675241195276,0.1302915454475027
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,10,5.75,1500,1500,0.0,0.5947432663610902,-0.4915687755130778,0.03488561098831191,0.4928042771488682,-0.18702766865492285,0.15571884056517807,0.24333421579778086,0.1672871009183141,0.15389207617072778,0.22727066842802043,-0.10938685428376933,0.0777162657339382,0.134168831344766
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,0.75,1500,1500,0.0,1.0182151378091857,0.6260592380416133,0.42654645951515274,0.7574765719638291,0.4498069681651049,0.4567019282799538,0.6409086587054732,-0.20332380235114106,0.10437478198111998,0.22853315073760405,-0.2161055776371937,0.3064993720466222,0.3749411391683174
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,1.0,1500,1500,0.0,0.670717127297888,0.4662314692477492,0.25610593426405653,0.5319006539280965,0.20430712714814733,0.30237080337143896,0.3648404485066465,-0.15549082315154034,0.09830387930211068,0.18394185585413572,-0.08338896416569479,0.2592931503630744,0.27228998367785273
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,15,1.25,1500,1500,0.0,0.4885735212329703,0.3113406416542926,0.21147422620399473,0.3763303459223725,0.11942489224524905,0.2405246861473633,0.2684694795521075,-0.11565837910026563,0.10786375978350661,0.1581255669932971,-0.019206408576763173,0.25447095937479325,0.2551101428457294
