budget_policy,domain_id,domain_label,probe_type,beta,J1,beta_rmse,eta_rmse,gamma_rmse,x095_rmse,failure_rate,n_total,n_valid
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",seen_grid_center,3.0,0.32977031842151816,0.21574193232606584,0.18671762511039985,0.16534935748643503,0.15395264139391698,0.0,6000,6000
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",in_domain_unseen_center,3.25,0.3274150650871124,0.2142597836933213,0.18455174322669227,0.16502734321826273,0.14345949913177405,0.0,6000,6000
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",near_ood_low,1.25,0.5520784345135391,0.4410698872859793,0.28966236979329446,0.16230731317530467,0.3570326412757626,0.0,6000,6000
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",near_ood_high,5.25,0.4123645176250772,0.301753067296409,0.20267382255230873,0.1947123607411885,0.10008104902180902,0.0,6000,6000
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",far_ood_low,0.75,1.1564445777755326,0.865844805367559,0.7280838474034258,0.2067459466477842,0.4402015367183588,0.01100000000000001,6000,5934
fixed_density,wide_1.5_5.0,"[1.5, 5.0]",far_ood_high,5.75,0.4469738874787989,0.33707355008790013,0.2121758750038556,0.2028508712956345,0.09734289842030085,0.0,6000,6000
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",seen_grid_center,2.5,0.22546178146326362,0.07493753582864152,0.16146961989850728,0.13836525024134894,0.17646871489751903,0.0,6000,6000
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",in_domain_unseen_center,2.25,0.23031264880571792,0.07812543004220457,0.16823765382105735,0.13651529297999052,0.2005305440998541,0.0,6000,6000
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",near_ood_low,1.75,0.4031785689286061,0.2887321385090569,0.2300386269475503,0.16207695933534585,0.26993196306459444,0.0,6000,6000
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",near_ood_high,3.25,0.3409070919918738,0.23328470962471334,0.18482489582107559,0.16623972903730816,0.1389535973352079,0.0,6000,6000
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",far_ood_low,1.25,0.8423847523023228,0.673878694131438,0.4375362571374879,0.2531039316116439,0.4067085300811589,0.0,6000,6000
fixed_total,narrow_2.0_3.0,"[2.0, 3.0]",far_ood_high,3.75,0.42187495703349626,0.31840764623618856,0.20201056040068077,0.1891739508414079,0.1270236395726291,0.0,6000,6000
fixed_total,medium_1.5_3.5,"[1.5, 3.5]",seen_grid_center,2.5,0.28787323867874415,0.1666351582068315,0.18094526534157415,0.14954108648542305,0.1771002031994021,0.0,6000,6000
fixed_total,medium_1.5_3.5,"[1.5, 3.5]",in_domain_unseen_center,2.25,0.28264187589993234,0.15836446652124916,0.18378005316765653,0.1450241973374315,0.19641319435378563,0.0,6000,6000
fixed_total,medium_1.5_3.5,"[1.5, 3.5]",near_ood_low,1.25,0.5215365796272231,0.40941605719099483,0.28172554110056214,0.15300193927540492,0.3525147343010492,0.0006666666666667043,6000,5996
fixed_total,medium_1.5_3.5,"[1.5, 3.5]",near_ood_high,3.75,0.3999164483473315,0.2940976506505459,0.19808366549304318,0.18493944686143485,0.12835536051512889,0.0,6000,6000
