fold,feature_group,n_features,seed,pooled_J1,n_samples,n_iter,endpoint_rate,near_1pct,near_2pct,near_5pct,mean_regret,J1_n7,J1_n10,J1_n20,elapsed_s
combo_fold_5,full,13,42,0.5488805170538756,9000,63,0.4632222222222222,0.31166666666666665,0.3407777777777778,0.3927777777777778,0.05264001473135957,0.6527898526550906,0.5319200449081493,0.44128895306754207,285.2848255634308
combo_fold_5,full,13,2026,0.5484502367226548,9000,48,0.4862222222222222,0.3612222222222222,0.38666666666666666,0.43822222222222224,0.052167854891165814,0.6533819887632539,0.5364394535480533,0.4332639794862357,151.24124336242676
combo_fold_5,full,13,3407,0.5442841366931346,9000,108,0.4935555555555556,0.41244444444444445,0.43633333333333335,0.4767777777777778,0.04761541418582052,0.6496645784708804,0.5289022667549591,0.43235863824965015,513.8911747932434
combo_fold_5,n,1,42,0.6384369977628762,9000,56,0.0,0.08544444444444445,0.11255555555555556,0.175,0.15897199284250457,0.7297046000818417,0.6183876229987293,0.5549174214951316,379.67073678970337
combo_fold_5,n,1,2026,0.6378807176740118,9000,37,0.0,0.08444444444444445,0.11177777777777778,0.17266666666666666,0.15826200271034194,0.7197780432447931,0.6183876229987293,0.5658548808003823,192.60497951507568
combo_fold_5,n,1,3407,0.6332813072101692,9000,41,0.0,0.098,0.128,0.1942222222222222,0.1524154067918503,0.7297046000818417,0.6183876229987293,0.5369018406811833,219.914400100708
combo_fold_5,scale_quantile,10,42,0.5527912395102499,9000,150,0.5933333333333334,0.3665555555555556,0.3932222222222222,0.4401111111111111,0.05694834720930816,0.6570407847830194,0.5415180730816922,0.43793840559539915,870.2300450801849
combo_fold_5,scale_quantile,10,2026,0.5523365260713836,9000,52,0.3874444444444444,0.21144444444444443,0.2584444444444444,0.33655555555555555,0.056445830762633854,0.648099091445697,0.5369738341642389,0.4548115908681649,224.9898178577423
combo_fold_5,scale_quantile,10,3407,0.5547786084018163,9000,131,0.4371111111111111,0.34844444444444445,0.3751111111111111,0.42477777777777775,0.059149497070285446,0.6605046641631059,0.5412490361622115,0.4405916278063247,678.9324691295624
combo_fold_5,shape,4,42,0.5749860701135652,9000,124,0.20133333333333334,0.18966666666666668,0.21955555555555556,0.27955555555555556,0.08197917355467141,0.6588171408003496,0.5452457623531504,0.5103861049220574,1001.4478476047516
combo_fold_5,shape,4,2026,0.5694375562925648,9000,89,0.4288888888888889,0.305,0.33144444444444443,0.37533333333333335,0.07562932324647757,0.6567785558105129,0.5445854394710548,0.4948191783802632,694.0125479698181
combo_fold_5,shape,4,3407,0.5760533613015231,9000,50,0.3108888888888889,0.217,0.2451111111111111,0.3035555555555556,0.0832076677968127,0.6637881324949401,0.5487006790786927,0.5038107830702022,306.5791971683502
