quantile,R,bias,rmse,mae,p95_abs_rel,failure_rate,n_valid,n_total,method,seed,n
x0.90,0.9,0.024829558166074482,0.16874393114035266,0.11746116917897151,0.34174137614830846,0.0,12000,12000,Mean-Normalized,2026,10
x0.90,0.9,0.016634703408854052,0.13450237424442002,0.09349927104335251,0.26713834170054074,0.0,12000,12000,Mean-Normalized,2026,15
x0.90,0.9,0.01133367059573522,0.11322178976643599,0.08031173672244488,0.23089817895531145,0.0,12000,12000,Mean-Normalized,2026,20
x0.95,0.95,0.08521642473503145,0.28416121463205746,0.1886489583449264,0.5414657513101393,0.0,12000,12000,Mean-Normalized,2026,7
x0.95,0.95,0.05757429910470775,0.22344817221414073,0.15114829436676128,0.4401768548224645,0.0,12000,12000,Mean-Normalized,2026,10
x0.95,0.95,0.04196549351722718,0.1764089133060671,0.11918753922993945,0.35242463267463825,0.0,12000,12000,Mean-Normalized,2026,15
x0.95,0.95,0.03162730303945615,0.14633462792630664,0.10159042927257021,0.30131781366482313,0.0,12000,12000,Mean-Normalized,2026,20
x0.99,0.99,0.21063512427884404,0.49462137480381546,0.3151205830831202,0.9656257286064364,0.0,12000,12000,Mean-Normalized,2026,7
x0.99,0.99,0.15152643707973762,0.39278459932739856,0.25464168444366775,0.7647390693401592,0.0,12000,12000,Mean-Normalized,2026,10
x0.99,0.99,0.11853309577498063,0.31164810433572065,0.20315063011868179,0.6338455671429335,0.0,12000,12000,Mean-Normalized,2026,15
x0.99,0.99,0.09386013353646555,0.25982496704434094,0.1733240191030092,0.5362769838300357,0.0,12000,12000,Mean-Normalized,2026,20
x0.90,0.9,0.035897230258811086,0.20913708258694017,0.1447218248350507,0.4133195599121358,0.0,12000,12000,Mean-Normalized,3407,7
x0.90,0.9,0.025678187946909223,0.16917745679924337,0.1175522456606573,0.34146015084772807,0.0,12000,12000,Mean-Normalized,3407,10
x0.90,0.9,0.015994526884455847,0.13413687612286246,0.09330122064763216,0.26586357257190857,0.0,12000,12000,Mean-Normalized,3407,15
x0.90,0.9,0.011342244734848649,0.1131556136114875,0.08025675806248402,0.2304788962520492,0.0,12000,12000,Mean-Normalized,3407,20
x0.95,0.95,0.07765061228561211,0.2803156303813219,0.1875729738644023,0.5354018317300664,0.0,12000,12000,Mean-Normalized,3407,7
x0.95,0.95,0.05986619697119266,0.2239112109985416,0.1512858638616522,0.43936953227027004,0.0,12000,12000,Mean-Normalized,3407,10
x0.95,0.95,0.039830245232158216,0.17543265807362393,0.11883698098661342,0.35221686182822054,0.0,12000,12000,Mean-Normalized,3407,15
x0.95,0.95,0.03198418840404936,0.1465307146732086,0.10165203417291165,0.3004607905623635,0.0,12000,12000,Mean-Normalized,3407,20
x0.99,0.99,0.19229381798624695,0.48590431102829795,0.3124721038233864,0.9369878207236069,0.0,12000,12000,Mean-Normalized,3407,7
x0.99,0.99,0.15826176426140648,0.39377042581725513,0.2555129919583557,0.778646090792869,0.0,12000,12000,Mean-Normalized,3407,10
x0.99,0.99,0.1115606782969982,0.30927278270853653,0.20236716322758702,0.6241612182103099,0.0,12000,12000,Mean-Normalized,3407,15
x0.99,0.99,0.09558722487861919,0.2618699709724963,0.17434009262905065,0.5400463523116247,0.0,12000,12000,Mean-Normalized,3407,20
x0.90,,0.049961846437225,0.2110206711661158,0.144441246767981,0.4139651343320549,0.0,12000,12000,LSE,-1,7
x0.95,,0.0881826403152936,0.2873703506255559,0.1936236121402208,0.5569444618184205,0.0,12000,12000,LSE,-1,7
x0.99,,0.1780504672074779,0.5070772560621213,0.3395699707629548,0.9788623823269662,0.0,12000,12000,LSE,-1,7
x0.90,,0.0334522310795826,0.1650185068439597,0.1160146306146309,0.3334490352071077,0.0,12000,12000,LSE,-1,10
x0.95,,0.0614939356035542,0.2211193148477153,0.1523552709858071,0.4342229006803582,0.0,12000,12000,LSE,-1,10
x0.99,,0.1291087077826374,0.3990401970213659,0.2703572992193886,0.7760976096511603,0.0,12000,12000,LSE,-1,10
x0.90,,0.0209667717943722,0.1339092311380925,0.0944338803244984,0.2669234841808883,0.0,12000,12000,LSE,-1,15
x0.95,,0.0402686093038085,0.174937632088994,0.1214538115518929,0.3432171985376621,0.0,12000,12000,LSE,-1,15
x0.99,,0.0872751826153173,0.3143961141544545,0.2135284990688355,0.6039438543640262,0.0,12000,12000,LSE,-1,15
x0.90,,0.0157633626335951,0.1093704435624486,0.0781484550116561,0.2242965942046727,0.0,12000,12000,LSE,-1,20
x0.95,,0.0295827728235766,0.1412528563036661,0.0996161336339219,0.29235598423565,0.0,12000,12000,LSE,-1,20
x0.99,,0.0631033439316948,0.2588552837877171,0.1789488561205838,0.5172812000539126,0.0,12000,12000,LSE,-1,20
x0.90,,0.0172007411085482,0.1985671993420716,0.1408002674855074,0.3865797059530889,8.333333333333333e-05,11999,12000,WMLE,-1,7
x0.95,,0.0236643180830844,0.2513481736976257,0.1798541221617678,0.4741121817580119,8.333333333333333e-05,11999,12000,WMLE,-1,7
x0.99,,0.0422327227128372,0.3978599534548738,0.2906686804258281,0.7201081391928263,8.333333333333333e-05,11999,12000,WMLE,-1,7
x0.90,,0.0151282807955072,0.1616519393967548,0.1172533666596895,0.3228887124473928,0.0,12000,12000,WMLE,-1,10
x0.95,,0.0226193456264385,0.2074447659963001,0.1518790104994688,0.4085214983090472,0.0,12000,12000,WMLE,-1,10
x0.99,,0.0446996793121691,0.3445089212406819,0.2556654198214653,0.6638225274758087,0.0,12000,12000,WMLE,-1,10
x0.90,,0.0102325189321799,0.1333961530630511,0.0962622354118485,0.2649181364678595,0.0,12000,12000,WMLE,-1,15
x0.95,,0.0148540725749222,0.1727748418840713,0.1261316574281892,0.3474507575359246,0.0,12000,12000,WMLE,-1,15
x0.99,,0.0307284353294528,0.2957722668535991,0.2187492390495463,0.5886286019353002,0.0,12000,12000,WMLE,-1,15
x0.90,,0.0093748311133993,0.1111272223303408,0.0807852629912976,0.22974948300532,0.0,12000,12000,WMLE,-1,20
x0.95,,0.013101312013372,0.147128580606404,0.1078142909385092,0.3094037784588763,0.0,12000,12000,WMLE,-1,20
x0.99,,0.0268034825100001,0.2647580040014898,0.1935977248198004,0.5580444179569641,0.0,12000,12000,WMLE,-1,20
