beta,eta,gamma,gamma_over_eta,n,repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
2.0,1.0,0.1,0.1,7,7,2.746923177946675,1.0237767063665615,0.0,0.1812122543944975,True,11.40700001269579,success
2.0,1.0,0.1,0.1,7,8,0,0,0,0,False,22.118200082331896,failure
2.0,1.0,0.1,0.1,7,9,0,0,0,0,False,132.84690002910793,failure
2.0,1.0,0.1,0.1,10,0,3.1099451516346557,1.351728639338356,0.0,0.7570636862643223,True,7.729199947789311,success
2.0,1.0,0.1,0.1,10,1,2.0951276569013046,1.0669107984427528,0.21607460322662703,0.8270494433741318,True,10.200700024142861,success
2.0,1.0,0.1,0.1,10,2,1.8780905649694923,0.5810490864533098,0.27124123971198094,0.8712103698554857,True,8.757200092077255,success
2.0,1.0,0.1,0.1,10,3,1.3359276782145981,0.4212413559474719,0.394792866929111,0.7601609187940139,True,9.23009985126555,success
2.0,1.0,0.1,0.1,10,4,1.6901129785364455,0.971498270858545,0.04201738953393375,0.8543513228742083,True,7.863500155508518,success
2.0,1.0,0.1,0.1,10,5,2.3153419021904185,1.209491456016908,0.0,0.8349118126422843,True,7.120799971744418,success
2.0,1.0,0.1,0.1,10,6,0,0,0,0,False,126.74259999766946,failure
2.0,1.0,0.1,0.1,10,7,0,0,0,0,False,21.275700069963932,failure
2.0,1.0,0.1,0.1,10,8,0,0,0,0,False,21.393700037151575,failure
2.0,1.0,0.1,0.1,10,9,0,0,0,0,False,20.454399986192584,failure
2.0,1.0,0.1,0.1,20,0,1.7000619524574945,0.8089270498829693,0.40689989866477505,0.9186673758247441,True,10.580499889329076,success
2.0,1.0,0.1,0.1,20,1,1.741788435189775,0.6664645368595572,0.23555819918661464,0.8886506102712496,True,10.68389997817576,success
2.0,1.0,0.1,0.1,20,2,1.2599243749897107,0.7710263648987141,0.4025127331544124,0.8705929667469806,True,12.394200079143047,success
2.0,1.0,0.1,0.1,20,3,1.3081812024038926,0.575974754994026,0.4094013739989387,0.8428885254719714,True,8.58150003477931,success
2.0,1.0,0.1,0.1,20,4,1.6886842025068791,0.6343870039358308,0.321536976961995,0.9184281812044565,True,8.437600219622254,success
2.0,1.0,0.1,0.1,20,5,2.489796662499431,0.9991604695493221,0.0351562698014139,0.9453716524632927,True,8.461799938231707,success
2.0,1.0,0.1,0.1,20,6,2.314444911709494,1.1691821508449225,0.08016385238588783,0.9480250546691471,True,9.652400156483054,success
2.0,1.0,0.1,0.1,20,7,2.263732920501151,0.883099735763216,0.2277285187979084,0.9427496571957636,True,8.25099996291101,success
2.0,1.0,0.1,0.1,20,8,1.2800308707489085,0.7058253621761983,0.13242615424432483,0.8810783991886254,True,9.58859990350902,success
2.0,1.0,0.1,0.1,20,9,1.2295724864378776,0.6150149873622037,0.3049633384129578,0.8484118891400456,True,9.052499895915389,success
2.5,1.0,0.1,0.1,7,0,3.9792627625912704,1.0244530460534795,0.0,0.2724938264188943,True,9.004099993035197,success
2.5,1.0,0.1,0.1,7,1,0,0,0,0,False,154.37079989351332,failure
2.5,1.0,0.1,0.1,7,2,0,0,0,0,False,141.29900000989437,failure
2.5,1.0,0.1,0.1,7,3,0,0,0,0,False,124.12530020810664,failure
2.5,1.0,0.1,0.1,7,4,4.896521084540374,1.4605350529823022,0.0,0.5662121545694434,True,8.35500005632639,success
2.5,1.0,0.1,0.1,7,5,2.7319395688226003,1.2409922195588277,0.0,0.772419303923361,True,8.377399994060397,success
2.5,1.0,0.1,0.1,7,6,0,0,0,0,False,130.35749993287027,failure
2.5,1.0,0.1,0.1,7,7,0,0,0,0,False,150.86499997414649,failure
2.5,1.0,0.1,0.1,7,8,1.9635472392813278,0.5742874996003475,0.09467852534137902,0.7790051785852071,True,9.290500078350306,success
2.5,1.0,0.1,0.1,7,9,5.599669530040908,0.7410516967467706,0.0,0.8572492050825082,True,8.294099941849709,success
2.5,1.0,0.1,0.1,10,0,1.2908451120419302,0.6448860073439995,0.328820224910953,0.7429053213200691,True,13.023999985307455,success
2.5,1.0,0.1,0.1,10,1,1.5119145788237653,0.5780046132648878,0.590744532767959,0.8288014612877831,True,8.794000139459968,success
2.5,1.0,0.1,0.1,10,2,2.228321181179431,0.7386490768442258,0.08712254144984025,0.8233509949847906,True,7.943699834868312,success
2.5,1.0,0.1,0.1,10,3,3.545825964062556,1.2300922354217185,0.0,0.8155494000849616,True,7.250400027260184,success
2.5,1.0,0.1,0.1,10,4,1.4204614608166652,0.49697312099259316,0.4590090326976132,0.7665160832269016,True,11.927200015634298,success
2.5,1.0,0.1,0.1,10,5,1.381485209400524,0.8027329171575832,0.30652898245069804,0.7809984428801038,True,11.23619987629354,success
2.5,1.0,0.1,0.1,10,6,2.6500994199528947,1.0034969875059976,0.0,0.6991573126045969,True,6.22999994084239,success
2.5,1.0,0.1,0.1,10,7,3.178895981050457,1.2280306374200936,0.0,0.7851481398882689,True,8.336300030350685,success
2.5,1.0,0.1,0.1,10,8,1.2514246984559925,0.4167636670004315,0.4931101259560646,0.7159881493258655,True,9.453800041228533,success
2.5,1.0,0.1,0.1,10,9,4.739159163437016,1.0583307264288124,0.0,0.8942665175732711,True,11.018200078979135,success
2.5,1.0,0.1,0.1,20,0,1.599814969241609,0.7022045787017657,0.39452790519156283,0.9297580277304278,True,9.05880006030202,success
2.5,1.0,0.1,0.1,20,1,1.9401227214016639,0.5793994701582681,0.35035695081286117,0.9021864754726239,True,10.690700029954314,success
2.5,1.0,0.1,0.1,20,2,2.338784588508679,0.9630050761827398,0.05603540550253726,0.9264318809186253,True,10.321399895474315,success
2.5,1.0,0.1,0.1,20,3,3.2273150353469937,1.1393302453302514,0.0,0.8475274762209328,True,12.957100057974458,success
2.5,1.0,0.1,0.1,20,4,2.8438443513996656,1.1704624255930565,0.0,0.9017021189482354,True,7.86269991658628,success
2.5,1.0,0.1,0.1,20,5,1.7429469415812135,0.655580303297679,0.4288833298076155,0.8857518323722403,True,11.410899925976992,success
