beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
1.5,1.0,0.1,0.1,20,6,0.3,1.531519449108922,0.9256146445242207,0.21924858121580398,0.964322879341808,True,99.34900002554059,success
1.5,1.0,0.1,0.1,20,7,0.0,1.5110278091740075,1.1542848030506563,0.0,0.9724505559596456,True,89.08089995384216,success
1.5,1.0,0.1,0.1,20,7,0.1,1.473135260396113,1.1396040351834213,0.012394657987883525,0.9731421236426754,True,95.70700000040233,success
1.5,1.0,0.1,0.1,20,7,0.2,1.4370060713492658,1.1254145169816498,0.024156230118161516,0.9734350284018262,True,99.04160001315176,success
1.5,1.0,0.1,0.1,20,7,0.3,1.4091827573691809,1.1142293461612218,0.033222262864291884,0.9733036027509679,True,110.09579990059137,success
1.5,1.0,0.1,0.1,20,8,0.0,1.9532556723983403,1.1984128309315167,0.0,0.9438723182666904,True,85.17750003375113,success
1.5,1.0,0.1,0.1,20,8,0.1,1.8768270019382791,1.1718202764371923,0.024360714380408263,0.9447148078450984,True,92.14919991791248,success
1.5,1.0,0.1,0.1,20,8,0.2,1.675936106882686,1.1048082458002613,0.08545894567705666,0.9466654405663268,True,96.39879991300404,success
1.5,1.0,0.1,0.1,20,8,0.3,1.569614772232606,1.0711059523460933,0.11596667554652815,0.9471958443350261,True,97.8848000522703,success
1.5,1.0,0.1,0.1,20,9,0.0,1.4036865572290087,0.6793230707083306,0.08697547025967117,0.9787575628769346,True,104.81509985402226,success
1.5,1.0,0.1,0.1,20,9,0.1,1.3810085893215462,0.673492188717154,0.09158624754173596,0.9790432633705479,True,111.79800005629659,success
1.5,1.0,0.1,0.1,20,9,0.2,1.3622512961453275,0.6685806228419995,0.09540145699356199,0.9790854141208307,True,91.5747000835836,success
1.5,1.0,0.1,0.1,20,9,0.3,1.3461815621144562,0.6642750357905276,0.09868301593816642,0.9789411187246321,True,105.52580002695322,success
2.0,1.0,0.1,0.1,7,0,0.0,1.0654753041469185,1.013758667630221,0.3563953031690331,0.9772900555512364,True,105.96690000966191,success
2.0,1.0,0.1,0.1,7,0,0.1,1.0058133012657873,0.9899893506514001,0.37587442354424344,0.9783415338648181,True,110.2791999001056,success
2.0,1.0,0.1,0.1,7,0,0.2,0.9686267132489239,0.9758944341173013,0.38743607881650705,0.9786860898012524,True,98.73359999619424,success
2.0,1.0,0.1,0.1,7,0,0.3,0.9414461471234198,0.9659605288979466,0.3955970702255863,0.9787398860805401,True,99.34869990684092,success
2.0,1.0,0.1,0.1,7,1,0.0,3.6225758842396316,1.577969612243383,0.0,0.8244064836670402,True,80.28019987978041,success
2.0,1.0,0.1,0.1,7,1,0.1,3.0925025929862455,1.3631755507503756,0.20425564047133205,0.7965902448056366,True,86.02049993351102,success
2.0,1.0,0.1,0.1,7,1,0.2,2.6434088402937883,1.15281886380791,0.39518970802607045,0.7063287021535827,True,85.26920014992356,success
2.0,1.0,0.1,0.1,7,1,0.3,2.4573299973885128,1.0217233171883602,0.504680170778469,0.5169465990575152,True,82.98079995438457,success
2.0,1.0,0.1,0.1,7,2,0.0,2.4412192985920202,1.1781909738614782,0.0,0.975294759871017,True,88.01060006953776,success
2.0,1.0,0.1,0.1,7,2,0.1,1.9681376350905901,1.0172104361649732,0.15331491867232946,0.9733702467344998,True,109.06219994649291,success
2.0,1.0,0.1,0.1,7,2,0.2,1.678137213615788,0.9221338109239616,0.24238068324399067,0.9696229592486741,True,103.43330004252493,success
2.0,1.0,0.1,0.1,7,2,0.3,1.5272333628733936,0.8739266452688398,0.2867870534699972,0.9658310748706603,True,109.22649991698563,success
2.0,1.0,0.1,0.1,7,3,0.0,2.719891531198981,1.2662477314739558,0.10182632737017844,0.987327291334271,True,92.67290006391704,success
2.0,1.0,0.1,0.1,7,3,0.1,1.9535319446618509,1.002611305860533,0.35338708021254506,0.9864957690487742,True,92.62830018997192,success
2.0,1.0,0.1,0.1,7,3,0.2,1.7188076807609987,0.9250062910448932,0.42583584932322155,0.9833192468001466,True,99.75129994563758,success
2.0,1.0,0.1,0.1,7,3,0.3,1.5803762076636538,0.8799338918580135,0.4672256989247256,0.9796784289947074,True,105.70279997773468,success
2.0,1.0,0.1,0.1,7,4,0.0,1.8984408050611006,0.8678358814039944,0.5008653441776201,0.9789799600206006,True,98.27129985205829,success
2.0,1.0,0.1,0.1,7,4,0.1,1.6951602023820762,0.804359652340959,0.5586490577234827,0.9791856767628613,True,108.44310000538826,success
2.0,1.0,0.1,0.1,7,4,0.2,1.5825930220307631,0.7694221133776319,0.5897837731659182,0.9778203391235387,True,105.39919999428093,success
