beta_true,sample_size,offset_value,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
1.5,5,0,86,2.299710,1296.715515,774.924459,0.799710,296.715515,-225.075541,0.961960
1.5,5,0,87,0.775532,765.493312,1236.571560,-0.724468,-234.506688,236.571560,0.875896
1.5,5,0,88,3.382392,1991.651316,0.000000,1.882392,991.651316,-1000.000000,0.337426
1.5,5,0,89,6.760193,1501.583768,0.000000,5.260193,501.583768,-1000.000000,0.464959
1.5,5,0,90,1.362419,861.398059,1386.222783,-0.137581,-138.601941,386.222783,0.987680
1.5,5,0,91,1.048108,1156.671325,995.202060,-0.451892,156.671325,-4.797940,0.974543
1.5,5,0,92,1.506590,416.933980,1437.340440,0.006590,-583.066020,437.340440,0.958179
1.5,5,0,93,0.969699,1382.881421,1028.024513,-0.530301,382.881421,28.024513,0.881012
1.5,5,0,94,4.914249,2415.243838,0.000000,3.414249,1415.243838,-1000.000000,0.649527
1.5,5,0,95,1.599907,1367.458122,701.185072,0.099907,367.458122,-298.814928,0.965219
1.5,5,0,96,5.989596,1120.788622,344.791769,4.489596,120.788622,-655.208231,0.976357
1.5,5,0,97,1.249395,780.286519,1489.448908,-0.250605,-219.713481,489.448908,0.979756
1.5,5,0,98,14.999996,1619.015950,0.000000,13.499996,619.015950,-1000.000000,0.942038
1.5,5,0,99,2.073056,1985.376093,528.744240,0.573056,985.376093,-471.255760,0.859251
1.5,5,0,100,1.184794,550.624723,1600.030044,-0.315206,-449.375277,600.030044,0.954814
1.5,5,0.05,1,1.733239,1218.372076,830.285851,0.233239,218.372076,-169.714149,0.998955
1.5,5,0.05,2,1.223952,848.034450,995.426356,-0.276048,-151.965550,-4.573644,0.919469
1.5,5,0.05,3,1.856838,1065.109433,732.732449,0.356838,65.109433,-267.267551,0.900302
1.5,5,0.05,4,0.968744,393.486787,1383.564097,-0.531256,-606.513213,383.564097,0.825912
1.5,5,0.05,5,1.550927,1167.964521,1166.928451,0.050927,167.964521,166.928451,0.949571
1.5,5,0.05,6,3.520601,915.635324,529.606450,2.020601,-84.364676,-470.393550,0.957607
1.5,5,0.05,7,3.098045,2321.733361,83.595320,1.598045,1321.733361,-916.404680,0.976680
1.5,5,0.05,8,1.188338,587.299462,970.868841,-0.311662,-412.700538,-29.131159,0.972555
1.5,5,0.05,9,3.523206,1518.470170,533.372203,2.023206,518.470170,-466.627797,0.916001
1.5,5,0.05,10,3.222908,2649.027076,0.000000,1.722908,1649.027076,-1000.000000,0.979060
1.5,5,0.05,11,1.174869,435.671047,1598.379587,-0.325131,-564.328953,598.379587,0.976795
1.5,5,0.05,12,4.505693,1580.134278,392.778316,3.005693,580.134278,-607.221684,0.808794
1.5,5,0.05,13,1.794641,1063.607289,1102.528327,0.294641,63.607289,102.528327,0.868109
1.5,5,0.05,14,1.450165,985.545821,1161.127692,-0.049835,-14.454179,161.127692,0.908158
1.5,5,0.05,15,3.187295,860.628642,689.187748,1.687295,-139.371358,-310.812252,0.982503
1.5,5,0.05,16,1.541128,945.258553,1371.885713,0.041128,-54.741447,371.885713,0.990542
1.5,5,0.05,17,3.470443,2192.808497,205.992785,1.970443,1192.808497,-794.007215,0.937286
1.5,5,0.05,18,2.392932,1102.139804,717.983899,0.892932,102.139804,-282.016101,0.870755
1.5,5,0.05,19,1.007322,957.610204,1075.631628,-0.492678,-42.389796,75.631628,0.935096
1.5,5,0.05,20,1.081892,667.315169,1100.580612,-0.418108,-332.684831,100.580612,0.969359
1.5,5,0.05,21,0.728450,693.093617,1056.880993,-0.771550,-306.906383,56.880993,0.994435
1.5,5,0.05,22,6.378833,1455.635380,0.000000,4.878833,455.635380,-1000.000000,0.779883
1.5,5,0.05,23,1.205258,1355.190400,1010.985520,-0.294742,355.190400,10.985520,0.989539
1.5,5,0.05,24,1.530269,647.208170,912.226210,0.030269,-352.791830,-87.773790,0.823883
1.5,5,0.05,25,2.003566,1191.779327,646.639323,0.503566,191.779327,-353.360677,0.957848
1.5,5,0.05,26,1.409219,1053.148578,1130.316485,-0.090781,53.148578,130.316485,0.974146
1.5,5,0.05,27,4.282089,1955.957468,0.000000,2.782089,955.957468,-1000.000000,0.673289
1.5,5,0.05,28,0.820689,373.407471,1338.151668,-0.679311,-626.592529,338.151668,0.942096
1.5,5,0.05,29,1.211019,1519.326448,753.270969,-0.288981,519.326448,-246.729031,0.935638
1.5,5,0.05,30,3.259766,1340.016087,313.811093,1.759766,340.016087,-686.188907,0.979730
1.5,5,0.05,31,2.068138,1876.251009,346.600248,0.568138,876.251009,-653.399752,0.861917
1.5,5,0.05,32,0.816073,857.868155,1067.478604,-0.683927,-142.131845,67.478604,0.901857
1.5,5,0.05,33,2.056699,1587.808586,548.249613,0.556699,587.808586,-451.750387,0.996775
1.5,5,0.05,34,2.257024,767.040839,827.590917,0.757024,-232.959161,-172.409083,0.982334
1.5,5,0.05,35,1.468135,1098.187017,764.426021,-0.031865,98.187017,-235.573979,0.910812
1.5,5,0.05,36,1.926257,1132.657294,928.128263,0.426257,132.657294,-71.871737,0.964266
1.5,5,0.05,37,0.721991,740.125934,1250.506630,-0.778009,-259.874066,250.506630,0.883794
1.5,5,0.05,38,3.382392,1991.651316,0.000000,1.882392,991.651316,-1000.000000,0.337426
1.5,5,0.05,39,6.760193,1501.583768,0.000000,5.260193,501.583768,-1000.000000,0.464959
1.5,5,0.05,40,1.314789,842.553534,1402.424680,-0.185211,-157.446466,402.424680,0.988069
1.5,5,0.05,41,1.035468,1147.477040,1001.761350,-0.464532,147.477040,1.761350,0.974885
1.5,5,0.05,42,1.332992,384.445210,1465.159379,-0.167008,-615.554790,465.159379,0.961959
1.5,5,0.05,43,0.959650,1371.579300,1035.016255,-0.540350,371.579300,35.016255,0.882118
1.5,5,0.05,44,4.914249,2415.243838,0.000000,3.414249,1415.243838,-1000.000000,0.649527
1.5,5,0.05,45,1.411579,1264.762873,794.042724,-0.088421,264.762873,-205.957276,0.967725
